Time frequency,Unit of measure,Sex,n_hprob,diagnose,geo\TIME_PERIOD,1999.0
Annual,Number,Males,4.0,INFECTIO,EU_V,554.0
Annual,Number,Males,4.0,MUSC_SKE,EU_V,5745.0
Annual,Number,Males,4.0,OTHER,EU_V,1062.0
Annual,Number,Males,4.0,PULMONAR,EU_V,2023.0
Annual,Number,Males,4.0,SKIN_DIS,EU_V,428.0
Annual,Number,Males,4.0,STRESS,EU_V,3782.0
Annual,Number,Males,4.0,TOTAL,EU_V,16876.0
Annual,Number,Males,4.0,UNK,EU_V,1086.0
Annual,Number,Males,GE5,CARDIO_V,EU_V,2463.0
Annual,Number,Males,GE5,HEAD_EYE,EU_V,3153.0
Annual,Number,Males,GE5,HEARING,EU_V,1131.0
Annual,Number,Males,GE5,INFECTIO,EU_V,2288.0
Annual,Number,Males,GE5,MUSC_SKE,EU_V,17878.0
Annual,Number,Males,GE5,OTHER,EU_V,967.0
Annual,Number,Males,GE5,PULMONAR,EU_V,2780.0
Annual,Number,Males,GE5,SKIN_DIS,EU_V,896.0
Annual,Number,Males,GE5,STRESS,EU_V,7294.0
Annual,Number,Males,GE5,TOTAL,EU_V,85282.0
Annual,Number,Males,GE5,UNK,EU_V,46430.0
Annual,Number,Males,TOTAL,CARDIO_V,EU_V,135274.0
Annual,Number,Males,TOTAL,HEAD_EYE,EU_V,72941.0
Annual,Number,Males,TOTAL,HEARING,EU_V,103353.0
Annual,Number,Males,TOTAL,INFECTIO,EU_V,57471.0
Annual,Number,Males,TOTAL,MUSC_SKE,EU_V,1279302.0
Annual,Number,Males,TOTAL,OTHER,EU_V,150022.0
Annual,Number,Males,TOTAL,PULMONAR,EU_V,211325.0
Annual,Number,Males,TOTAL,SKIN_DIS,EU_V,59778.0
Annual,Number,Males,TOTAL,STRESS,EU_V,405613.0
Annual,Number,Males,TOTAL,TOTAL,EU_V,3280617.0
Annual,Number,Males,TOTAL,UNK,EU_V,805540.0
Annual,Number,Total,1.0,CARDIO_V,EU_V,161042.0
Annual,Number,Total,1.0,HEAD_EYE,EU_V,129325.0
Annual,Number,Total,1.0,HEARING,EU_V,114588.0
Annual,Number,Total,1.0,INFECTIO,EU_V,98013.0
Annual,Number,Total,1.0,MUSC_SKE,EU_V,2188747.0
Annual,Number,Total,1.0,OTHER,EU_V,243610.0
Annual,Number,Total,1.0,PULMONAR,EU_V,296253.0
Annual,Number,Total,1.0,SKIN_DIS,EU_V,103895.0
Annual,Number,Total,1.0,STRESS,EU_V,740170.0
Annual,Number,Total,1.0,TOTAL,EU_V,5292263.0
Annual,Number,Total,1.0,UNK,EU_V,1216621.0
Annual,Number,Total,2.0,CARDIO_V,EU_V,21000.0
Annual,Number,Total,2.0,HEAD_EYE,EU_V,14675.0
Annual,Number,Total,2.0,HEARING,EU_V,7982.0
Annual,Number,Total,2.0,INFECTIO,EU_V,11269.0
Annual,Number,Total,2.0,MUSC_SKE,EU_V,197469.0
Annual,Number,Total,2.0,OTHER,EU_V,17066.0
Annual,Number,Total,2.0,PULMONAR,EU_V,39562.0
Annual,Number,Total,2.0,SKIN_DIS,EU_V,8015.0
Annual,Number,Total,2.0,STRESS,EU_V,65284.0
Annual,Number,Total,2.0,TOTAL,EU_V,413720.0
Annual,Number,Total,2.0,UNK,EU_V,31397.0
Annual,Number,Total,3.0,CARDIO_V,EU_V,6445.0
Annual,Number,Total,3.0,HEAD_EYE,EU_V,4416.0
Annual,Number,Total,3.0,HEARING,EU_V,959.0
Annual,Number,Total,3.0,INFECTIO,EU_V,4144.0
Annual,Number,Total,3.0,MUSC_SKE,EU_V,45696.0
Annual,Number,Total,3.0,OTHER,EU_V,6617.0
Annual,Number,Total,3.0,PULMONAR,EU_V,10525.0
Annual,Number,Total,3.0,SKIN_DIS,EU_V,3238.0
Annual,Number,Total,3.0,STRESS,EU_V,18573.0
Annual,Number,Total,3.0,TOTAL,EU_V,112113.0
Annual,Number,Total,3.0,UNK,EU_V,11501.0
Annual,Number,Total,4.0,CARDIO_V,EU_V,1398.0
Annual,Number,Total,4.0,HEAD_EYE,EU_V,2592.0
Annual,Number,Total,4.0,HEARING,EU_V,506.0
Annual,Number,Total,4.0,INFECTIO,EU_V,2268.0
Annual,Number,Total,4.0,MUSC_SKE,EU_V,12488.0
Annual,Number,Total,4.0,OTHER,EU_V,1836.0
Annual,Number,Total,4.0,PULMONAR,EU_V,5061.0
Annual,Number,Total,4.0,SKIN_DIS,EU_V,1312.0
Annual,Number,Total,4.0,STRESS,EU_V,8410.0
Annual,Number,Total,4.0,TOTAL,EU_V,36987.0
Annual,Number,Total,4.0,UNK,EU_V,1116.0
Annual,Number,Total,GE5,CARDIO_V,EU_V,3240.0
Annual,Number,Total,GE5,HEAD_EYE,EU_V,7671.0
Annual,Number,Total,GE5,HEARING,EU_V,1131.0
Annual,Number,Total,GE5,INFECTIO,EU_V,2921.0
Annual,Number,Total,GE5,MUSC_SKE,EU_V,30930.0
Annual,Number,Total,GE5,OTHER,EU_V,3125.0
Annual,Number,Total,GE5,PULMONAR,EU_V,3553.0
Annual,Number,Total,GE5,SKIN_DIS,EU_V,1593.0
Annual,Number,Total,GE5,STRESS,EU_V,13875.0
Annual,Number,Total,GE5,TOTAL,EU_V,157589.0
Annual,Number,Total,GE5,UNK,EU_V,89550.0
Annual,Number,Total,TOTAL,CARDIO_V,EU_V,193124.0
Annual,Number,Total,TOTAL,HEAD_EYE,EU_V,158680.0
Annual,Number,Total,TOTAL,HEARING,EU_V,125166.0
Annual,Number,Total,TOTAL,INFECTIO,EU_V,118615.0
Annual,Number,Total,TOTAL,MUSC_SKE,EU_V,2475329.0
Annual,Number,Total,TOTAL,OTHER,EU_V,272254.0
Annual,Number,Total,TOTAL,PULMONAR,EU_V,354954.0
Annual,Number,Total,TOTAL,SKIN_DIS,EU_V,118052.0
Annual,Number,Total,TOTAL,STRESS,EU_V,846310.0
Annual,Number,Total,TOTAL,TOTAL,EU_V,6012672.0
Annual,Number,Total,TOTAL,UNK,EU_V,1350186.0
