Time frequency,Unit of measure,Income and living conditions indicator,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Albania,:,:,:,:,:,13.7,15.4,14.8,14.5,14.8,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Austria,17.8,17.6,16.4,15.1,15.7,15.8,17.6,17.2,16.9,17.9,17.5,20.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Belgium,19.5,19.5,16.5,15.7,15.5,16.9,17.5,16.5 b,19.8,16.0,18.4,16.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Bulgaria,34.3,32.6,25.8,38.2,30.1 b,38.4,35.0,39.5,44.0,40.0,43.5,25.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Switzerland,34.0,32.7,28.9,28.7,27.8,28.3,24.9,29.6,27.5,27.8,29.1,29.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Cyprus,33.6,23.4,26.5,20.5,22.8,24.4,23.4,26.4,23.2,21.7,22.4,24.8
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Czechia,8.4,8.1,8.9,10.4,11.4,15.2,19.9,22.1,19.7,14.6,21.8,19.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Germany,16.6,17.0,18.4,18.3,20.1,19.0,19.8,20.0,21.5 b,20.9,20.2,20.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Denmark,14.1,11.7,10.4,10.0,9.6,8.6,8.8,9.7,12.0 b,13.0,13.9,12.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Euro area - 19 countries  (2015-2022),15.5,14.9,15.0,15.1,15.8,16.0,16.4,16.7,18.1 b,18.2,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Euro area – 20 countries (from 2023),:,:,15.1,15.3,16.0,16.2,16.6,16.9,18.3 b,18.4,19.4,18.9
