Time frequency,Interest rate,Geopolitical entity (reporting)\Time,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,EMU convergence criterion bond yields,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,24.13,23.27,20.7,16.96,14.43,9.92,8.48,6.3,6.1,5.3,5.12,4.27,4.26,3.59,4.07,4.5,4.8,5.17,9.09,15.75,22.5,10.05,6.93,9.67,8.36,5.98,4.19,2.59,1.27,0.88,3.49,4.0,3.35
Annual,EMU convergence criterion bond yields,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,12.03,13.31,15.96,15.81,15.99,16.91,16.52,13.37,11.36,12.81,11.75,13.7,14.68,11.38,11.72,10.21,9.99,11.27,8.74,6.4,4.83,4.73,5.53,5.12,4.96,4.12,4.1,3.39,3.78,4.31,4.37,3.98,4.25,5.44,5.85,4.56,2.72,1.73,1.39,1.56,1.42,0.66,0.38,0.35,2.18,3.48,3.15
Annual,EMU convergence criterion bond yields,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.35,5.09,4.3,4.35,3.63,4.02,4.48,4.56,4.23,3.89,4.49,3.94,3.09,2.21,1.38,1.09,1.33,1.38,0.72,0.31,0.4,2.46,3.51,3.26
Annual,EMU convergence criterion bond yields,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.41,10.56,12.09,13.3,11.23,11.98,8.83,9.04,8.79,7.08,5.96,4.79,4.72,5.48,5.04,4.98,4.13,4.11,3.35,3.78,4.29,4.29,3.74,3.01,3.01,1.89,1.86,1.45,0.72,0.37,0.55,0.66,0.07,-0.22,-0.09,1.69,3.04,2.85
Annual,EMU convergence criterion bond yields,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.04,7.75,7.35,8.29,10.45,9.52,9.33,9.87,9.5,9.89,13.13,15.85,15.65,13.59,12.49,11.12,8.54,9.5,9.08,8.79,9.94,9.05,8.59,6.78,7.22,7.54,6.31,5.58,4.64,4.61,5.39,4.94,4.86,4.13,4.1,3.41,3.8,4.3,4.23,3.65,3.12,3.32,2.54,2.2,1.67,0.84,0.47,0.81,0.78,0.13,-0.15,0.01,1.7,2.99,2.97
Annual,EMU convergence criterion bond yields,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.42,4.43,4.93,6.04,7.83,6.27,6.54,6.13,4.68,4.05,3.53,3.48,2.77,2.17,1.29,0.83,0.45,2.7,3.8,3.31
Annual,EMU convergence criterion bond yields,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.95,7.09,6.82,8.19,6.6,7.12,6.74,8.24,9.12,7.28,7.63,7.89,5.92,4.81,3.43,3.14,2.96,3.06,2.47,2.23,3.06,7.57,7.51,6.5
Annual,EMU convergence criterion bond yields,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.64,8.94,10.08,9.21,9.07,7.7,7.92,8.25,7.29,6.29,4.8,4.71,5.51,5.01,5.01,4.13,4.08,3.33,3.77,4.31,4.53,5.23,5.74,9.6,6.17,3.79,2.37,1.18,0.74,0.8,0.95,0.33,-0.06,0.06,1.75,2.87,2.72
Annual,EMU convergence criterion bond yields,Italy,5.33,5.75,6.06,5.93,6.13,6.22,6.4,6.93,7.27,6.19,5.42,5.26,4.97,5.05,5.19,5.74,5.39,5.49,5.59,5.61,5.8,7.73,7.0,6.59,6.92,9.61,10.04,12.66,14.71,13.05,13.02,15.25,19.36,20.22,18.3,15.6,13.71,11.47,10.64,10.9,12.79,13.54,13.17,13.28,11.19,10.52,12.21,9.4,6.86,4.88,4.73,5.58,5.19,5.03,4.25,4.26,3.56,4.05,4.49,4.68,4.31,4.04,5.42,5.49,4.32,2.89,1.71,1.49,2.11,2.61,1.95,1.17,0.81,3.16,4.28,3.71
Annual,EMU convergence criterion bond yields,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.15,6.06,5.32,4.5,3.7,4.08,4.54,5.61,14.0,5.57,5.16,4.83,3.83,2.79,1.38,0.9,0.31,0.31,0.31,0.22,0.16,0.61,2.88,2.88
