Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2012.0,2017.0
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Table grape vines,European Union - 27 countries (from 2020),:,17386.29
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Table grape vines,European Union - 28 countries (2013-2020),13929.55,17386.29
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Table grape vines,France,1375.86,:
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Table grape vines,Italy,9101.57,13347.19
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Table grape vines,Romania,1018.36,1320.8
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Red table grape vines,France,1052.96,:
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Normal red table grape vines,France,1051.81,:
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Seedless red table grape vines,France,1.15,:
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,White table grape vines,France,322.9,:
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Normal white table grape vines,France,318.44,:
Annual,1 500 trees per hectare or over,Hectare,From 10 to 19 years,Seedless white table grape vines,France,4.46,:
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Table grape vines,Bulgaria,:,803.73
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Table grape vines,Spain,1286.65,1750.02
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Table grape vines,European Union - 27 countries (from 2020),:,7646.42
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Table grape vines,European Union - 28 countries (2013-2020),8100.29,7646.42
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Table grape vines,France,533.22,:
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Table grape vines,Italy,5994.66,4849.67
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Table grape vines,Romania,285.76,243.0
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Red table grape vines,France,415.82,:
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Normal red table grape vines,France,414.39,:
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Seedless red table grape vines,France,1.43,:
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,White table grape vines,France,117.41,:
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Normal white table grape vines,France,79.76,:
Annual,1 500 trees per hectare or over,Hectare,From 3 to 9 years,Seedless white table grape vines,France,37.65,:
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Table grape vines,Bulgaria,:,943.5
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Table grape vines,Spain,1424.81,1763.34
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Table grape vines,European Union - 27 countries (from 2020),:,11550.75
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Table grape vines,European Union - 28 countries (2013-2020),9952.26,11550.75
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Table grape vines,France,2610.34,:
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Table grape vines,Italy,3835.95,5338.73
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Table grape vines,Romania,2081.16,3505.18
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Red table grape vines,France,1777.6,:
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Normal red table grape vines,France,1777.6,:
Annual,1 500 trees per hectare or over,Hectare,20 years or over,White table grape vines,France,832.75,:
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Normal white table grape vines,France,828.88,:
Annual,1 500 trees per hectare or over,Hectare,20 years or over,Seedless white table grape vines,France,3.86,:
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Table grape vines,Bulgaria,:,186.06
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Table grape vines,Spain,530.92,908.08
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Table grape vines,European Union - 27 countries (from 2020),:,3153.44
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Table grape vines,European Union - 28 countries (2013-2020),2976.61,3153.44
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Table grape vines,France,325.45,:
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Table grape vines,Italy,2045.81,1967.12
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Table grape vines,Romania,74.44,92.18
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Red table grape vines,France,231.8,:
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Normal red table grape vines,France,222.28,:
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Seedless red table grape vines,France,9.52,:
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,White table grape vines,France,93.65,:
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Normal white table grape vines,France,59.02,:
Annual,1 500 trees per hectare or over,Hectare,Less than 3 years,Seedless white table grape vines,France,34.63,:
Annual,Less than 1 000 trees per hectare,Hectare,Total,Table grape vines,Bulgaria,:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,Total,Table grape vines,Spain,3269.22,4394.97
Annual,Less than 1 000 trees per hectare,Hectare,Total,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,Total,Table grape vines,European Union - 28 countries (2013-2020),7860.51,: @C
Annual,Less than 1 000 trees per hectare,Hectare,Total,Table grape vines,France,14.72,:
Annual,Less than 1 000 trees per hectare,Hectare,Total,Table grape vines,Italy,3109.22,2554.32
Annual,Less than 1 000 trees per hectare,Hectare,Total,Table grape vines,Romania,1467.35,129.13
Annual,Less than 1 000 trees per hectare,Hectare,Total,Red table grape vines,France,11.74,:
Annual,Less than 1 000 trees per hectare,Hectare,Total,Normal red table grape vines,France,11.74,:
Annual,Less than 1 000 trees per hectare,Hectare,Total,White table grape vines,France,2.98,:
Annual,Less than 1 000 trees per hectare,Hectare,Total,Normal white table grape vines,France,1.0,:
Annual,Less than 1 000 trees per hectare,Hectare,Total,Seedless white table grape vines,France,1.98,:
Annual,Less than 1 000 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,Bulgaria,:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,Spain,2148.6,962.92
Annual,Less than 1 000 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,European Union - 28 countries (2013-2020),3646.98,: @C
Annual,Less than 1 000 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,France,10.92,:
Annual,Less than 1 000 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,Italy,1406.22,941.09
Annual,Less than 1 000 trees per hectare,Hectare,From 10 to 19 years,Table grape vines,Romania,81.25,36.54
