Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,From 35 to 44 years,Females,Number,Italy,59.0
Annual,From 35 to 44 years,Females,Number,Lithuania,49.0
Annual,From 35 to 44 years,Females,Number,Luxembourg,44.0
Annual,From 35 to 44 years,Females,Number,Latvia,46.0
Annual,From 35 to 44 years,Females,Number,Netherlands,84.0
Annual,From 35 to 44 years,Females,Number,Norway,29.0
Annual,From 35 to 44 years,Females,Number,Poland,42.0
Annual,From 35 to 44 years,Females,Number,Portugal,103.0
Annual,From 35 to 44 years,Females,Number,Sweden,51.0
Annual,From 35 to 44 years,Females,Number,Slovenia,45.0
Annual,From 35 to 44 years,Females,Number,Slovakia,39.0
Annual,From 35 to 44 years,Females,Number,United Kingdom,35.0
Annual,From 35 to 44 years,Males,Number,Austria,86.0
Annual,From 35 to 44 years,Males,Number,Belgium,74.0
Annual,From 35 to 44 years,Males,Number,Bulgaria,71.4 u
Annual,From 35 to 44 years,Males,Number,Switzerland,55.0
Annual,From 35 to 44 years,Males,Number,Cyprus,55.0
Annual,From 35 to 44 years,Males,Number,Czechia,45.0
Annual,From 35 to 44 years,Males,Number,Germany,76.0
Annual,From 35 to 44 years,Males,Number,Denmark,61.0
Annual,From 35 to 44 years,Males,Number,Estonia,29.1 u
Annual,From 35 to 44 years,Males,Number,Greece,68.0
Annual,From 35 to 44 years,Males,Number,Spain,87.0
Annual,From 35 to 44 years,Males,Number,European Union - 25 countries (2004-2006),61.0
Annual,From 35 to 44 years,Males,Number,Finland,48.0
Annual,From 35 to 44 years,Males,Number,France,67.0
Annual,From 35 to 44 years,Males,Number,Hungary,122.0
Annual,From 35 to 44 years,Males,Number,Ireland,38.0
Annual,From 35 to 44 years,Males,Number,Italy,57.0
Annual,From 35 to 44 years,Males,Number,Lithuania,46.5 u
Annual,From 35 to 44 years,Males,Number,Luxembourg,43.0
Annual,From 35 to 44 years,Males,Number,Latvia,36.7 u
Annual,From 35 to 44 years,Males,Number,Malta,88.0
Annual,From 35 to 44 years,Males,Number,Netherlands,71.0
Annual,From 35 to 44 years,Males,Number,Norway,36.0
Annual,From 35 to 44 years,Males,Number,Poland,41.0
