Time frequency,Survey answer - Yes/No,Sex,Geopolitical entity (reporting)\Time,2002.0
Annual,No,Females,Austria,92.5
Annual,No,Females,Belgium,50.8
Annual,No,Females,Cyprus,100.0
Annual,No,Females,Czechia,98.3
Annual,No,Females,Germany,79.2
Annual,No,Females,Denmark,80.1
Annual,No,Females,Estonia,100.0
Annual,No,Females,Greece,87.6
Annual,No,Females,Spain,84.6
Annual,No,Females,European Union - 15 countries (1995-2004),81.0
Annual,No,Females,European Union - 25 countries (2004-2006),80.8
Annual,No,Females,Finland,80.9
Annual,No,Females,France,77.4
Annual,No,Females,Hungary,25.3
Annual,No,Females,Ireland,: u
Annual,No,Females,Italy,83.3
Annual,No,Females,Lithuania,84.3
Annual,No,Females,Luxembourg,90.2
Annual,No,Females,Malta,: u
Annual,No,Females,Netherlands,58.1
Annual,No,Females,Norway,34.3
Annual,No,Females,Portugal,94.7
Annual,No,Females,Romania,93.7
Annual,No,Females,Sweden,85.8
Annual,No,Females,Slovenia,74.7
Annual,No,Females,Slovakia,82.0
Annual,No,Females,United Kingdom,90.9
Annual,No,Males,Austria,91.2
Annual,No,Males,Belgium,56.1
Annual,No,Males,Cyprus,93.2
Annual,No,Males,Czechia,98.9
Annual,No,Males,Germany,77.4
Annual,No,Males,Denmark,90.9
Annual,No,Males,Estonia,99.4 u
Annual,No,Males,Greece,83.7
Annual,No,Males,Spain,83.5
Annual,No,Males,European Union - 15 countries (1995-2004),81.2
Annual,No,Males,European Union - 25 countries (2004-2006),80.7
Annual,No,Males,Finland,86.2
Annual,No,Males,France,75.8
Annual,No,Males,Hungary,26.4
Annual,No,Males,Ireland,: u
Annual,No,Males,Italy,85.3
Annual,No,Males,Lithuania,78.4
Annual,No,Males,Luxembourg,78.1
Annual,No,Males,Malta,65.1 u
Annual,No,Males,Netherlands,54.2
Annual,No,Males,Norway,34.7
Annual,No,Males,Portugal,91.2
Annual,No,Males,Romania,89.8
Annual,No,Males,Sweden,87.3
Annual,No,Males,Slovenia,76.6
Annual,No,Males,Slovakia,81.3
Annual,No,Males,United Kingdom,93.7
Annual,No,Total,Austria,91.7
Annual,No,Total,Belgium,54.0
Annual,No,Total,Cyprus,95.6
Annual,No,Total,Czechia,98.6
Annual,No,Total,Germany,78.2
Annual,No,Total,Denmark,85.4
Annual,No,Total,Estonia,99.8
Annual,No,Total,Greece,85.3
Annual,No,Total,Spain,83.9
Annual,No,Total,European Union - 15 countries (1995-2004),81.1
Annual,No,Total,European Union - 25 countries (2004-2006),80.7
Annual,No,Total,Finland,83.4
Annual,No,Total,France,76.5
Annual,No,Total,Hungary,25.8
Annual,No,Total,Ireland,: u
Annual,No,Total,Italy,84.5
Annual,No,Total,Lithuania,81.1
Annual,No,Total,Luxembourg,82.0
Annual,No,Total,Malta,62.4 u
Annual,No,Total,Netherlands,55.9
Annual,No,Total,Norway,34.5
Annual,No,Total,Portugal,92.9
Annual,No,Total,Romania,91.8
Annual,No,Total,Sweden,86.4
Annual,No,Total,Slovenia,75.7
Annual,No,Total,Slovakia,81.6
Annual,No,Total,United Kingdom,92.5
Annual,No response,Females,Greece,5.1 u
Annual,No response,Females,European Union - 15 countries (1995-2004),1.1
Annual,No response,Females,European Union - 25 countries (2004-2006),1.2
Annual,No response,Females,France,1.9
Annual,No response,Females,Hungary,33.4
Annual,No response,Females,Ireland,72.7
Annual,No response,Females,Malta,: u
Annual,No response,Females,Norway,17.1
