Time frequency,Currency,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Euro,Algeria,91.163 i,91.215 i,94.965 i,94.988 i,101.329 i,98.613 i,101.530 i,99.618 i,105.409 i,107.049 i,111.717 i,121.143 i,125.366 i,136.86,:
Annual,Euro,Egypt,7.189 i,7.199 i,7.723 i,7.990 i,7.734 i,7.453 i,8.258 i,7.781 i,9.124 i,9.403 i,8.533 i,11.097 i,20.089 i,20.983 i,:
Annual,Euro,Israel,5.583,5.592,5.627,5.267,5.469,4.95,4.977,4.953,4.797,4.747,4.312,4.25,4.062,4.244,4.034 d
Annual,Euro,Jordan,0.882 i,0.890 i,0.972 i,1.044 i,0.990 i,0.941 i,0.988 i,0.912 i,0.943 i,0.943 i,0.788 i,0.786 i,0.802 i,0.839 i,:
Annual,Euro,Lebanon,1875.481 i,1892.817 i,2066.029 i,2217.231 i,2102.661 i,1998.670 d,2099.340 d,1937.320 d,2001.800 d,2002.740 d,1673.440 d,1668.500 d,1702.790 d,1780.640 d,:
Annual,Euro,Libya,1.628 i,1.649 i,1.730 i,1.800 i,1.748 i,1.679 i,1.704 i,1.621 i,1.689 i,1.690 i,1.532 i,1.539 i,1.575 i,1.612 i,:
Annual,Euro,Morocco,11.021,11.042,11.219,11.348,11.249,11.153,11.249,11.091,11.156,11.156,10.83,10.849,10.961,11.086,:
Annual,Euro,Tunisia,1.614 i,1.671 i,1.756 i,1.812 i,1.883 i,1.898 i,1.960 i,2.007 i,2.158 i,2.255 i,2.176 i,2.378 i,2.733 i,3.126 i,:
