Time frequency,Level of difficulty,Income quantile,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Severe,First quintile,Total,Total,Percentage,Austria,11.6
Annual,Severe,First quintile,Total,Total,Percentage,Belgium,15.5
Annual,Severe,First quintile,Total,Total,Percentage,Bulgaria,12.2
Annual,Severe,First quintile,Total,Total,Percentage,Switzerland,11.8
Annual,Severe,First quintile,Total,Total,Percentage,Cyprus,14.1
Annual,Severe,First quintile,Total,Total,Percentage,Czechia,16.5
Annual,Severe,First quintile,Total,Total,Percentage,Germany,: u
Annual,Severe,First quintile,Total,Total,Percentage,Denmark,18.7
Annual,Severe,First quintile,Total,Total,Percentage,Euro area – 20 countries (from 2023),15.0 e
Annual,Severe,First quintile,Total,Total,Percentage,Estonia,26.6
Annual,Severe,First quintile,Total,Total,Percentage,Greece,8.0
Annual,Severe,First quintile,Total,Total,Percentage,Spain,15.5
Annual,Severe,First quintile,Total,Total,Percentage,European Union - 27 countries (from 2020),14.5 e
Annual,Severe,First quintile,Total,Total,Percentage,Finland,21.3
Annual,Severe,First quintile,Total,Total,Percentage,France,16.1
Annual,Severe,First quintile,Total,Total,Percentage,Croatia,15.0
Annual,Severe,First quintile,Total,Total,Percentage,Hungary,13.8
Annual,Severe,First quintile,Total,Total,Percentage,Ireland,14.1
Annual,Severe,First quintile,Total,Total,Percentage,Italy,7.8
Annual,Severe,First quintile,Total,Total,Percentage,Lithuania,16.3
Annual,Severe,First quintile,Total,Total,Percentage,Luxembourg,9.1
Annual,Severe,First quintile,Total,Total,Percentage,Latvia,22.6
Annual,Severe,First quintile,Total,Total,Percentage,Montenegro,5.7
Annual,Severe,First quintile,Total,Total,Percentage,Malta,9.2
Annual,Severe,First quintile,Total,Total,Percentage,Netherlands,21.5
Annual,Severe,First quintile,Total,Total,Percentage,Norway,13.3
Annual,Severe,First quintile,Total,Total,Percentage,Poland,12.0
Annual,Severe,First quintile,Total,Total,Percentage,Portugal,18.7
Annual,Severe,First quintile,Total,Total,Percentage,Romania,8.1
Annual,Severe,First quintile,Total,Total,Percentage,Serbia,7.2
Annual,Severe,First quintile,Total,Total,Percentage,Sweden,19.2
Annual,Severe,First quintile,Total,Total,Percentage,Slovenia,24.2
Annual,Severe,First quintile,Total,Total,Percentage,Slovakia,9.1
Annual,Severe,First quintile,Total,Total,Percentage,Türkiye,10.0
Annual,Severe,Second quintile,Total,Total,Percentage,Austria,10.7
Annual,Severe,Second quintile,Total,Total,Percentage,Belgium,13.7
Annual,Severe,Second quintile,Total,Total,Percentage,Bulgaria,8.0
Annual,Severe,Second quintile,Total,Total,Percentage,Switzerland,8.2
Annual,Severe,Second quintile,Total,Total,Percentage,Cyprus,8.7
Annual,Severe,Second quintile,Total,Total,Percentage,Czechia,11.6
Annual,Severe,Second quintile,Total,Total,Percentage,Germany,: u
Annual,Severe,Second quintile,Total,Total,Percentage,Denmark,20.6
Annual,Severe,Second quintile,Total,Total,Percentage,Euro area – 20 countries (from 2023),12.9 e
Annual,Severe,Second quintile,Total,Total,Percentage,Estonia,14.6
Annual,Severe,Second quintile,Total,Total,Percentage,Greece,8.9
Annual,Severe,Second quintile,Total,Total,Percentage,Spain,14.1
Annual,Severe,Second quintile,Total,Total,Percentage,European Union - 27 countries (from 2020),12.4 e
Annual,Severe,Second quintile,Total,Total,Percentage,Finland,19.8
Annual,Severe,Second quintile,Total,Total,Percentage,France,13.7
Annual,Severe,Second quintile,Total,Total,Percentage,Croatia,9.0
Annual,Severe,Second quintile,Total,Total,Percentage,Hungary,10.0
Annual,Severe,Second quintile,Total,Total,Percentage,Ireland,9.0
Annual,Severe,Second quintile,Total,Total,Percentage,Italy,8.0
Annual,Severe,Second quintile,Total,Total,Percentage,Lithuania,13.0
Annual,Severe,Second quintile,Total,Total,Percentage,Luxembourg,10.2
Annual,Severe,Second quintile,Total,Total,Percentage,Latvia,12.6
Annual,Severe,Second quintile,Total,Total,Percentage,Montenegro,7.2
Annual,Severe,Second quintile,Total,Total,Percentage,Malta,7.3
Annual,Severe,Second quintile,Total,Total,Percentage,Netherlands,17.8
Annual,Severe,Second quintile,Total,Total,Percentage,Norway,10.8
Annual,Severe,Second quintile,Total,Total,Percentage,Poland,10.6
Annual,Severe,Second quintile,Total,Total,Percentage,Portugal,13.9
Annual,Severe,Second quintile,Total,Total,Percentage,Romania,8.1
Annual,Severe,Second quintile,Total,Total,Percentage,Serbia,6.6
Annual,Severe,Second quintile,Total,Total,Percentage,Sweden,15.4
Annual,Severe,Second quintile,Total,Total,Percentage,Slovenia,15.4
Annual,Severe,Second quintile,Total,Total,Percentage,Slovakia,9.2
Annual,Severe,Second quintile,Total,Total,Percentage,Türkiye,9.6
Annual,Severe,Third quintile,Total,Total,Percentage,Austria,7.7
Annual,Severe,Third quintile,Total,Total,Percentage,Belgium,6.9
Annual,Severe,Third quintile,Total,Total,Percentage,Bulgaria,5.6
Annual,Severe,Third quintile,Total,Total,Percentage,Switzerland,5.5
Annual,Severe,Third quintile,Total,Total,Percentage,Cyprus,5.1
Annual,Severe,Third quintile,Total,Total,Percentage,Czechia,6.2
Annual,Severe,Third quintile,Total,Total,Percentage,Germany,: u
Annual,Severe,Third quintile,Total,Total,Percentage,Denmark,12.8
Annual,Severe,Third quintile,Total,Total,Percentage,Euro area – 20 countries (from 2023),9.8 e
Annual,Severe,Third quintile,Total,Total,Percentage,Estonia,8.2
Annual,Severe,Third quintile,Total,Total,Percentage,Greece,8.2
Annual,Severe,Third quintile,Total,Total,Percentage,Spain,10.7
Annual,Severe,Third quintile,Total,Total,Percentage,European Union - 27 countries (from 2020),9.3 e
Annual,Severe,Third quintile,Total,Total,Percentage,Finland,13.7
Annual,Severe,Third quintile,Total,Total,Percentage,France,11.6
Annual,Severe,Third quintile,Total,Total,Percentage,Croatia,5.5
Annual,Severe,Third quintile,Total,Total,Percentage,Hungary,9.5
Annual,Severe,Third quintile,Total,Total,Percentage,Ireland,5.3
Annual,Severe,Third quintile,Total,Total,Percentage,Italy,7.1
Annual,Severe,Third quintile,Total,Total,Percentage,Lithuania,6.5
Annual,Severe,Third quintile,Total,Total,Percentage,Luxembourg,7.6
Annual,Severe,Third quintile,Total,Total,Percentage,Latvia,7.5
Annual,Severe,Third quintile,Total,Total,Percentage,Montenegro,6.2
Annual,Severe,Third quintile,Total,Total,Percentage,Malta,5.4
Annual,Severe,Third quintile,Total,Total,Percentage,Netherlands,8.6
Annual,Severe,Third quintile,Total,Total,Percentage,Norway,8.9
Annual,Severe,Third quintile,Total,Total,Percentage,Poland,8.2
Annual,Severe,Third quintile,Total,Total,Percentage,Portugal,10.7
Annual,Severe,Third quintile,Total,Total,Percentage,Romania,7.1
Annual,Severe,Third quintile,Total,Total,Percentage,Serbia,4.7
Annual,Severe,Third quintile,Total,Total,Percentage,Sweden,7.0
Annual,Severe,Third quintile,Total,Total,Percentage,Slovenia,11.2
Annual,Severe,Third quintile,Total,Total,Percentage,Slovakia,8.0
Annual,Severe,Third quintile,Total,Total,Percentage,Türkiye,10.0
Annual,Severe,Fourth quintile,Total,Total,Percentage,Austria,7.0
Annual,Severe,Fourth quintile,Total,Total,Percentage,Belgium,4.7
Annual,Severe,Fourth quintile,Total,Total,Percentage,Bulgaria,3.5
