Time frequency,Size classes in number of employees,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,10 employees or more,Total,National currency,Austria,11.65,12.96,14.02,15.27,17.65
Annual,10 employees or more,Total,National currency,Bosnia and Herzegovina,:,:,:,:,9.45
Annual,10 employees or more,Total,National currency,Belgium,14.27,16.42,17.32,17.97,23.84
Annual,10 employees or more,Total,National currency,Bulgaria,1.56,2.97,3.26,4.69,7.92
Annual,10 employees or more,Total,National currency,Switzerland,:,33.06,35.78,36.31,37.82
Annual,10 employees or more,Total,National currency,Cyprus,5.07,9.19,8.35,8.39,9.31
Annual,10 employees or more,Total,National currency,Czechia,100.79,116.1,125.43,158.25,202.28
Annual,10 employees or more,Total,National currency,Germany,14.83,15.39,15.67,17.23,19.39
Annual,10 employees or more,Total,National currency,Denmark,156.24,184.06,190.24,203.02,221.96
Annual,10 employees or more,Total,National currency,Euro area - 17 countries (2011-2013),12.22,13.29,14.25,14.68,:
Annual,10 employees or more,Total,National currency,Euro area - 18 countries (2014),:,:,:,14.61,:
Annual,10 employees or more,Total,National currency,Euro area - 19 countries  (2015-2022),:,:,14.08,14.51,:
Annual,10 employees or more,Total,National currency,Estonia,45.6,64.04,4.91,6.52,9.38
Annual,10 employees or more,Total,National currency,Greece,7.67,9.06,8.0,7.0,8.0
Annual,10 employees or more,Total,National currency,Spain,8.07,9.41,9.83,10.05,11.02
Annual,10 employees or more,Total,National currency,European Union - 27 countries (2007-2013),11.43,12.07,13.11,:,:
Annual,10 employees or more,Total,National currency,European Union - 27 countries (from 2020),10.7,11.82,12.69,:,:
Annual,10 employees or more,Total,National currency,European Union - 28 countries (2013-2020),:,12.06,13.14,:,:
Annual,10 employees or more,Total,National currency,Finland,13.72,15.96,17.24,17.49,19.33
Annual,10 employees or more,Total,National currency,France,13.23,13.74,14.94,15.34,16.81
Annual,10 employees or more,Total,National currency,Croatia,:,35.44,37.4,39.85,51.42
Annual,10 employees or more,Total,National currency,Hungary,700.64,926.79,1108.44,1394.1,2240.48
Annual,10 employees or more,Total,National currency,Ireland,16.81,18.25,20.16,17.97,20.25
Annual,10 employees or more,Total,National currency,Iceland,1383.96,1801.02,2210.1,2935.43,3607.21
Annual,10 employees or more,Total,National currency,Italy,10.91,11.87,12.49,12.61,13.05
Annual,10 employees or more,Total,National currency,Lithuania,7.39,9.29,10.73,4.41,8.82
Annual,10 employees or more,Total,National currency,Luxembourg,15.7,17.83,18.38,19.59,23.99
Annual,10 employees or more,Total,National currency,Latvia,1.36,2.02,3.35,4.92,7.15
Annual,10 employees or more,Total,National currency,Montenegro,:,:,3.42,:,:
Annual,10 employees or more,Total,National currency,North Macedonia,:,153.28,135.49,159.33,:
Annual,10 employees or more,Total,National currency,Malta,2.82,7.46,8.48,9.96,10.3
Annual,10 employees or more,Total,National currency,Netherlands,12.76,15.43,15.62,16.56,18.95
Annual,10 employees or more,Total,National currency,Norway,173.36,204.37,233.88,252.41,:
Annual,10 employees or more,Total,National currency,Poland,12.26,16.07,17.96,21.22,32.33
Annual,10 employees or more,Total,National currency,Portugal,4.71,5.06,5.12,5.37,6.24
Annual,10 employees or more,Total,National currency,Romania,4.89,8.16,9.02,17.39,27.38
Annual,10 employees or more,Total,National currency,Serbia,:,:,309.03,331.78,520.45
Annual,10 employees or more,Total,National currency,Sweden,132.18,152.0,168.0,186.42,205.06
Annual,10 employees or more,Total,National currency,Slovenia,1313.1,7.2,7.32,8.04,10.47
Annual,10 employees or more,Total,National currency,Slovakia,93.82,3.93,4.4,5.64,7.72
Annual,10 employees or more,Total,National currency,Türkiye,3.13,4.43,7.0,14.64,:
Annual,10 employees or more,Total,National currency,United Kingdom,10.19,11.14,11.94,13.45,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),Albania,:,:,:,3.19,4.62
Annual,10 employees or more,Total,Purchasing power standard (PPS),Austria,11.08,11.74,13.25,13.64,15.72
Annual,10 employees or more,Total,Purchasing power standard (PPS),Bosnia and Herzegovina,:,:,:,:,8.73
Annual,10 employees or more,Total,Purchasing power standard (PPS),Belgium,13.16,14.79,15.93,15.65,21.3
Annual,10 employees or more,Total,Purchasing power standard (PPS),Bulgaria,2.09,3.42,3.48,4.61,6.72
Annual,10 employees or more,Total,Purchasing power standard (PPS),Switzerland,:,16.7,19.79,20.15,23.92
Annual,10 employees or more,Total,Purchasing power standard (PPS),Cyprus,5.82,10.35,9.27,9.33,10.21
Annual,10 employees or more,Total,Purchasing power standard (PPS),Czechia,5.85,6.34,7.15,8.4,10.21
Annual,10 employees or more,Total,Purchasing power standard (PPS),Germany,14.42,14.73,15.44,16.13,17.33
Annual,10 employees or more,Total,Purchasing power standard (PPS),Denmark,15.27,18.1,18.34,19.24,22.39
Annual,10 employees or more,Total,Purchasing power standard (PPS),Euro area - 17 countries (2011-2013),12.0,12.87,14.0,13.51,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),Euro area - 18 countries (2014),:,:,:,13.46,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),Euro area - 19 countries  (2015-2022),:,:,13.88,13.39,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),Estonia,4.56,5.96,6.49,7.86,10.45
Annual,10 employees or more,Total,Purchasing power standard (PPS),Greece,8.94,9.84,9.36,8.09,9.75
Annual,10 employees or more,Total,Purchasing power standard (PPS),Spain,8.94,10.0,10.65,10.5,11.82
Annual,10 employees or more,Total,Purchasing power standard (PPS),European Union - 27 countries (2007-2013),10.87,11.65,12.5,12.64,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),European Union - 27 countries (from 2020),10.44,11.53,12.51,12.59,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),European Union - 28 countries (2013-2020),:,12.06,13.14,:,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),Finland,11.76,13.36,14.1,13.89,15.59
Annual,10 employees or more,Total,Purchasing power standard (PPS),France,11.94,12.23,13.87,13.5,15.48
Annual,10 employees or more,Total,Purchasing power standard (PPS),Croatia,:,6.9,7.41,7.66,76.32
Annual,10 employees or more,Total,Purchasing power standard (PPS),Hungary,4.44,5.63,6.24,6.78,8.86
Annual,10 employees or more,Total,Purchasing power standard (PPS),Ireland,13.91,16.51,16.49,13.54,17.03
Annual,10 employees or more,Total,Purchasing power standard (PPS),Iceland,10.52,10.42,12.09,14.14,16.18
Annual,10 employees or more,Total,Purchasing power standard (PPS),Italy,10.66,11.6,12.13,12.18,13.6
Annual,10 employees or more,Total,Purchasing power standard (PPS),Lithuania,3.96,4.55,4.95,6.49,11.72
Annual,10 employees or more,Total,Purchasing power standard (PPS),Luxembourg,13.99,14.74,15.26,15.13,18.37
Annual,10 employees or more,Total,Purchasing power standard (PPS),Latvia,3.4,3.14,4.78,6.43,8.93
Annual,10 employees or more,Total,Purchasing power standard (PPS),Montenegro,:,:,6.17,:,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),North Macedonia,:,6.43,4.73,5.19,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),Malta,4.09,10.2,10.48,11.7,11.55
Annual,10 employees or more,Total,Purchasing power standard (PPS),Netherlands,11.97,13.85,14.22,14.34,16.19
Annual,10 employees or more,Total,Purchasing power standard (PPS),Norway,16.25,17.29,19.11,17.41,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),Poland,5.42,6.73,7.69,8.36,11.23
Annual,10 employees or more,Total,Purchasing power standard (PPS),Portugal,5.8,6.1,6.26,6.03,7.4
Annual,10 employees or more,Total,Purchasing power standard (PPS),Romania,2.78,3.91,3.82,6.91,9.93
Annual,10 employees or more,Total,Purchasing power standard (PPS),Serbia,:,:,5.22,5.04,7.6
Annual,10 employees or more,Total,Purchasing power standard (PPS),Sweden,11.85,12.88,14.71,14.7,15.22
Annual,10 employees or more,Total,Purchasing power standard (PPS),Slovenia,7.34,8.56,8.96,9.22,12.34
Annual,10 employees or more,Total,Purchasing power standard (PPS),Slovakia,3.7,5.87,6.49,7.08,9.74
Annual,10 employees or more,Total,Purchasing power standard (PPS),Türkiye,3.01,3.59,4.03,5.58,:
Annual,10 employees or more,Total,Purchasing power standard (PPS),United Kingdom,13.24,12.29,12.19,12.66,:
