Time frequency,Employment status in the second job,Activity and employment status,Unit of measure,Sex,Geopolitical entity (reporting),Age class\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Employed persons,Employed persons,Percentage,Females,Austria,From 15 to 64 years,3.9,4.1,4.2,4.0,4.5,4.7,4.4,4.4,4.1,5.2 b,5.4,5.7
Annual,Employed persons,Employed persons,Percentage,Females,Bosnia and Herzegovina,From 15 to 64 years,:,:,:,:,:,:,:,:,:,0.6 bu,0.7 u,0.4 u
Annual,Employed persons,Employed persons,Percentage,Females,Belgium,From 15 to 64 years,3.7,4.0,3.9,3.9,4.4,3.7 b,3.8,4.3,4.2,4.4 b,5.3,5.2
Annual,Employed persons,Employed persons,Percentage,Females,Bulgaria,From 15 to 64 years,0.5 u,0.5,0.6 u,0.5 u,0.6,0.5,0.3 u,0.4 bu,0.5 u,0.4 bu,0.4 u,0.4 u
Annual,Employed persons,Employed persons,Percentage,Females,Switzerland,From 15 to 64 years,9.3,9.2,9.5,9.6,10.1,10.2,10.3,10.5,10.1,9.9 b,9.9,10.4
Annual,Employed persons,Employed persons,Percentage,Females,Cyprus,From 15 to 64 years,1.8,1.6,2.3,1.7,2.4,3.0,2.2,2.0,1.7,2.1 b,2.2,1.8
Annual,Employed persons,Employed persons,Percentage,Females,Czechia,From 15 to 64 years,2.0,2.2,2.4,2.4,2.2,2.7,2.6,2.6,2.4,2.4 b,2.8,2.7
Annual,Employed persons,Employed persons,Percentage,Females,Germany,From 15 to 64 years,5.2 b,5.4,5.5,5.6,6.1,6.0,6.0,6.1,5.3 b,5.0 b,5.2,5.3
Annual,Employed persons,Employed persons,Percentage,Females,Denmark,From 15 to 64 years,7.4,7.5,7.7,7.0,9.2 b,8.1 b,7.6,8.1,7.9,8.3 b,8.5,8.5
Annual,Employed persons,Employed persons,Percentage,Females,Euro area – 20 countries (from 2023),From 15 to 64 years,4.0,4.7,4.6,4.6,4.7,4.7,4.8,4.8,4.4,4.5 b,4.7,4.7
Annual,Employed persons,Employed persons,Percentage,Females,Estonia,From 15 to 64 years,5.8,6.2,5.7,5.5,6.3,6.0,7.1,7.2,6.6,7.4 b,8.7,8.2
Annual,Employed persons,Employed persons,Percentage,Females,Greece,From 15 to 64 years,1.4,1.1,1.1,1.0,1.1,1.4,1.5,1.5,1.5,1.2 b,1.1,0.8
Annual,Employed persons,Employed persons,Percentage,Females,Spain,From 15 to 64 years,2.1,2.5,2.5,2.5,2.4,2.6,2.6,2.7,2.4,2.8 bd,2.8 d,3.1 d
Annual,Employed persons,Employed persons,Percentage,Females,European Union - 27 countries (from 2020),From 15 to 64 years,4.0,4.6,4.5,4.4,4.5,4.5,4.5,4.6,4.2,4.2 b,4.3,4.4
