Time frequency,Income and living conditions indicator,Unit of measure,Sex,Age class,Tenure status,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Albania,:,:,:,:,:,13.4,14.0,13.9,13.9,14.0,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Austria,14.9,15.4,13.8,12.9,12.5,11.9,11.8,12.3,12.8,12.1,11.9,13.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Belgium,18.0,16.9,15.4,13.3,13.0,14.3,15.0,14.3 b,16.6,13.7,15.9,14.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Bulgaria,28.1,27.8,22.5,31.7,24.3 b,32.0,29.1,34.6,38.3,34.6,35.5,22.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Switzerland,28.5,30.1,25.3 b,26.3,24.4,24.3,22.9,27.1,23.9,23.7,24.7,25.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Cyprus,29.3,20.1,22.2,17.1,19.8,21.7,21.6,25.0,21.8,19.4,20.6,23.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Czechia,5.9,5.7,6.8,7.1,7.4,9.6,12.9,15.0,13.4,9.5,14.8,12.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Germany,11.2,11.0,12.1,12.0,13.2,12.8,13.5,12.6,16.7 b,16.7,14.7,14.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Denmark,15.2,12.3,11.4,9.8,8.9,9.5,10.0,11.1,13.9 b,15.2,16.2,13.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Euro area - 19 countries  (2015-2022),13.2,12.1,11.9,12.0,12.5,12.8,13.0,13.1,14.5 b,14.5,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Euro area – 20 countries (from 2023),:,:,11.9,12.2,12.7,13.0,13.2,13.3,14.8,14.7,15.4,14.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Estonia,17.2,24.2,32.3 b,35.5,39.7,40.7,45.7,43.1,41.0,40.0,52.0,46.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Greece,17.2,14.9,14.7,13.2,12.2,12.3,11.6,12.3,13.3,13.7,15.7,17.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Spain,14.4,12.0,10.9,11.9,12.6,14.2,14.8,13.9,17.3,16.5,17.4,16.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,European Union - 27 countries (2007-2013),13.9,13.0,12.9,13.1,13.4,13.9,14.7,15.1 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,European Union - 27 countries (from 2020),13.5 e,12.4 e,12.1 e,12.6 e,13.0 e,13.6 e,14.1 e,14.6 e,15.9 b,15.5,15.8,15.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,European Union - 28 countries (2013-2020),14.0,13.1,13.0,13.2,13.6,14.1,14.8,15.3 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Finland,16.7,14.4,14.7,12.6,11.4,11.7,12.3,13.1,12.5,11.4,13.4,11.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,France,9.2,8.4,7.8,7.4,7.0,6.6,6.3,6.4,6.9 b,7.7,8.9 b,8.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Croatia,25.7,23.4,23.2,26.3,26.4,28.5,28.0,30.0,30.8,32.1,32.1,34.6 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Hungary,6.2,4.7,4.6,4.3,6.7,9.1,9.7,10.8,14.5,15.1,13.1,15.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Ireland,12.1,10.0,11.3,12.2,15.3,12.8,17.6,8.8 b,13.0 b,15.8,21.6,14.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Iceland,3.7,4.3,6.3,5.8,6.0,8.1,4.9,3.4,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Italy,15.4,14.5,13.5,13.6,14.1,14.4,13.9,15.2,15.5,14.3,16.8,15.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Lithuania,18.6,19.3,20.1,24.8,27.7,32.8,37.5,31.5,35.7,35.7,38.9,35.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Luxembourg,4.7,5.4,5.3,6.7,7.6 b,9.9,7.7,8.5,5.4 b,6.8 b,9.3 b,8.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Latvia,13.3,16.8,26.7,33.5,36.5,38.5,45.1,46.8,40.0,43.5,39.2,38.9
