Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Labour costs structure,Geopolitical entity (reporting)\Time,2008.0,2012.0,2016.0,2020.0,2021.0,2022.0,2023.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Albania,:,0.4,0.4,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Austria,6.8,7.8,8.7,9.6,9.9,10.2 p,10.9 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Bosnia and Herzegovina,:,0.4,0.4,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Belgium,9.0,10.6,9.3,9.4,9.5,10.1,10.8
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Bulgaria,0.5,0.5,0.7,0.9,1.0,1.1,1.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Switzerland,:,10.7,11.2,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Cyprus,2.6,2.8,2.8,3.3,3.3,3.7,3.8
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Czechia,2.5,2.7,2.8,3.9,3.7,4.0,4.4
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Germany,6.1,6.8,7.2,8.2,8.3,9.2,9.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Denmark,4.2,5.1,5.4,5.7,5.8,5.9,6.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Euro area - 19 countries  (2015-2022),6.5 d,7.5,7.5,8.1,8.1,8.7,9.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Euro area – 20 countries (from 2023),6.5 d,7.4,7.4,8.0,8.1,8.6,9.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Estonia,2.1,2.3,2.8,3.6,3.8,4.2,4.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Greece,3.3,3.5,3.1,2.8,2.8,2.9,3.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Spain,5.1,5.5,5.4,6.0,6.0,6.0,6.4
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,European Union - 27 countries (from 2020),5.5,6.4,6.5,6.9,7.0,7.5,7.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Finland,6.2,6.9,7.6,6.6,6.2 p,6.4 p,6.6 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,France,10.3 d,11.9,11.4,12.5,12.5,13.0,13.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Croatia,1.4,1.4,1.5,1.3,1.4,1.5,1.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Hungary,2.3,1.8,2.0,1.7,1.7,1.5,1.8
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Ireland,4.1,4.1,4.8,4.1,4.0,7.0,8.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Iceland,4.0 d,4.8 d,7.3 d,8.0 d,8.7 p,9.9 p,10.3 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Italy,7.0,7.8,7.7,8.2,8.0,8.2,8.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Lithuania,1.6,1.6,2.1,0.4,0.6,0.7,0.8
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Luxembourg,4.5,4.9,4.9,6.0,6.0,6.2,6.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Latvia,1.2,1.2,1.6,2.3,2.3,2.6,2.8
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Montenegro,:,1.2,0.7,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,North Macedonia,:,0.2,0.1,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Malta,0.9,0.8,0.9,1.1,1.1,1.1,1.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Netherlands,6.9,7.7,8.1,8.0,8.4,9.9,10.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Norway,:,10.2,9.3,9.0,9.7,10.0,10.4
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Poland,1.4,1.4,1.6,2.0,2.1,2.3,2.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Portugal,2.3,2.6,2.8,2.8,2.9,3.1,3.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Romania,1.0,0.9,1.0,0.4,0.4,0.5,0.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Serbia,:,0.8,0.7,0.8,1.2,1.5,1.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Sweden,10.4,11.8,12.0,11.8,13.0,12.8,12.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Slovenia,2.3,2.5,2.6,2.8,3.1,3.3,3.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Slovakia,1.8,2.3,2.7,3.5,3.6,4.2,4.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Türkiye,:,1.0,1.1,0.5,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,United Kingdom,3.6 d,4.1,4.8,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Albania,:,2.2,2.6,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Austria,26.4,29.7,32.5,36.4,36.8,38.1 p,40.9 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Bosnia and Herzegovina,:,5.3,5.2,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Belgium,32.9,38.0,38.6,40.5,41.0,43.5,47.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Bulgaria,2.6,3.4,4.5,6.6,7.1,8.2,9.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Switzerland,:,51.2,55.6,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Cyprus,16.7,16.8,15.7,17.3,17.7,19.0,20.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Czechia,9.2,10.0,10.3,14.6,15.1,16.4,18.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Germany,27.9,30.5,32.8,36.8,37.2,39.4,41.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Denmark,34.6,39.4,41.3,44.9,45.9,47.0,48.1
