Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Seasonal adjustment,Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Albania,:,:,:,-883.6,-811.5,-870.6,-865.7,-1089.2,-1153.3,-1166.2,-1062.9,-269.6
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Austria,4725.0,5616.0,7913.0,5395.0,9156.0,4644.0,3242.0,9401.0,12805.0,7047.0,-3862.0,6345.0
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bosnia and Herzegovina,-1158.7,-728.4,-1025.1,-745.3,-727.9,-777.3,-559.3,-474.1,-501.3,-295.8,-1022.9,-591.6
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Belgium,-312.0,3750.0,3109.0,5764.0,2372.0,3108.0,-4204.0,593.0,4112.0,9276.0,-7402.0,-4100.0
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bulgaria,-357.8,535.6,908.4,7.8,1476.1,1657.4,367.8,1019.1,274.2,-768.4,-2232.4,838.6
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Switzerland,50891.3,54458.2,41751.0,55598.8,45340.9,32328.6,34321.2,26702.7,3324.4,46201.5,74122.8,43764.9
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Cyprus,-729.3,-273.2,-699.5,-48.3,-751.3,-1018.8,-846.4,-1290.0,-2169.7,-1378.5,-1584.0,-2966.4
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Czechia,-2518.2,-829.4,295.9,715.5,3149.6,2921.4,859.4,763.2,3973.3,-5124.9,-13454.4,978.2
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Germany,201278.0,192345.0,215933.0,250087.0,284661.0,268729.0,289187.0,278477.0,218030.0,254580.0,174506.0,243122.0
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Denmark,15417.8,19122.0,22323.5,21657.1,20012.3,21554.6,18980.3,22973.3,22557.8,29960.3,44571.3,37020.2
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Euro area - 19 countries  (2015-2022),96709.0,207914.0,238458.0,286951.0,329146.0,352937.0,326449.0,274073.0,188714.0,288682.0,:,:
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Estonia,-339.7,-26.9,118.9,309.9,217.2,409.6,146.4,572.5,-703.7,-1135.0,-1419.1,-663.3
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Greece,-6666.0,-2588.0,-1319.0,-1438.0,-3049.0,-3407.0,-5231.0,-2725.0,-10964.0,-12271.0,-21226.0,-13931.0
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Spain,1613.0,21347.0,18490.0,22246.0,35333.0,32685.0,22756.0,26690.0,8906.0,9550.0,4814.0,39772.0
Annual,Million euro,Current account,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,European Union - 27 countries (from 2020),191724.8,288410.1,291787.7,347458.2,402466.2,410664.0,383370.7,344704.4,305517.5,407498.3,37221.9,333955.0
