Time frequency,Structure of earnings indicator,Unit of measure,Geopolitical entity (reporting)\Time,2014.0
Annual,Annual bonuses,Euro,Ostösterreich,7290.0
Annual,Annual bonuses,Euro,Südösterreich,6318.0
Annual,Annual bonuses,Euro,Westösterreich,6574.0
Annual,Annual bonuses,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,3691.0
Annual,Annual bonuses,Euro,Vlaams Gewest,3197.0
Annual,Annual bonuses,Euro,Région wallonne,2924.0
Annual,Annual bonuses,Euro,Severna i Yugoiztochna Bulgaria,266.0
Annual,Annual bonuses,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,412.0
Annual,Annual bonuses,Euro,Schweiz/Suisse/Svizzera,6475.0
Annual,Annual bonuses,Euro,Kýpros,1833.0
Annual,Annual bonuses,Euro,Czechia,954.0
Annual,Annual bonuses,Euro,Baden-Württemberg,3709.0
Annual,Annual bonuses,Euro,Bayern,4344.0
Annual,Annual bonuses,Euro,Berlin,2914.0
Annual,Annual bonuses,Euro,Brandenburg,1885.0
Annual,Annual bonuses,Euro,Bremen,3380.0
Annual,Annual bonuses,Euro,Hamburg,4315.0
Annual,Annual bonuses,Euro,Hessen,4405.0
Annual,Annual bonuses,Euro,Mecklenburg-Vorpommern,1517.0
Annual,Annual bonuses,Euro,Niedersachsen,2833.0
Annual,Annual bonuses,Euro,Nordrhein-Westfalen,3295.0
Annual,Annual bonuses,Euro,Rheinland-Pfalz,3118.0
Annual,Annual bonuses,Euro,Saarland,2791.0
Annual,Annual bonuses,Euro,Sachsen,2000.0
Annual,Annual bonuses,Euro,Sachsen-Anhalt,1778.0
Annual,Annual bonuses,Euro,Schleswig-Holstein,2376.0
Annual,Annual bonuses,Euro,Thüringen,1651.0
Annual,Annual bonuses,Euro,Denmark,1095.0
Annual,Annual bonuses,Euro,Eesti,474.0
Annual,Annual bonuses,Euro,Attiki,3260.0
Annual,Annual bonuses,Euro,"Nisia Aigaiou, Kriti",1718.0
Annual,Annual bonuses,Euro,Voreia Elláda,1922.0
Annual,Annual bonuses,Euro,Kentriki Elláda,1994.0
Annual,Annual bonuses,Euro,Noroeste,3286.0
Annual,Annual bonuses,Euro,Noreste,3891.0
Annual,Annual bonuses,Euro,Comunidad de Madrid,3969.0
Annual,Annual bonuses,Euro,Centro (ES),2947.0
Annual,Annual bonuses,Euro,Este,3425.0
Annual,Annual bonuses,Euro,Sur,3189.0
Annual,Annual bonuses,Euro,Canarias,2521.0
Annual,Annual bonuses,Euro,Manner-Suomi,2521.0
Annual,Annual bonuses,Euro,Åland,1995.0
Annual,Annual bonuses,Euro,Ile de France,3942.0
Annual,Annual bonuses,Euro,Bassin Parisien (NUTS 2013),2545.0
Annual,Annual bonuses,Euro,Nord-Pas-de-Calais (NUTS 2013),2256.0
Annual,Annual bonuses,Euro,Est (FR) (NUTS 2013),2629.0
Annual,Annual bonuses,Euro,Ouest (FR) (NUTS 2013),2462.0
Annual,Annual bonuses,Euro,Sud-Ouest (FR) (NUTS 2013),2397.0
Annual,Annual bonuses,Euro,Centre-Est (FR) (NUTS 2013),2792.0
Annual,Annual bonuses,Euro,Méditerranée (NUTS 2013),2489.0
Annual,Annual bonuses,Euro,Départements d'outre-mer (NUTS 2013),2315.0
Annual,Annual bonuses,Euro,Hrvatska,289.0
Annual,Annual bonuses,Euro,Közép-Magyarország,842.0
Annual,Annual bonuses,Euro,Dunántúl,541.0
Annual,Annual bonuses,Euro,Alföld és Észak,460.0
Annual,Annual bonuses,Euro,Ireland,12.0
Annual,Annual bonuses,Euro,Ísland,1124.0
Annual,Annual bonuses,Euro,Nord-Ovest,5130.0
Annual,Annual bonuses,Euro,Sud,3668.0
Annual,Annual bonuses,Euro,Isole,3876.0
Annual,Annual bonuses,Euro,Nord-Est,4376.0
Annual,Annual bonuses,Euro,Centro (IT),4554.0
Annual,Annual bonuses,Euro,Lithuania,334.0
Annual,Annual bonuses,Euro,Luxembourg,7622.0
Annual,Annual bonuses,Euro,Latvia,576.0
Annual,Annual bonuses,Euro,Crna Gora,170.0
Annual,Annual bonuses,Euro,Severna Makedonija,133.0
Annual,Annual bonuses,Euro,Malta,1021.0
Annual,Annual bonuses,Euro,Noord-Nederland,3855.0
Annual,Annual bonuses,Euro,Oost-Nederland,3967.0
Annual,Annual bonuses,Euro,West-Nederland,6274.0
Annual,Annual bonuses,Euro,Zuid-Nederland,4643.0
Annual,Annual bonuses,Euro,Norway,1245.0
Annual,Annual bonuses,Euro,Region Centralny (NUTS 2013),796.0
Annual,Annual bonuses,Euro,Makroregion południowy,907.0
Annual,Annual bonuses,Euro,Region Wschodni (NUTS 2013),669.0
Annual,Annual bonuses,Euro,Makroregion północno-zachodni,702.0
Annual,Annual bonuses,Euro,Makroregion południowo-zachodni,826.0
Annual,Annual bonuses,Euro,Makroregion północny,748.0
Annual,Annual bonuses,Euro,Continente,2690.0
Annual,Annual bonuses,Euro,Região Autónoma dos Açores,2052.0
Annual,Annual bonuses,Euro,Região Autónoma da Madeira,2292.0
Annual,Annual bonuses,Euro,Macroregiunea Unu,208.0
Annual,Annual bonuses,Euro,Macroregiunea Doi,113.0
Annual,Annual bonuses,Euro,Macroregiunea Trei,504.0
Annual,Annual bonuses,Euro,Macroregiunea Patru,204.0
Annual,Annual bonuses,Euro,Östra Sverige,884.0
Annual,Annual bonuses,Euro,Södra Sverige,515.0
Annual,Annual bonuses,Euro,Norra Sverige,276.0
Annual,Annual bonuses,Euro,Slovenia,1664.0
Annual,Annual bonuses,Euro,Slovakia,429.0
Annual,Annual bonuses,Euro,Extra-Regio level 1,580.0
Annual,Annual bonuses,Euro,North East (UK) (NUTS 2021),1104.0
Annual,Annual bonuses,Euro,North West (UK) (NUTS 2021),1432.0
Annual,Annual bonuses,Euro,Yorkshire and The Humber (NUTS 2021),1092.0
Annual,Annual bonuses,Euro,East Midlands (UK) (NUTS 2021),1199.0
Annual,Annual bonuses,Euro,West Midlands (UK) (NUTS 2021),1274.0
Annual,Annual bonuses,Euro,East of England (NUTS 2021),1484.0
Annual,Annual bonuses,Euro,London (NUTS 2021),5040.0
Annual,Annual bonuses,Euro,South East (UK) (NUTS 2021),2204.0
Annual,Annual bonuses,Euro,South West (UK) (NUTS 2021),1438.0
Annual,Annual bonuses,Euro,Wales (NUTS 2021),731.0
Annual,Annual bonuses,Euro,Scotland (NUTS 2021),1274.0
Annual,Annual bonuses,Euro,Northern Ireland (UK) (NUTS 2021),1033.0
Annual,Annual bonuses,National currency,Ostösterreich,7290.0
Annual,Annual bonuses,National currency,Südösterreich,6318.0
Annual,Annual bonuses,National currency,Westösterreich,6574.0
Annual,Annual bonuses,National currency,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,3691.0
Annual,Annual bonuses,National currency,Vlaams Gewest,3197.0
Annual,Annual bonuses,National currency,Région wallonne,2924.0
Annual,Annual bonuses,National currency,Severna i Yugoiztochna Bulgaria,521.0
Annual,Annual bonuses,National currency,Yugozapadna i Yuzhna tsentralna Bulgaria,806.0
Annual,Annual bonuses,National currency,Schweiz/Suisse/Svizzera,7864.0
Annual,Annual bonuses,National currency,Kýpros,1833.0
Annual,Annual bonuses,National currency,Czechia,26261.0
Annual,Annual bonuses,National currency,Baden-Württemberg,3709.0
Annual,Annual bonuses,National currency,Bayern,4344.0
Annual,Annual bonuses,National currency,Berlin,2914.0
Annual,Annual bonuses,National currency,Brandenburg,1885.0
Annual,Annual bonuses,National currency,Bremen,3380.0
Annual,Annual bonuses,National currency,Hamburg,4315.0
Annual,Annual bonuses,National currency,Hessen,4405.0
Annual,Annual bonuses,National currency,Mecklenburg-Vorpommern,1517.0
Annual,Annual bonuses,National currency,Niedersachsen,2833.0
Annual,Annual bonuses,National currency,Nordrhein-Westfalen,3295.0
Annual,Annual bonuses,National currency,Rheinland-Pfalz,3118.0
Annual,Annual bonuses,National currency,Saarland,2791.0
Annual,Annual bonuses,National currency,Sachsen,2000.0
Annual,Annual bonuses,National currency,Sachsen-Anhalt,1778.0
Annual,Annual bonuses,National currency,Schleswig-Holstein,2376.0
Annual,Annual bonuses,National currency,Thüringen,1651.0
Annual,Annual bonuses,National currency,Denmark,8167.0
Annual,Annual bonuses,National currency,Eesti,474.0
Annual,Annual bonuses,National currency,Attiki,3260.0
Annual,Annual bonuses,National currency,"Nisia Aigaiou, Kriti",1718.0
Annual,Annual bonuses,National currency,Voreia Elláda,1922.0
Annual,Annual bonuses,National currency,Kentriki Elláda,1994.0
Annual,Annual bonuses,National currency,Noroeste,3286.0
Annual,Annual bonuses,National currency,Noreste,3891.0
Annual,Annual bonuses,National currency,Comunidad de Madrid,3969.0
Annual,Annual bonuses,National currency,Centro (ES),2947.0
Annual,Annual bonuses,National currency,Este,3425.0
Annual,Annual bonuses,National currency,Sur,3189.0
Annual,Annual bonuses,National currency,Canarias,2521.0
Annual,Annual bonuses,National currency,Manner-Suomi,2521.0
Annual,Annual bonuses,National currency,Åland,1995.0
Annual,Annual bonuses,National currency,Ile de France,3942.0
Annual,Annual bonuses,National currency,Bassin Parisien (NUTS 2013),2545.0
Annual,Annual bonuses,National currency,Nord-Pas-de-Calais (NUTS 2013),2256.0
Annual,Annual bonuses,National currency,Est (FR) (NUTS 2013),2629.0
Annual,Annual bonuses,National currency,Ouest (FR) (NUTS 2013),2462.0
Annual,Annual bonuses,National currency,Sud-Ouest (FR) (NUTS 2013),2397.0
Annual,Annual bonuses,National currency,Centre-Est (FR) (NUTS 2013),2792.0
Annual,Annual bonuses,National currency,Méditerranée (NUTS 2013),2489.0
Annual,Annual bonuses,National currency,Départements d'outre-mer (NUTS 2013),2315.0
Annual,Annual bonuses,National currency,Hrvatska,2204.0
Annual,Annual bonuses,National currency,Közép-Magyarország,259890.0
Annual,Annual bonuses,National currency,Dunántúl,167098.0
Annual,Annual bonuses,National currency,Alföld és Észak,141983.0
Annual,Annual bonuses,National currency,Ireland,12.0
Annual,Annual bonuses,National currency,Ísland,174012.0
Annual,Annual bonuses,National currency,Nord-Ovest,5130.0
Annual,Annual bonuses,National currency,Sud,3668.0
Annual,Annual bonuses,National currency,Isole,3876.0
Annual,Annual bonuses,National currency,Nord-Est,4376.0
Annual,Annual bonuses,National currency,Centro (IT),4554.0
Annual,Annual bonuses,National currency,Lithuania,1153.0
Annual,Annual bonuses,National currency,Luxembourg,7622.0
Annual,Annual bonuses,National currency,Latvia,576.0
Annual,Annual bonuses,National currency,Crna Gora,170.0
Annual,Annual bonuses,National currency,Severna Makedonija,8225.0
Annual,Annual bonuses,National currency,Malta,1021.0
Annual,Annual bonuses,National currency,Noord-Nederland,3855.0
Annual,Annual bonuses,National currency,Oost-Nederland,3967.0
Annual,Annual bonuses,National currency,West-Nederland,6274.0
Annual,Annual bonuses,National currency,Zuid-Nederland,4643.0
Annual,Annual bonuses,National currency,Norway,10404.0
Annual,Annual bonuses,National currency,Region Centralny (NUTS 2013),3333.0
Annual,Annual bonuses,National currency,Makroregion południowy,3796.0
Annual,Annual bonuses,National currency,Region Wschodni (NUTS 2013),2799.0
Annual,Annual bonuses,National currency,Makroregion północno-zachodni,2937.0
Annual,Annual bonuses,National currency,Makroregion południowo-zachodni,3456.0
Annual,Annual bonuses,National currency,Makroregion północny,3130.0
Annual,Annual bonuses,National currency,Continente,2690.0
Annual,Annual bonuses,National currency,Região Autónoma dos Açores,2052.0
Annual,Annual bonuses,National currency,Região Autónoma da Madeira,2292.0
Annual,Annual bonuses,National currency,Macroregiunea Unu,925.0
Annual,Annual bonuses,National currency,Macroregiunea Doi,503.0
Annual,Annual bonuses,National currency,Macroregiunea Trei,2239.0
Annual,Annual bonuses,National currency,Macroregiunea Patru,905.0
Annual,Annual bonuses,National currency,Östra Sverige,8047.0
Annual,Annual bonuses,National currency,Södra Sverige,4686.0
Annual,Annual bonuses,National currency,Norra Sverige,2510.0
Annual,Annual bonuses,National currency,Slovenia,1664.0
Annual,Annual bonuses,National currency,Slovakia,429.0
Annual,Annual bonuses,National currency,Extra-Regio level 1,1686.0
Annual,Annual bonuses,National currency,North East (UK) (NUTS 2021),890.0
Annual,Annual bonuses,National currency,North West (UK) (NUTS 2021),1154.0
Annual,Annual bonuses,National currency,Yorkshire and The Humber (NUTS 2021),880.0
Annual,Annual bonuses,National currency,East Midlands (UK) (NUTS 2021),967.0
Annual,Annual bonuses,National currency,West Midlands (UK) (NUTS 2021),1027.0
Annual,Annual bonuses,National currency,East of England (NUTS 2021),1196.0
Annual,Annual bonuses,National currency,London (NUTS 2021),4063.0
Annual,Annual bonuses,National currency,South East (UK) (NUTS 2021),1777.0
Annual,Annual bonuses,National currency,South West (UK) (NUTS 2021),1159.0
Annual,Annual bonuses,National currency,Wales (NUTS 2021),590.0
Annual,Annual bonuses,National currency,Scotland (NUTS 2021),1027.0
Annual,Annual bonuses,National currency,Northern Ireland (UK) (NUTS 2021),833.0
Annual,Gross earnings,Euro,Ostösterreich,44090.0
Annual,Gross earnings,Euro,Südösterreich,40216.0
Annual,Gross earnings,Euro,Westösterreich,41722.0
Annual,Gross earnings,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,52317.0
Annual,Gross earnings,Euro,Vlaams Gewest,45003.0
Annual,Gross earnings,Euro,Région wallonne,42975.0
Annual,Gross earnings,Euro,Severna i Yugoiztochna Bulgaria,4928.0
Annual,Gross earnings,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,6332.0
Annual,Gross earnings,Euro,Schweiz/Suisse/Svizzera,72134.0
Annual,Gross earnings,Euro,Kýpros,25191.0
Annual,Gross earnings,Euro,Czechia,12522.0
Annual,Gross earnings,Euro,Baden-Württemberg,43835.0
Annual,Gross earnings,Euro,Bayern,43488.0
Annual,Gross earnings,Euro,Berlin,40223.0
Annual,Gross earnings,Euro,Brandenburg,32955.0
Annual,Gross earnings,Euro,Bremen,41934.0
Annual,Gross earnings,Euro,Hamburg,46942.0
Annual,Gross earnings,Euro,Hessen,45528.0
Annual,Gross earnings,Euro,Mecklenburg-Vorpommern,30979.0
Annual,Gross earnings,Euro,Niedersachsen,38073.0
Annual,Gross earnings,Euro,Nordrhein-Westfalen,41723.0
Annual,Gross earnings,Euro,Rheinland-Pfalz,39887.0
Annual,Gross earnings,Euro,Saarland,39117.0
Annual,Gross earnings,Euro,Sachsen,32366.0
Annual,Gross earnings,Euro,Sachsen-Anhalt,32181.0
Annual,Gross earnings,Euro,Schleswig-Holstein,36951.0
Annual,Gross earnings,Euro,Thüringen,31333.0
Annual,Gross earnings,Euro,Denmark,55237.0
Annual,Gross earnings,Euro,Eesti,13460.0
Annual,Gross earnings,Euro,Attiki,23828.0
Annual,Gross earnings,Euro,"Nisia Aigaiou, Kriti",19656.0
Annual,Gross earnings,Euro,Voreia Elláda,20489.0
Annual,Gross earnings,Euro,Kentriki Elláda,20626.0
Annual,Gross earnings,Euro,Noroeste,25020.0
Annual,Gross earnings,Euro,Noreste,30179.0
Annual,Gross earnings,Euro,Comunidad de Madrid,30590.0
Annual,Gross earnings,Euro,Centro (ES),24821.0
Annual,Gross earnings,Euro,Este,27037.0
Annual,Gross earnings,Euro,Sur,25493.0
Annual,Gross earnings,Euro,Canarias,23624.0
Annual,Gross earnings,Euro,Manner-Suomi,44715.0
Annual,Gross earnings,Euro,Åland,45762.0
Annual,Gross earnings,Euro,Ile de France,45019.0
Annual,Gross earnings,Euro,Bassin Parisien (NUTS 2013),32644.0
Annual,Gross earnings,Euro,Nord-Pas-de-Calais (NUTS 2013),32491.0
Annual,Gross earnings,Euro,Est (FR) (NUTS 2013),32651.0
Annual,Gross earnings,Euro,Ouest (FR) (NUTS 2013),31870.0
Annual,Gross earnings,Euro,Sud-Ouest (FR) (NUTS 2013),33082.0
Annual,Gross earnings,Euro,Centre-Est (FR) (NUTS 2013),34758.0
Annual,Gross earnings,Euro,Méditerranée (NUTS 2013),33847.0
Annual,Gross earnings,Euro,Départements d'outre-mer (NUTS 2013),36606.0
Annual,Gross earnings,Euro,Hrvatska,13057.0
Annual,Gross earnings,Euro,Közép-Magyarország,12370.0
Annual,Gross earnings,Euro,Dunántúl,9327.0
Annual,Gross earnings,Euro,Alföld és Észak,8653.0
Annual,Gross earnings,Euro,Ireland,45990.0
Annual,Gross earnings,Euro,Ísland,44115.0
Annual,Gross earnings,Euro,Nord-Ovest,36888.0
Annual,Gross earnings,Euro,Sud,30893.0
Annual,Gross earnings,Euro,Isole,31944.0
Annual,Gross earnings,Euro,Nord-Est,33797.0
Annual,Gross earnings,Euro,Centro (IT),34622.0
Annual,Gross earnings,Euro,Lithuania,8822.0
Annual,Gross earnings,Euro,Luxembourg,59009.0
Annual,Gross earnings,Euro,Latvia,10714.0
