Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Albania,59.2,68.7,70.3,78.0,69.4,81.2 p,83.1 p,90.3 p,92.1 p,93.1 p,97.0 p,108.3 p
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Austria,4426.7,4278.0,4613.8,4702.6,5389.7,5068.0,5657.6,5832.4,5883.2,5714.7,5948.6,5739.7
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Bosnia and Herzegovina,172.1,167.2,193.2,207.1,201.2,203.4,233.3,239.6,227.1,215.5,234.8,231.9
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Belgium,7250.0,7588.8,7266.2,7285.2,7342.3,8093.7 p,7986.2 p,8027.7 p,8294.3 p,8916.1 p,8672.6 p,8535.3 p
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Bulgaria,1243.9,1155.9,1007.6,1322.4,1526.8,1275.8,1114.9,1412.7,1522.0,1453.5 p,1214.0 p,1535.4 p
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Switzerland,16143.0,16873.3,17421.3,18622.2,18951.9,18661.2,18916.1,19136.2,19365.0,19454.5,19091.5,19336.9
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Cyprus,615.6,588.6,600.7,631.0,629.9,682.4,694.9,705.8,707.1,745.2,735.6,758.3
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Czechia,2263.2,2290.5,2350.6,2337.4,2481.7,2256.0,2487.1,2555.2,2489.9,2227.8,2460.0,2591.5
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Germany,33831.0 p,32733.0 p,32661.0 p,32751.0 p,35061.0 p,35323.0 p,36192.0 p,35355.0 p,35570.0 p,35864.0 p,36555.0 p,36112.0 p
Quarterly,"Value added, gross",Financial and insurance activities,Million euro (NSA),Denmark,3931.5,3862.5,3902.8,3790.6,4127.1,4354.0,4532.7,4658.5,4674.0,4599.3,4642.5,4521.9
