Time frequency,Unit of measure,Age class,Severity (days lost),Frequency,Geopolitical entity (reporting)\Time,1999.0
Annual,Rate,From 55 to 64 years,4 days or over,Sometimes,European Union (aggregate changing according to the context),177.0
Annual,Rate,From 55 to 64 years,4 days or over,Total,European Union (aggregate changing according to the context),79.0
Annual,Rate,From 55 to 64 years,4 days or over,Usually,European Union (aggregate changing according to the context),185.0
Annual,Rate,From 55 to 64 years,Total,Never,European Union (aggregate changing according to the context),76.0
Annual,Rate,From 55 to 64 years,Total,Sometimes,European Union (aggregate changing according to the context),158.0
Annual,Rate,From 55 to 64 years,Total,Total,European Union (aggregate changing according to the context),83.0
Annual,Rate,From 55 to 64 years,Total,Usually,European Union (aggregate changing according to the context),165.0
Annual,Rate,65 years or over,14 days or over,Total,European Union (aggregate changing according to the context),93.0
Annual,Rate,65 years or over,4 days or over,Total,European Union (aggregate changing according to the context),106.0
Annual,Rate,65 years or over,Total,Total,European Union (aggregate changing according to the context),158.0
