Time frequency,Unit of measure,Age class,International Standard Classification of Education (ISCED 2011),Sex,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Percentage,From 25 to 64 years,Early childhood education,Females,Algeria,:,45.6,:,45.1,:,:,:,34.7,32.7,:,30.3,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Early childhood education,Females,Egypt,:,:,:,:,:,:,:,53.1 p,54.0 p,53.3 p,52.3 p,49.9 p,49.9 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Early childhood education,Females,Israel,5.0 d,4.9 d,4.5 d,4.3 d,4.2 d,4.4 d,4.0,6.2,6.1,5.8,5.7,5.1,5.4,5.5,5.3,5.0,5.3
Annual,Percentage,From 25 to 64 years,Early childhood education,Females,Lebanon,:,:,20.2 de,:,16.3 de,:,:,23.6 de,:,:,:,:,:,16.9 de,:,:,:
Annual,Percentage,From 25 to 64 years,Early childhood education,Females,Palestine*,:,:,:,:,:,:,:,:,:,:,:,:,:,7.8,7.3,6.8,6.3
Annual,Percentage,From 25 to 64 years,Early childhood education,Males,Algeria,:,26.1,:,26.9,:,:,:,20.5,17.5,:,15.7,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Early childhood education,Males,Egypt,:,:,:,:,:,:,:,37.1 p,38.2 p,37.8 p,34.7 p,34.5 p,34.5 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Early childhood education,Males,Israel,2.2 d,2.3 d,2.0 d,1.9 d,1.7 d,1.7 d,1.8,3.3,3.2,3.0,3.0,2.7,2.8,3.0,2.9,2.8,2.9
Annual,Percentage,From 25 to 64 years,Early childhood education,Males,Lebanon,:,:,15.6 de,:,12.1 de,:,:,14.1 de,:,:,:,:,:,10.2 de,:,:,:
Annual,Percentage,From 25 to 64 years,Early childhood education,Males,Palestine*,:,:,:,:,:,:,:,:,:,:,:,:,:,3.0,2.8,2.5,2.5
Annual,Percentage,From 25 to 64 years,Early childhood education,Total,Algeria,:,36.7,:,35.9,:,:,:,27.6,25.1,:,23.0,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Early childhood education,Total,Egypt,:,:,:,:,:,:,:,45.2 p,46.2 p,45.8 p,41.1 p,40.7 p,40.7 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Early childhood education,Total,Israel,3.7 d,3.6 d,3.3 d,3.1 d,3.0 d,3.1 d,2.9,4.8,4.7,4.4,4.4,3.9,4.2,4.3,4.2,4.0,4.1
Annual,Percentage,From 25 to 64 years,Early childhood education,Total,Lebanon,:,:,17.9 de,:,14.1 de,:,:,19.3 de,:,:,:,:,:,13.8 de,:,:,:
Annual,Percentage,From 25 to 64 years,Early childhood education,Total,Palestine*,:,:,:,:,:,:,:,:,:,:,:,:,:,5.4,5.0,4.7,4.4
Annual,Percentage,From 25 to 64 years,Primary education,Females,Algeria,:,18.4,:,15.7,:,:,:,17.6,17.9,:,16.6,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Females,Egypt,13.8 d,9.7 bd,8.7 bd,9.6 d,6.6 d,6.2 d,9.9 d,10.5 p,9.5 dp,5.8 dp,7.4 dp,5.4 p,2.9 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Females,Israel,14.4,13.8,13.0,12.7,12.4,12.1,11.6,7.2 b,6.9,6.8,6.5,6.1,5.9,6.1,5.6,5.1,5.0
Annual,Percentage,From 25 to 64 years,Primary education,Females,Lebanon,:,:,26.3 de,:,25.8 de,:,:,19.6 de,:,:,:,:,:,19.0 de,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Females,Morocco,14.4,14.4,14.7,14.8,15.0,16.6,16.3,16.2,16.2,16.7,16.7,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Females,Palestine*,39.5,34.4,45.2,44.3,36.7,36.1,35.3,34.1,33.3,32.9,31.6,30.6,29.4,28.6,26.0,25.2,24.4
Annual,Percentage,From 25 to 64 years,Primary education,Males,Algeria,:,22.6,:,18.5,:,:,:,19.9,20.3,:,19.1,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Males,Egypt,23.3 d,15.8 bd,15.9 bd,17.5 d,12.9 d,11.6 d,17.5 d,17.7 p,17.3 dp,11.4 dp,12.5 dp,10.5 p,3.6 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Males,Israel,14.5,14.0,13.0,12.2,12.1,11.5,11.0,7.0 b,6.9,6.6,6.4,5.9,5.8,5.9,5.6,4.9,4.9
Annual,Percentage,From 25 to 64 years,Primary education,Males,Lebanon,:,:,31.1 de,:,31.0 de,:,:,24.1 de,:,:,:,:,:,23.9 de,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Males,Morocco,33.7,33.0,33.1,33.7,33.0,34.7,34.2,33.0,32.6,31.9,31.4,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Males,Palestine*,42.1,37.5,48.5,47.8,38.4,38.6,37.9,36.5,35.9,34.9,34.2,34.3,33.8,32.0,29.7,29.8,29.5
Annual,Percentage,From 25 to 64 years,Primary education,Total,Algeria,:,20.5,:,17.1,:,:,:,18.8,19.1,:,17.9,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Total,Egypt,18.7 d,12.8 bd,12.3 bd,13.5 d,9.7 d,8.9 d,13.7 d,14.1 p,13.4 dp,8.6 dp,9.9 dp,8.2 p,3.3 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Total,Israel,14.4,13.9,13.0,12.5,12.2,11.8,11.3,7.1 b,6.9,6.7,6.4,6.0,5.8,6.0,5.6,5.0,5.0
Annual,Percentage,From 25 to 64 years,Primary education,Total,Lebanon,:,:,28.7 de,:,28.5 de,:,:,21.6 de,:,:,:,:,:,21.3 de,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Total,Morocco,23.8,23.4,23.6,23.9,23.7,25.3,24.8,24.2,24.0,23.9,23.7,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Primary education,Total,Palestine*,40.8,36.0,46.7,46.1,37.5,37.5,36.7,35.3,34.6,34.0,32.9,32.4,31.6,30.3,27.9,27.6,26.9
Annual,Percentage,From 25 to 64 years,Lower secondary education,Females,Algeria,:,16.3,:,16.7,:,:,:,21.2,21.9,:,21.8,:,:,:,:,:,:
