Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Industry (except construction),Hour,Austria,30.4,25.4,17.9
Annual,Industry (except construction),Hour,Belgium,35.2,34.5,24.4
Annual,Industry (except construction),Hour,Bulgaria,24.4,36.6,22.6
Annual,Industry (except construction),Hour,Cyprus,22.0,16.0,9.8
Annual,Industry (except construction),Hour,Czechia,13.5,12.6 b,9.5
Annual,Industry (except construction),Hour,Germany,22.5,24.7,15.7
Annual,Industry (except construction),Hour,Denmark,49.7,26.8,30.7
Annual,Industry (except construction),Hour,Estonia,24.4,82.6,22.5
Annual,Industry (except construction),Hour,Greece,19.8,20.2,16.7
Annual,Industry (except construction),Hour,Spain,21.4,23.0,8.3
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),24.7,24.0,17.4
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),24.6,24.6,:
Annual,Industry (except construction),Hour,Finland,23.6,17.7,16.0
Annual,Industry (except construction),Hour,France,29.6,26.8,19.9
Annual,Industry (except construction),Hour,Croatia,29.2,37.0,26.0
Annual,Industry (except construction),Hour,Hungary,35.0,27.1,21.7 b
Annual,Industry (except construction),Hour,Ireland,:,55.8,32.4
Annual,Industry (except construction),Hour,Italy,19.3,19.5,21.6
Annual,Industry (except construction),Hour,Lithuania,29.1,20.8,20.6
Annual,Industry (except construction),Hour,Luxembourg,38.5,34.1,15.1
Annual,Industry (except construction),Hour,Latvia,14.5,14.1,8.9
Annual,Industry (except construction),Hour,North Macedonia,:,19.3,33.2
Annual,Industry (except construction),Hour,Malta,41.0,47.0,36.8
Annual,Industry (except construction),Hour,Netherlands,38.7,34.5,31.4
Annual,Industry (except construction),Hour,Norway,29.3,21.5,24.4
Annual,Industry (except construction),Hour,Poland,20.6,18.9,17.3
Annual,Industry (except construction),Hour,Portugal,41.7,29.7,23.0
Annual,Industry (except construction),Hour,Romania,34.7,38.1,30.7
Annual,Industry (except construction),Hour,Serbia,:,:,25.5
Annual,Industry (except construction),Hour,Sweden,19.5,17.9 b,16.4 b
Annual,Industry (except construction),Hour,Slovenia,43.1,28.5,20.9
Annual,Industry (except construction),Hour,Slovakia,24.4,16.2,13.6
Annual,Industry (except construction),Hour,United Kingdom,23.6,38.8,:
Annual,Construction,Hour,Austria,26.5,23.5,17.7
Annual,Construction,Hour,Belgium,26.9,26.5,17.0
Annual,Construction,Hour,Bulgaria,30.5,15.6,10.9
Annual,Construction,Hour,Cyprus,15.6,20.2,12.5
Annual,Construction,Hour,Czechia,14.3,15.7 b,11.5
Annual,Construction,Hour,Germany,16.8,17.4,19.1
Annual,Construction,Hour,Denmark,167.2,22.8,20.0
Annual,Construction,Hour,Estonia,36.5,22.9,19.8
Annual,Construction,Hour,Greece,29.0,8.2,18.7
Annual,Construction,Hour,Spain,19.2,22.5,7.5
Annual,Construction,Hour,European Union - 27 countries (from 2020),24.3,21.1,18.9
Annual,Construction,Hour,European Union - 28 countries (2013-2020),25.1,23.5,:
Annual,Construction,Hour,Finland,19.4,16.2,13.3
Annual,Construction,Hour,France,27.6,24.9,22.7
Annual,Construction,Hour,Croatia,33.1,26.4,17.3
Annual,Construction,Hour,Hungary,24.2,20.0,15.5 b
Annual,Construction,Hour,Ireland,:,55.8,25.6
Annual,Construction,Hour,Italy,16.3,18.3,27.8
Annual,Construction,Hour,Lithuania,29.0,16.9,21.2
Annual,Construction,Hour,Luxembourg,41.2,21.7,21.9
Annual,Construction,Hour,Latvia,11.9,30.0,12.0
Annual,Construction,Hour,North Macedonia,:,11.1,9.6
Annual,Construction,Hour,Malta,8.5,13.3,11.7
Annual,Construction,Hour,Netherlands,33.8,29.4,38.0
Annual,Construction,Hour,Norway,22.1,19.2,22.5
Annual,Construction,Hour,Poland,16.9,17.2,14.1
Annual,Construction,Hour,Portugal,35.6,25.4,19.1
Annual,Construction,Hour,Romania,38.1,30.8,24.5
Annual,Construction,Hour,Serbia,:,:,12.6
Annual,Construction,Hour,Sweden,17.6,15.2 b,14.5 b
Annual,Construction,Hour,Slovenia,55.8,9.5,9.3
Annual,Construction,Hour,Slovakia,20.1,18.7,26.2
Annual,Construction,Hour,United Kingdom,30.2,38.4,:
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Austria,24.4,18.0,15.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Belgium,26.2,26.9,18.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Bulgaria,19.5,16.2,12.8
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Cyprus,18.1,21.4,10.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Czechia,12.8,11.5 b,8.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Germany,19.0,14.8,43.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Denmark,31.1,27.6,24.5
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Estonia,18.4,21.1,17.4
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Greece,16.4,15.7,13.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Spain,17.2,16.9,9.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,European Union - 27 countries (from 2020),23.1,19.6,26.0
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,European Union - 28 countries (2013-2020),23.5,19.6,:
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Finland,17.0,18.6,15.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,France,27.4,22.2,21.2
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Croatia,19.5,19.4,14.7
