Time frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Physical (including threats and not sexual),Percentage,Austria,10.1
Annual,Physical (including threats and not sexual),Percentage,Belgium,9.5
Annual,Physical (including threats and not sexual),Percentage,Bulgaria,7.1
Annual,Physical (including threats and not sexual),Percentage,Cyprus,20.0
Annual,Physical (including threats and not sexual),Percentage,Czechia,7.5
Annual,Physical (including threats and not sexual),Percentage,Germany,8.4
Annual,Physical (including threats and not sexual),Percentage,Denmark,13.7
Annual,Physical (including threats and not sexual),Percentage,Estonia,13.3
Annual,Physical (including threats and not sexual),Percentage,Greece,15.8
Annual,Physical (including threats and not sexual),Percentage,Spain,7.7
Annual,Physical (including threats and not sexual),Percentage,European Union (aggregate changing according to the context),10.7 e
Annual,Physical (including threats and not sexual),Percentage,Finland,23.7
Annual,Physical (including threats and not sexual),Percentage,France,8.8
Annual,Physical (including threats and not sexual),Percentage,Croatia,8.2
Annual,Physical (including threats and not sexual),Percentage,Hungary,27.5
Annual,Physical (including threats and not sexual),Percentage,Ireland,11.2
Annual,Physical (including threats and not sexual),Percentage,Italy,11.7 d
Annual,Physical (including threats and not sexual),Percentage,Lithuania,11.1
Annual,Physical (including threats and not sexual),Percentage,Luxembourg,13.5
Annual,Physical (including threats and not sexual),Percentage,Latvia,11.7
Annual,Physical (including threats and not sexual),Percentage,Montenegro,6.1
Annual,Physical (including threats and not sexual),Percentage,Malta,9.4
Annual,Physical (including threats and not sexual),Percentage,Netherlands,9.3
Annual,Physical (including threats and not sexual),Percentage,Poland,7.7
Annual,Physical (including threats and not sexual),Percentage,Portugal,7.0
Annual,Physical (including threats and not sexual),Percentage,Romania,25.4
Annual,Physical (including threats and not sexual),Percentage,Serbia,8.3
Annual,Physical (including threats and not sexual),Percentage,Sweden,13.4
Annual,Physical (including threats and not sexual),Percentage,Slovenia,9.4
Annual,Physical (including threats and not sexual),Percentage,Slovakia,16.2
Annual,Physical (including threats and not sexual),Percentage,Kosovo*,5.5
Annual,Physical (including threats) or sexual,Percentage,Austria,17.1
Annual,Physical (including threats) or sexual,Percentage,Belgium,17.1
Annual,Physical (including threats) or sexual,Percentage,Bulgaria,9.3
Annual,Physical (including threats) or sexual,Percentage,Cyprus,30.0
Annual,Physical (including threats) or sexual,Percentage,Czechia,13.4
Annual,Physical (including threats) or sexual,Percentage,Germany,15.8
Annual,Physical (including threats) or sexual,Percentage,Denmark,25.7
Annual,Physical (including threats) or sexual,Percentage,Estonia,21.8
Annual,Physical (including threats) or sexual,Percentage,Greece,21.7
Annual,Physical (including threats) or sexual,Percentage,Spain,14.4
Annual,Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),17.7 e
Annual,Physical (including threats) or sexual,Percentage,Finland,33.8
Annual,Physical (including threats) or sexual,Percentage,France,17.7
Annual,Physical (including threats) or sexual,Percentage,Croatia,12.7
Annual,Physical (including threats) or sexual,Percentage,Hungary,41.1
Annual,Physical (including threats) or sexual,Percentage,Ireland,22.7
Annual,Physical (including threats) or sexual,Percentage,Italy,13.6 d
Annual,Physical (including threats) or sexual,Percentage,Lithuania,16.6
Annual,Physical (including threats) or sexual,Percentage,Luxembourg,26.6
Annual,Physical (including threats) or sexual,Percentage,Latvia,16.1
Annual,Physical (including threats) or sexual,Percentage,Montenegro,7.3
Annual,Physical (including threats) or sexual,Percentage,Malta,14.6
Annual,Physical (including threats) or sexual,Percentage,Netherlands,16.7
