Time frequency,Unit of measure,Maritime entity (reporting)\Time,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024
Quarterly,Growth rate on previous period (t/t-1),Antwerp-Bruges,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.7,-13.9,4.9,5.7,-2.9,-8.9,10.2,0.8
Quarterly,Growth rate on previous period (t/t-1),Antwerpen,:,-7.4,10.2,-5.9,-8.0,19.9,-2.4,-0.7,-0.8,-8.2,8.4,17.7,-14.6,-2.0,5.6,1.3,-8.6,6.3,1.8,1.1,-6.5,-8.2,25.3,7.5,2.1,-0.1,-3.1,-11.3,0.7,8.4,4.8,-2.6,23.4,6.7,-0.3,-1.0,2.2,0.8,4.4,2.4,-3.7,5.2,3.4,0.0,4.1,-0.1,-2.3,-9.8,12.1,3.5,0.8,-0.5,1.3,5.1,-3.5,-3.9,-6.3,11.5,-4.8,-0.4,-4.6,-5.2,5.7,3.6,-8.3,11.1,0.6,3.8,:,:,:,:,:,:,:,:,:
Quarterly,Growth rate on previous period (t/t-1),Wilhelmshaven,:,2.7,-7.5,4.7,-9.1,16.8,-13.6,-7.7,15.5,-1.8,-20.4,29.8,-16.9,7.7,-18.1,24.9,-11.4,-7.9,2.5,-37.7,7.1,0.7,-1.2,-8.8,-16.0,8.9,7.9,40.6,-22.7,12.8,-0.7,-11.8,-2.8,-1.6,-12.2,-1.0,21.0,-21.9,8.8,17.2,-9.6,-24.0,21.6,-16.5,-15.5,30.2,21.9,-2.7,1.7,-19.6,34.8,-20.9,4.3,-8.0,-12.2,40.1,-2.6,4.0,3.0,-3.6,6.8,-5.8,9.6,-10.2,7.7,-12.7,21.4,3.9,-9.3,-0.5,11.6,0.8,15.9,-14.3,-22.8,30.3,9.6
Quarterly,Growth rate on previous period (t/t-1),HAROPA (Le Havre and Rouen),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.2,-0.5,-15.7,8.9,-0.1,15.6,-2.3,-5.6
Quarterly,Growth rate on previous period (t/t-1),Le Havre,:,-13.7,16.4,-3.1,3.3,-7.4,-2.2,15.4,-13.0,5.8,-4.6,3.8,-0.8,2.1,7.3,1.1,-5.2,-3.3,-11.8,8.6,-1.4,-0.9,-0.9,-14.1,5.9,0.0,5.8,5.0,-15.1,-2.7,3.2,-8.7,4.5,16.5,-6.6,0.8,-10.0,3.5,5.5,4.9,-3.2,10.1,-7.0,-7.4,-6.7,4.5,7.8,2.0,-2.2,-1.2,7.0,-0.2,-6.5,-5.4,18.8,-5.4,-4.2,-7.5,1.2,-12.2,-3.3,-19.6,21.6,-5.0,-4.0,3.7,8.7,9.8,:,:,:,:,:,:,:,:,:
Quarterly,Growth rate on previous period (t/t-1),Marseille,:,3.7,1.7,6.6,-4.1,-7.4,9.7,5.4,-20.5,23.4,-5.2,2.7,-2.9,-1.6,7.1,-9.2,0.2,-4.0,-6.4,0.2,3.5,-0.2,-0.1,-8.4,18.3,-0.8,-4.3,-1.0,-3.3,-7.6,4.8,-4.0,-6.1,-0.6,-4.6,-2.6,-6.8,5.7,10.1,-5.9,2.1,-4.6,6.2,7.2,-7.5,-11.3,23.8,-8.8,-10.0,3.3,-2.4,9.7,-7.0,-9.9,10.7,4.7,0.1,-8.5,5.2,-4.2,-5.4,8.2,0.4,-0.7,-7.3,2.8,1.0,0.8,5.0,-25.2,16.5,-6.3,2.5,24.9,-0.9,-1.5,-10.5
Quarterly,Growth rate on previous period (t/t-1),Trieste,:,-5.1,11.8,-1.1,-12.5,6.1,6.8,11.1,-23.3,6.0,0.4,-12.5,3.1,2.2,-17.0,24.8,14.4,-1.5,4.3,-19.3,-9.5,-5.0,21.9,-14.2,-0.7,23.8,-24.8,24.7,-7.4,-13.8,55.6,-40.6,79.6,-30.5,8.8,3.0,8.5,15.3,-17.3,-22.6,67.5,-23.4,-11.4,9.5,18.3,1.4,-10.9,17.6,-7.1,14.9,2.3,-2.3,-24.6,-3.4,11.7,-12.2,20.3,13.8,-13.1,18.5,-9.2,-15.1,34.9,-16.2,-3.3,19.3,-3.1,0.5,-3.7,4.8,-11.0,13.0,-12.7,-4.9,29.6,-21.8,3.9
Quarterly,Growth rate on previous period (t/t-1),Amsterdam,:,-12.8,8.8,-2.2,11.7,38.6,-13.7,-14.0,11.7,7.5,-3.9,13.3,25.7,4.6,-3.8,-0.4,1.3,6.1,-3.3,2.5,-7.3,3.8,-1.0,9.4,1.0,-3.7,-11.1,11.9,4.4,16.2,-13.6,11.1,-12.6,7.5,-7.2,1.8,12.8,3.1,-20.7,13.0,18.2,-0.4,-20.8,-4.5,29.2,-5.1,-8.9,12.6,11.6,-14.2,-6.0,4.7,19.0,-21.7,13.6,0.1,5.1,8.3,-5.7,-6.8,-0.4,14.5,-24.0,11.7,-9.0,15.4,-14.1,-9.7,-0.7,39.0,0.6,-23.2,5.8,-6.9,-8.3,-3.4,13.0
Quarterly,Growth rate on previous period (t/t-1),Rotterdam,:,3.8,-4.5,6.5,-2.9,2.4,0.9,2.5,-0.9,0.9,7.7,-1.5,4.5,-2.6,-1.9,-4.5,6.3,5.1,-6.5,1.8,15.1,-10.0,2.2,6.0,-10.7,-3.8,9.4,-4.9,12.1,-5.2,2.4,-2.5,0.3,-1.7,0.6,-8.2,3.7,0.5,2.9,2.5,4.6,4.5,-5.1,1.5,2.6,-4.4,2.9,-1.7,1.2,-2.3,-6.9,2.0,8.4,-8.9,3.0,1.8,9.2,-10.2,-2.0,-1.3,3.4,-5.7,-10.3,12.1,6.2,-8.8,8.5,2.0,-2.6,5.2,-0.1,3.7,-1.3,-7.2,-1.5,4.0,0.5
Quarterly,Growth rate on previous period (t/t-1),Gdansk,:,-22.8,14.6,-29.4,52.5,-5.1,-0.9,8.2,0.9,-4.3,-15.5,-15.2,-3.6,24.1,12.3,-32.1,-0.8,12.3,12.9,-5.4,13.7,24.2,14.5,-8.0,8.2,-27.2,-45.6,38.6,-29.0,-5.0,125.1,23.6,-28.3,-53.5,140.7,-3.8,-7.0,-18.8,15.6,39.5,-14.5,8.2,7.5,-8.4,-24.4,7.0,32.0,-15.0,-0.2,-7.4,-14.0,64.1,3.1,-16.9,-12.3,23.3,0.2,50.6,-35.0,-3.9,-13.3,-5.0,29.1,-27.6,52.2,-23.4,25.7,47.4,-15.5,7.4,12.3,14.5,13.4,13.1,4.6,-0.4,1.0
