Time frequency,Statistical information,Unit of measure,Age class,Geopolitical entity (reporting)\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Austria,17.1,15.0,17.7,24.3,17.8,18.2,22.9,16.2,14.3,13.7,17.2,14.9,17.9,15.1,17.4,17.8,19.1,20.2,18.2,10.8,9.8,15.0,11.5,14.6,7.6
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Belgium,20.7,17.5,14.7,18.9,22.0,17.0,12.6,9.5,12.8,14.1,13.7,13.6,15.4,15.1,11.1,17.0,17.3,19.6,22.3,21.1,24.6,26.8,35.0,21.0,36.7
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Bulgaria,:,23.4,29.4,31.4,31.7,23.0,28.5,25.6,28.6,27.2,30.3,30.6,32.2,23.5,33.8,52.7,54.6,43.2,29.6,39.8,37.8,26.9,39.6,50.3,49.1
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Czechia,15.0,14.2,13.7,10.8,9.9,12.1,8.6,10.8,8.5,8.1,8.9,6.9,4.2,7.7,6.5,6.8,7.0,4.8,5.2,6.8,11.5,10.1,9.3,13.4,15.2
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Germany,26.5,26.8,29.1,30.5,32.1,35.4,33.2,32.5,29.0,29.8,31.9,30.1,28.5,26.4,26.3,27.2,26.1,28.0,29.4,28.4,28.0,33.0,25.2,22.6,22.1
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,16.6,17.2,15.0,29.7,24.0,20.5,24.5,12.5,14.0,23.4,17.7,18.9,21.3,24.1,20.9,42.2,38.6
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Greece,10.5,11.1,11.2,11.1,10.1,11.0,12.8,13.9,12.2,13.9,14.9,15.1,13.2,19.7,17.6,15.8,16.4,18.4,13.7,10.4,15.7,17.2,22.2,25.9,29.2
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Spain,12.3,12.8,12.4,13.0,13.5,18.5,18.9,18.5,17.6,18.7,23.3,23.7,24.3,28.5,25.1,28.4,28.3,28.5,28.8,32.5,33.2,36.6,41.8,30.4,31.8
