Time frequency,Work intensity,At risk of poverty - Yes/No,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Sweden,:,12.0,16.4,19.1,21.7,20.1,17.7,21.4,14.1,22.0
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Slovenia,:,22.0,21.3,21.1,17.7,21.0,14.8,17.2,25.0,31.2
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Slovakia,:,28.9,38.8,39.5,39.3,41.7,27.2,26.2,26.1,44.3
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Türkiye,:,-16.1,-14.5,-15.8,-22.8,-18.4,-13.4,-10.9,-15.3,-9.6
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,United Kingdom,:,-0.2,1.7,3.2 b,4.8,:,:,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,37.4,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Austria,:,27.3,36.7,30.3,29.7,26.7,24.3,24.5,25.5,34.8
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Belgium,:,22.7,24.1,22.1,24.8,22.2 b,20.6 b,19.7,22.9,20.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Bulgaria,:,51.9,56.2 b,56.6,48.8,48.2,57.8,47.1,52.7,50.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Switzerland,:,29.7,24.8,32.1,31.2,30.6,29.5,23.6,28.4,32.2
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Cyprus,:,27.9,23.6,17.6,21.7,24.7,22.7,24.5,27.4,21.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Czechia,:,27.6,26.1,29.4,26.4,29.5,31.7,35.1,34.2,30.6
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Germany,:,28.0,28.0,27.9,30.1,31.5,30.9 b,26.7,27.8,29.4
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Denmark,:,23.6,20.7,24.0,19.3,24.8,20.6 b,21.2,23.3,23.2
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,37.7,38.5,36.8,37.3,38.7,36.7,35.5,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Euro area - 18 countries (2014),:,37.5,38.4,36.6,37.1,38.5,36.6 b,35.4,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,37.7,38.5,36.8,37.3,38.7,36.7 b,35.5,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,37.8,38.6,36.9,37.5,38.8,36.8,35.6,33.8,34.6
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Estonia,:,43.8,37.8,38.0,42.8,43.5,33.3,38.7,37.8,41.4
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Greece,:,52.1,52.2,50.9,47.9,41.9,44.9,43.0,42.1,39.2
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Spain,:,46.5,39.9,43.6,42.1,43.1,43.1,43.2,42.5,43.2
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,36.7,37.9,36.1,36.9,38.7,37.2,35.9,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,European Union - 27 countries (from 2020),:,38.2,39.1,37.2,37.7,38.7,37.2,35.9,34.5,35.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,36.7,37.9,36.1,36.9,38.7,:,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Finland,:,17.6,16.3,15.7,14.7,22.1,18.8,15.5,21.3 b,20.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,France,:,24.4,28.7,28.2,25.6,28.9,26.7 b,28.4,28.1 b,28.9
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Croatia,44.6,46.6,45.1,47.2,48.9,50.2,45.9,45.1,48.4,49.1 b
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Hungary,:,33.1,34.8,22.8,37.1,33.1,49.0,39.7,41.5,29.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Ireland,:,18.7,20.7,20.5,20.8,16.9 b,20.7 b,23.2,24.3,17.0
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Iceland,:,23.0,17.6 u,7.8 u,17.4 u,25.8,:,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Italy,:,57.5,61.3,53.8,56.3,58.0,52.4,51.2,44.5,45.9
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Lithuania,:,50.7,50.6,52.6,57.2,57.7,46.9,48.2,45.5,38.1
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Luxembourg,:,26.3,35.4 b,38.0,39.1,48.7,31.6 b,21.7 b,36.3 b,33.8
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Latvia,:,52.0,56.4,55.5,57.4,55.1,52.5,49.8,56.4,51.6
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,40.7,39.3,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,North Macedonia,:,54.4,59.4,54.7,57.0,53.1,52.6,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Malta,:,23.3,24.4,24.9,28.1,29.7,29.7,37.2,30.5,31.4
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Netherlands,:,18.7,18.0 b,19.4,14.9,15.2,19.6,20.1,20.7,15.0
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Norway,:,17.1,21.1,25.6,21.4,22.3,20.5,20.7 b,23.6,18.8 b
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Poland,:,36.7,37.6,36.1,37.3,36.3,31.5,37.6,35.5,44.1
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Portugal,:,45.4,44.3,46.1,42.8,42.0,41.7,41.4,41.4,49.1
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Romania,:,66.4,68.5,60.7,54.6,58.6,61.1,59.1,57.4,56.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Serbia,:,56.6,59.4,58.4,59.9,50.6,49.1,48.3,50.0,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Sweden,:,24.1,28.2,24.4,26.3,24.0,24.5,26.3,24.2,30.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Slovenia,:,34.0,30.6,31.0,32.7,33.5,28.3,28.4,37.1,37.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Slovakia,:,51.2,49.5,53.8,58.2,58.0,53.6,39.0,39.0,48.3
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,Türkiye,:,43.8,39.6,38.9,39.3,42.5,44.1,40.1,38.1,33.0
Annual,Very low work intensity (0-0.2),At risk of poverty,From 16 to 64 years,Percentage,United Kingdom,:,24.0,27.3,27.2 b,30.5,:,:,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,36.8,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Austria,:,27.3,37.2,31.4,29.7,28.0,24.2,22.7,25.5,34.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Belgium,:,22.8,24.1,22.0,24.8,22.5 b,20.6 b,19.8,23.2,20.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Bulgaria,:,52.3,56.2 b,56.5,48.8,48.2,57.8,45.3,52.3,50.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Switzerland,:,28.7,24.4,31.9,30.8,31.1,29.5,23.6,28.5,34.0
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Cyprus,:,27.9,23.6,17.6,21.7,24.7,22.7,25.0,26.0,21.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Czechia,:,27.7,26.0,29.0,26.4,29.8,31.7,35.1,34.2,29.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Germany,:,28.1,28.3,28.0,30.1,31.6,30.8 b,26.7,27.8,29.3
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Denmark,:,23.6,20.7,24.5,20.2,25.0,21.1 b,21.2,23.8,23.2
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,37.6,38.5,36.6,37.4,38.6,36.4,35.3,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Euro area - 18 countries (2014),:,37.5,38.4,36.4,37.2,38.5,36.3 b,35.2,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,37.6,38.5,36.6,37.4,38.6,36.4 b,35.3,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,37.8,38.6,36.7,37.6,38.8,36.5,35.5,33.7,34.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Estonia,:,43.7,37.8,38.4,42.1,43.5,33.3,38.7,38.0,41.4
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Greece,:,52.1,52.0,50.9,47.8,41.9,44.6,42.9,42.1,39.2
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Spain,:,46.4,39.6,42.9,41.8,43.1,42.9,43.2,42.5,43.1
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,36.7,37.9,36.0,37.0,38.7,37.2,35.8,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,European Union - 27 countries (from 2020),:,38.2,39.1,37.1,37.7,38.7,37.2,35.8,34.4,35.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,36.7,37.9,36.0,37.0,38.7,:,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Finland,:,17.5,16.2,16.1,15.1,22.6,19.1,15.5,21.3 b,20.9
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,France,:,23.7,28.5,28.2,25.9,28.2,26.5 b,28.2,27.7 b,29.3
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Croatia,45.3,45.7,45.1,47.2,49.0,50.3,47.0,45.0,48.5,49.4 b
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Hungary,:,33.4,35.5,22.8,37.1,34.1,48.8,39.8,41.5,29.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Ireland,:,18.7,20.3,20.5,20.5,16.9 b,20.9 b,23.2,25.6,17.3
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Iceland,:,23.0,17.6 u,7.8 u,17.4 u,25.8,:,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Italy,:,57.5,61.3,53.0,56.2,57.9,51.7,51.2,44.1,46.2
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Lithuania,:,50.7,50.9,52.6,58.9,58.7,46.9,48.9,45.9,38.1
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Luxembourg,:,28.1,35.4 b,38.0,39.1,48.7,31.6 b,21.7 b,36.3 b,33.8
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Latvia,:,52.0,56.0,55.5,57.5,55.3,52.4,51.1,56.4,51.6
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,41.1,39.3,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,North Macedonia,:,54.4,59.4,54.1,56.7,53.1,52.4,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Malta,:,22.7,24.3,24.9,28.1,29.7,29.7,37.2,30.5,31.4
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Netherlands,:,18.7,18.0 b,19.4,14.9,15.2,19.6,19.0,20.2,14.8
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Norway,:,17.3,21.4,25.8,21.3,23.0,20.5,20.7 b,23.6,18.8 b
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Poland,:,36.5,37.6,36.1,37.7,37.1,33.6,38.1,35.5,44.1
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Portugal,:,45.6,44.3,46.5,42.8,41.4,40.7,40.0,41.4,48.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Romania,:,66.5,68.5,61.8,54.6,59.2,63.2,59.4,57.8,56.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Serbia,:,56.6,59.5,58.3,59.7,51.1,48.8,48.3,49.9,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Sweden,:,23.8,28.2,24.5,25.9,24.0,24.5,26.5,24.2,30.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Slovenia,:,34.1,31.2,31.3,32.7,33.5,28.3,28.4,37.1,37.8
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Slovakia,:,51.2,49.5,53.8,58.2,56.2,53.6,37.1,35.1,48.3
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Türkiye,:,43.7,39.6,39.1,38.6,42.0,44.1,40.1,38.2,32.9
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,United Kingdom,:,24.1,27.3,27.2 b,30.0,:,:,:,:,:
