Time frequency,Work intensity,At risk of poverty - Yes/No,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Slovakia,:,31.0,26.6,28.8,26.1,27.9,25.7,27.6,17.5,35.7
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,Türkiye,:,26.1,25.3,24.5,24.6,26.5,26.5,26.5,24.5,24.5
Annual,Total,At risk of poverty,From 16 to 64 years,Percentage,United Kingdom,:,22.3,24.7,23.1 b,25.4,:,:,:,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,25.5,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Austria,:,21.8,20.6,25.9,22.4,25.8,23.9,22.4,23.1,21.9
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Belgium,:,19.8,21.1,19.4,21.4,18.6 b,18.0 b,16.3,20.6,15.3
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Bulgaria,:,34.1,36.3 b,34.3,31.7,33.2,31.6,28.0,28.4,29.5
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Switzerland,:,20.3,19.7,24.0,20.9,20.7,22.3,22.0,20.5,23.2
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Cyprus,:,21.8,18.1,15.4,18.6,17.0,17.7,16.1,16.8,15.1
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Czechia,:,19.6,20.7,17.7,17.1,15.8,16.8,20.2,21.9,22.8
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Germany,:,24.7,23.6,23.5,25.2,26.3,27.5 b,23.8,22.3,23.8
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Denmark,:,25.0,26.7,25.5,26.1,25.6,23.8 b,24.2,24.4,25.5
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,27.5,27.9,27.1,27.0,27.0,27.6,26.8,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Euro area - 18 countries (2014),:,27.5,27.8,27.0,27.0,27.0,27.6 b,26.8,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,27.5,27.9,27.1,27.0,27.0,27.6 b,26.8,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,27.5,27.9,27.1,27.1,27.0,27.6,26.8,25.2,24.7
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Estonia,:,29.6,28.7,29.1,29.3,29.4,28.7,27.7,29.8,28.9
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Greece,:,33.5,34.6,32.6,31.7,30.6,31.2,30.3,26.2,25.2
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Spain,:,35.0,33.2,33.1,29.7,31.1,32.2,31.9,29.2,27.0
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,27.1,27.8,26.9,27.2,27.4,27.6,27.4,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,European Union - 27 countries (from 2020),:,27.7,28.2,27.3,27.5,27.4,27.6,27.4,25.7,25.6
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,27.1,27.8,26.9,27.2,27.4,:,:,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Finland,:,18.9,16.9,18.1,17.6,19.3,16.5,15.6,19.0 b,19.5
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,France,:,17.3,19.4,19.1,19.6,18.1,23.1 b,22.5,22.6 b,22.7
