Time frequency,Unit of measure,Motor energy,Geopolitical entity (reporting)\Time,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Thousand,Natural gas,Czechia,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,: m,: m,: m,: m,: m,: m,:,:,:
Annual,Thousand,Natural gas,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,61.0,69.0,72.0,75.0,76.0
Annual,Thousand,Natural gas,Denmark,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand,Natural gas,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Natural gas,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,:,:,:,:,:,:,:
Annual,Thousand,Natural gas,Finland,0.0,0.0,0.0,0.0,0.0,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Natural gas,France,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,:,: m,: m,: m,:,:,:,:,:
Annual,Thousand,Natural gas,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Natural gas,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,:,:,:,:,:
Annual,Thousand,Natural gas,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.01
Annual,Thousand,Natural gas,Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0 e,7 e,:,:,:,:,:,:,:
Annual,Thousand,Natural gas,Italy,:,:,:,:,:,:,:,:,:,257.0,289.0,320.0,335.0,:,316.0,345.0,375.0,424.0,506.0,612.0,661.0,681.0,720.0
Annual,Thousand,Natural gas,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,: m,:,: m,: m,:,0.0,0.003,0.02,0.022,0.03,:,:
Annual,Thousand,Natural gas,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.1,:,:,:
Annual,Thousand,Natural gas,Latvia,:,:,:,:,:,:,:,:,:,:,0.2,0.1,0.1,0.1,0.1,0.1,0.06,0.05,0.05,0.05,0.0,0.0,0.0
Annual,Thousand,Natural gas,North Macedonia,:,:,:,:,:,:,:,:,0.0,1.0,1.0,2.0,2.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand,Natural gas,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.001,0.0,0.0,0.0,0.0
Annual,Thousand,Natural gas,Netherlands,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,:
Annual,Thousand,Natural gas,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,0.0,0.0,0.0,0.0,:,:,0.0
Annual,Thousand,Natural gas,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,:,: m,:,: m,:
Annual,Thousand,Natural gas,Sweden,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.92,1.83,2.85,4.14,0.74,1.4,2.17,2.87,3.77,4.79,:
Annual,Thousand,Natural gas,Slovenia,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand,Natural gas,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.05,0.05
Annual,Thousand,Natural gas,United Kingdom,:,:,:,:,:,:,:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.245,1.227,1.2,: @C,1.0,1.0,1.0,1.0,:
Annual,Thousand,Liquefied petroleum gases (LPG),Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Liquefied petroleum gases (LPG),Belgium,:,:,:,:,:,:,:,:,45.0,46.0,59.0,72.0,74.0,71.0,65.0,60.0,56.0,51.0,47.0,42.0,37.0,34.0,:
Annual,Thousand,Liquefied petroleum gases (LPG),Switzerland,:,:,:,:,:,:,:,:,0.0,:,:,:,:,:,:,0 n,0 n,0 n,2 e,0 e,0 e,1 e,1 e
Annual,Thousand,Liquefied petroleum gases (LPG),Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,: m,: m,: m,: m,:,0.0,0.0,0.0,0.0
Annual,Thousand,Liquefied petroleum gases (LPG),Czechia,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,: m,: m,: m,: m,: m,: m,:,:,:
Annual,Thousand,Liquefied petroleum gases (LPG),Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,306.0,369.0,419.0,456.0,495.0
Annual,Thousand,Liquefied petroleum gases (LPG),Denmark,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand,Liquefied petroleum gases (LPG),Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Liquefied petroleum gases (LPG),Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,:,:,:,:,:,:,:
Annual,Thousand,Liquefied petroleum gases (LPG),Finland,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Liquefied petroleum gases (LPG),France,:,:,:,:,:,:,:,:,:,107.0,123.0,134.0,140.0,141.0,141.0,141.0,148.0,145.0,:,:,:,:,:
Annual,Thousand,Liquefied petroleum gases (LPG),Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,: m,24.0,39.0,46.0,47.0,48.0,49.0
Annual,Thousand,Liquefied petroleum gases (LPG),Hungary,:,:,:,:,:,:,:,:,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,:,:,:,:,:
Annual,Thousand,Liquefied petroleum gases (LPG),Ireland,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,0.0,0.0
Annual,Thousand,Liquefied petroleum gases (LPG),Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0 e,: m,:,:,:,:,:,:,:
Annual,Thousand,Liquefied petroleum gases (LPG),Italy,:,:,:,:,:,1433.0,1720.0,1626.0,1556 p,1254.0,1292.0,1293.0,1198.0,:,975.0,977.0,992.0,1002.0,1129.0,1474.0,1753.0,1776.0,1862.0
Annual,Thousand,Liquefied petroleum gases (LPG),Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,: m,:,: m,: m,:,0.01,0.0,0.0,0.0,0.0,:,:
Annual,Thousand,Liquefied petroleum gases (LPG),Luxembourg,:,:,:,:,:,:,:,:,:,:,0.31,:,0.23,0.0,0.0,0.19,0.19,0.2,0.24,0.0,:,:,:
Annual,Thousand,Liquefied petroleum gases (LPG),Latvia,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
