Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,"Final consumption expenditure, as a share of GDP (%)",Algeria,45.2 d,42.9 d,43.3 d,43.4 d,53.7 d,51.5 d,51.8 d,52.5 d,53.8 d,56.2 d,62.6 d,63.4 d,62.5 d,59.6 d
Annual,"Final consumption expenditure, as a share of GDP (%)",Egypt,84.3 d,82.9 d,83.7 d,83.2 d,87.4 d,85.7 d,87.0 d,91.9 d,92.1 d,94.8 d,94.2 d,94.5 d,96.9 d,:
Annual,"Final consumption expenditure, as a share of GDP (%)",Israel,79.6,79.4,79.6,80.5,79.1,79.3,79.1,78.7,78.2,78.0,77.0,77.2,77.3,77.8
Annual,"Final consumption expenditure, as a share of GDP (%)",Jordan,107.4 de,105.7 de,107.3 de,99.2 e,94.2 e,91.2 e,99.2 e,103.1 e,107.6 e,104.7 e,101.9 e,101.4 e,:,:
Annual,"Final consumption expenditure, as a share of GDP (%)",Lebanon,95.8,98.7,98.7,100.9,96.4,99.2,100.5,101.6,98.4,102.3,98.3,100.6,105.0,:
Annual,"Final consumption expenditure, as a share of GDP (%)",Libya,38.0 d,37.0 d,25.0 d,22.0 d,34.0 d,28.0 d,55.0 d,30.0 d,:,:,:,:,:,:
Annual,"Final consumption expenditure, as a share of GDP (%)",Morocco,76.8,76.0,75.5,75.1,76.9,76.7,78.2,80.2,:,80.0,76.8,77.8,76.9,77.0
Annual,"Final consumption expenditure, as a share of GDP (%)",Palestine*,133.3 de,136.5 de,136.6 de,131.6 de,131.7 de,122.2 de,119.7 de,118.2 de,116.2 de,120.6 de,119.9 de,118.0 de,114.3 de,115.9 d
Annual,"Final consumption expenditure, as a share of GDP (%)",Tunisia,78.7 dp,78.4 d,78.2 d,77.5 d,78.6 d,79.5 d,84.4 d,85.0 d,86.8 d,87.9 d,90.9,:,:,:
Annual,"Final consumption expenditure of households & NPISHs, as a share of GDP (%)",Algeria,33.8 d,31.7 d,31.7 d,30.2 d,37.6 d,34.3 d,31.2 d,32.1 d,34.7 d,36.4 d,41.0 d,42.5 d,43.3 d,42.3 d
Annual,"Final consumption expenditure of households & NPISHs, as a share of GDP (%)",Egypt,71.6 d,70.6 d,72.4 d,72.3 d,76.1 d,74.6 d,75.6 d,80.7 d,80.8 d,82.9 d,82.4 d,83.1 d,86.8 d,:
Annual,"Final consumption expenditure of households & NPISHs, as a share of GDP (%)",Israel,55.4,55.4,56.6,57.5,56.3,56.6,56.6,56.0,55.4,55.2,54.5,54.8,54.7,54.7
Annual,"Final consumption expenditure of households & NPISHs, as a share of GDP (%)",Jordan,87.8 de,85.0 de,86.7 de,82.6 e,75.2 e,73.7 e,81.0 e,85.8 e,91.0 e,88.2 e,85.8 e,85.8 e,:,:
Annual,"Final consumption expenditure of households & NPISHs, as a share of GDP (%)",Lebanon,81.9,84.7,85.6,88.0,84.1,87.6,88.4,88.1,85.5,89.6,85.8,88.3,91.9,:
Annual,"Final consumption expenditure of households & NPISHs, as a share of GDP (%)",Libya,27.0 d,26.0 d,15.0 d,14.0 d,23.0 d,19.0 d,26.0 d,16.0 d,:,:,:,:,:,:
Annual,"Final consumption expenditure of households & NPISHs, as a share of GDP (%)",Morocco,57.5,57.5,57.9,58.3,58.6,58.8,59.5,60.4,:,60.1,57.5,58.5,57.9,58.0
Annual,"Final consumption expenditure of households & NPISHs, as a share of GDP (%)",Palestine*,105.1 de,108.5 de,107.4 de,104.1 de,99.5 de,94.1 de,92.0 de,90.5 de,89.1 de,93.3 de,92.8 de,91.7 de,88.0 de,90.4 d
Annual,"Final consumption expenditure of households & NPISHs, as a share of GDP (%)",Tunisia,61.8 dp,61.7 d,61.6 d,61.4 d,62.0 d,62.9 d,66.4 d,66.8 d,68.1 d,69.2 d,71.4,:,:,:
Annual,"Final consumption expenditure of general government, as a share of GDP (%)",Algeria,11.5 d,11.2 d,11.6 d,13.2 d,16.1 d,17.2 d,20.7 d,20.3 d,19.1 d,19.8 d,21.6 d,20.9 d,19.3 d,17.3 d
