Time frequency,Frequency,Classification of activities for time use,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2015.0,2022.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Austria,69.6,73.6,55.3
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Belgium,70.7,68.1,59.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Bulgaria,24.3,28.6,19.7
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Switzerland,:,86.5,74.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Cyprus,55.6,52.6,35.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Czechia,60.4,70.2,58.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Germany,78.4,73.5,: u
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Denmark,82.6,85.4,77.3
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Estonia,61.6,69.8,60.7
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Greece,47.9,46.9,36.6
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Spain,65.6,58.5,58.5
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),:,62.7,:
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Finland,55.7,83.8,65.7
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,France,70.0,77.9,54.4
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Croatia,:,36.6,32.4
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Hungary,51.7,50.0,39.4
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Ireland,41.1 u,69.3 u,60.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Iceland,59.8,90.2,:
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Italy,51.3,46.9,36.8
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Lithuania,55.2,62.0,47.6
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Luxembourg,74.7,79.3,77.7
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Latvia,54.7,63.3,40.1
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Montenegro,:,31.8,24.4
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,North Macedonia,:,23.9,:
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Malta,45.4,50.5,37.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Netherlands,52.6 u,83.8,69.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Norway,60.6 u,85.9,70.3
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Poland,49.0,53.7 u,50.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Portugal,61.3,62.8,51.2
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Romania,:,27.4,22.2
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Serbia,:,29.8,31.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Sweden,59.9,85.2,62.8
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Slovenia,38.2,70.1,56.6
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Slovakia,62.3,59.4,35.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,Türkiye,:,:,19.4
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,16 years or over,Total,Percentage,United Kingdom,76.0,74.6 u,:
