Time frequency,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Females,From 15 to 29 years,Percentage of total population,Austria,:,:,:,:,:,:,11.9,11.2,10.4,10.1,10.3,10.9,9.7,10.0,9.6,10.4,10.3,10.2,10.3,9.6,10.0
Annual,Females,From 15 to 29 years,Percentage of total population,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,28.8,27.4,25.9
Annual,Females,From 15 to 29 years,Percentage of total population,Belgium,:,:,:,:,:,:,14.4,14.1,15.3,15.4,15.7,14.2,15.0,14.0,13.2 b,13.1,12.5,12.4,9.7 b,9.1,9.5
Annual,Females,From 15 to 29 years,Percentage of total population,Bulgaria,:,:,:,:,:,:,24.2,26.0 b,26.7 b,26.6,28.0,27.0,24.9,26.0,23.3,22.0,20.3 b,21.5,20.6,16.9,15.2
Annual,Females,From 15 to 29 years,Percentage of total population,Switzerland,:,:,:,:,:,:,:,9.6 b,8.7,8.7,8.6,8.0,7.7,7.8,7.1,6.5,6.0,5.9,:,:,7.9
Annual,Females,From 15 to 29 years,Percentage of total population,Cyprus,:,:,:,:,:,:,14.2,14.8,15.4,17.4,20.1,18.5,19.2,19.5,19.3,15.5,16.7,16.1,15.4,16.7,14.8
Annual,Females,From 15 to 29 years,Percentage of total population,Czechia,:,:,:,:,:,:,17.6,17.7,16.9 b,17.7,17.7,17.4,17.2,16.8,15.5,15.3,15.9,17.6,17.3,17.1,15.5
Annual,Females,From 15 to 29 years,Percentage of total population,Germany,:,:,:,:,:,:,15.3,14.9 b,13.5 b,13.3,12.4,12.4,12.1,12.5,12.0,11.3,11.0,10.7 b,10.9,10.5,10.3
Annual,Females,From 15 to 29 years,Percentage of total population,Denmark,:,:,:,:,:,:,7.3,7.7,8.9,9.0,8.7,8.7,8.9,8.7 b,10.5 b,9.7,9.6,10.4,8.9,8.3,8.9 b
