Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Austria,:,:,:,:,:,:,6.8,6.9,7.9,9.1,9.9,11.2,11.9,12.0,11.8,11.5,11.4,11.3,12.4,14.3 i
Annual,Percentage,Belgium,:,:,:,:,:,:,13.5,14.4,17.3,17.3,17.9,18.0,18.0,19.0,20.6,20.5,22.9,21.4,18.3,19.7 e
Annual,Percentage,Bulgaria,:,:,:,:,:,:,2.1,1.8,1.8,2.5,2.7,3.1,4.3,3.4,2.4,4.0,5.8,4.3,3.0,4.9 i
Annual,Percentage,Cyprus,:,:,:,:,:,:,2.0,1.9,2.0,2.4,2.2,2.4,2.4,2.4,2.8,3.2,3.8,5.9,8.5,5.4 i
Annual,Percentage,Czechia,:,:,:,:,:,:,5.3,5.4,6.3,6.7,6.8,6.9,7.5,9.1,10.5,10.6,11.5,11.0,11.3,12.8 i
Annual,Percentage,Germany,:,:,:,:,:,:,11.2,10.6,11.0,11.1,11.2,11.6,11.8,11.6,12.0,12.4,12.8,12.2,12.5,13.9 i
Annual,Percentage,Denmark,:,:,:,:,:,:,8.0,7.0,6.4,7.7,9.0,8.3,8.0,7.9,8.1,7.6,7.6,8.6,9.3,9.1 i
Annual,Percentage,Estonia,:,:,:,:,:,:,9.0,14.5,19.2,14.7,11.3,11.4,11.9,12.5,13.8,15.3,16.4,20.0,21.4,18.1 i
Annual,Percentage,Greece,:,:,:,:,:,:,2.5,2.0,1.8,1.7,1.3,1.8,2.1,2.5,3.0,3.3,4.2,5.3 b,6.3,5.2 i
Annual,Percentage,Spain,:,:,:,:,:,:,10.4,9.9,9.8,8.9,7.7,7.6,8.2,8.8,8.9,9.0,9.3,8.8,9.4,8.5 i
Annual,Percentage,European Union - 27 countries (from 2020),8.2,8.7,9.0,8.9,9.1,10.4,10.7,10.2,11.0,11.2,11.1,11.2,11.4,11.5,11.6,11.2,11.2,11.1,11.5,11.8 i
Annual,Percentage,Finland,:,:,:,:,:,:,10.7,11.4,12.2,7.9,5.5,4.9,3.8,4.4,4.4,4.5,4.4,5.1,5.4,2.4 i
Annual,Percentage,France,:,:,:,:,:,:,17.5,16.9,16.8,17.2,17.8,18.8,19.3,18.7,19.5,17.1,16.2,15.9,17.5,17.6 i
Annual,Percentage,Croatia,:,:,:,:,:,:,1.6,2.4,3.5,3.9,4.8,4.6,4.6,5.1,5.0,5.4,5.5,6.1,6.8,6.2 i
Annual,Percentage,Hungary,:,:,:,:,:,:,5.2,5.4,6.0,6.1,5.3,5.7,6.3,6.7,6.9,5.5,5.1,5.0,4.9,5.9 i
Annual,Percentage,Ireland,:,:,:,:,:,:,1.9,2.2,1.9,1.9,2.2,2.1,2.0,1.9,1.9,1.8,1.8,2.1,2.1,2.3 i
Annual,Percentage,Italy,:,:,:,:,:,:,11.6,11.6,13.9,16.0,16.1,17.2,17.8,18.4,18.8,18.8,20.6,19.7,20.6,20.8 i
Annual,Percentage,Lithuania,:,:,:,:,:,:,3.9,3.6,3.8,3.1,3.7,4.1,4.6,4.4,4.3,3.9,4.0,4.1,4.0,3.9 i
Annual,Percentage,Luxembourg,:,:,:,:,:,:,23.4,19.8,17.7,15.2,11.1,9.6,7.1,10.6,10.8,9.1,9.4,8.5,12.3,10.2
Annual,Percentage,Latvia,:,:,:,:,:,:,1.2,2.9,1.3,3.9,5.3,5.3,6.6,5.5,4.7,4.8,5.2,5.0,4.5,5 i
Annual,Percentage,Malta,:,:,:,:,:,:,5.3,4.5,3.9,6.3,6.4,4.6,4.2,6.5,8.3,12.8,16.5,19.2,21.5,19.8 i
Annual,Percentage,Netherlands,:,:,:,:,:,:,25.5,25.0,26.3,26.8,26.5,26.7,29.0,26.7,25.8,25.6,27.1,28.5,27.2,30.6 i
Annual,Percentage,Poland,:,:,:,:,:,:,11.1,9.4,11.0,12.2,13.0,11.9,10.6,10.4,10.5,9.2,7.4,7.0,6.7,7.5 i
Annual,Percentage,Portugal,:,:,:,:,:,:,1.8,1.7,2.0,2.5,2.4,2.1,2.1,2.0,2.2,2.3,2.5,2.7,3.3,2.8 i
Annual,Percentage,Romania,:,:,:,:,:,:,3.5,2.5,2.6,2.5,2.1,1.7,1.7,1.8,1.6,1.4,1.5,1.5,1.5,1.3 i
Annual,Percentage,Sweden,:,:,:,:,:,:,7.2,7.6,8.2,7.2,6.4,6.7,6.9,6.7,6.6,6.4,6.9,9.5,12.1,9.9 i
Annual,Percentage,Slovenia,:,:,:,:,:,:,5.9,7.6,9.4,9.3,8.5,8.7,8.7,9.8,10.1,10.2,9.9,8.9,8.3,8.8 i
Annual,Percentage,Slovakia,:,:,:,:,:,:,5.0,4.7,4.0,4.5,4.8,5.0,5.2,4.9,4.7,8.3,10.3,10.4,11.5,10.6 i
