Time frequency,Vehicles,Unit of measure,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Aircraft,Percentage,Austria,16.4 e,16.0 e,16.9 e,17.7 e,18.2,18.5,18.9,19.2,19.0,20.1,23.2 be,25.0 e,9.5 e,12.6 e,22.7 e
Annual,Aircraft,Percentage,Belgium,7.4,7.1,7.4,8.0,8.4 be,8.8 e,9.8 be,10.4 e,10.9 e,11.7 e,12.1 e,12.3 e,4.3 e,4.7 e,10.6 e
Annual,Aircraft,Percentage,Bulgaria,15.3 e,15.1 e,16.8 e,17.7 e,20.2 e,20.9 e,21.1 e,21.3 e,20.7 e,21.6 e,24.3 e,25.1 e,10.3 e,16.0 e,25.9 e
Annual,Aircraft,Percentage,Switzerland,9.8,9.1,9.2,10.6,10.8,11.1 e,11.5 e,12.0 e,12.5 e,13.2 e,13.8 e,14.0 e,4.9 e,6.6 e,12.7 e
Annual,Aircraft,Percentage,Cyprus,14.4 e,13.7 e,14.9 e,15.1 e,18.0 e,19.1 e,20.2 e,21.1 e,22.4 e,24.8 e,26.0 e,26.5 e,9.1 e,12.6 e,23.2 e
Annual,Aircraft,Percentage,Czechia,10.6 e,10.2 e,11.8 e,12.5,13.4,13.7 e,13.7 e,14.0 e,14.3 e,15.1 e,15.7,16.1,6.0 e,6.4,11.5
Annual,Aircraft,Percentage,Germany,8.2 e,7.8 e,8.1 e,8.3 b,8.7,8.9,9.0,9.3,9.5,10.4 e,10.9 e,11.4 e,3.9,4.7,9.2
Annual,Aircraft,Percentage,Denmark,9.7,10.2 be,10.8 e,11.4 e,11.5 e,11.9 e,12.1 e,12.0 e,12.4 e,12.8 e,13.1 e,12.8 e,4.1 e,4.2 e,9.5 e
Annual,Aircraft,Percentage,Estonia,15.8 e,14.9 e,16.7 e,18.1 e,18.6 e,18.5 e,18.0 e,17.5 e,16.5 e,17.8 e,19.0 e,18.6 e,5.2 e,4.6 e,9.8 e
Annual,Aircraft,Percentage,Greece,15.1 e,14.5 e,15.3 e,15.1 e,16.3 e,16.4 e,17.3 e,18.1 e,17.6 e,19.1 e,21.1 e,22.0 e,8.6 e,12.9 e,22.3 e
Annual,Aircraft,Percentage,Spain,15.3,14.4,15.5,16.5,16.5,16.7,18.2,18.3,19.3 be,21.3 e,21.7 e,22.3 e,9.9 e,11.8 e,20.1 e
Annual,Aircraft,Percentage,European Union - 27 countries (from 2020),10.4 be,9.7 be,10.3 be,10.9 be,11.6 be,11.9 e,12.2 be,12.5 e,12.9 be,13.7 e,14.5 be,15.0 e,5.7 e,7.1 e,13.1 e
Annual,Aircraft,Percentage,Finland,6.5,5.8,5.9,6.4,6.7,6.7,6.9,6.9,6.8 b,7.4,8.0,8.3,2.5,1.9,4.5
Annual,Aircraft,Percentage,France,13.9,12.2,12.2 e,12.9 e,13.2,14.4,14.7,15.1,15.9,16.8,17.4,17.8,6.9,8.2,14.9
Annual,Aircraft,Percentage,Croatia,24.3 e,24.1 e,26.1 e,27.6 e,28.8 e,29.4 e,30.6 e,31.8 e,32.3 e,34.6 e,37.6 e,39.6 e,19.8 e,25.4 e,40.4 e
Annual,Aircraft,Percentage,Hungary,11.7 e,11.8 e,13.3 e,14.2,15.6 e,16.3 e,16.9 e,17.5 e,17.1 e,17.7 e,19.2 e,19.7 e,7.3 e,10.3 e,17.1 e
Annual,Aircraft,Percentage,Ireland,12.1 e,11.1 e,11.1 e,11.5 e,12.2 e,12.2 e,12.7 e,12.3 e,12.1 e,12.4 e,12.6 e,12.9 e,3.6 e,4.5 e,11.3 e
Annual,Aircraft,Percentage,Italy,6.0 e,5.6 e,6.1 be,6.6 e,7.4,7.0 e,7.1,7.1,7.2,7.4,8.2,8.5,4.0,4.9,9.1
Annual,Aircraft,Percentage,Lithuania,5.7,5.6,6.8,8.3,7.8,8.4,10.9,11.1,11.2,10.4,11.8,12.1 e,3.1 e,3.1 e,5.3 e
Annual,Aircraft,Percentage,Luxembourg,7.9 e,7.6 e,8.0 e,8.5 e,9.2 e,9.4 e,9.7 e,9.8 e,10.0 e,10.4 e,10.7 e,10.5 e,3.5 e,4.0 e,8.9 e
Annual,Aircraft,Percentage,Latvia,12.3,13.7,14.9,16.9,17.0,17.3,17.3,17.2,17.4,17.8,19.2,19.8,5.3,5.3,11.4
Annual,Aircraft,Percentage,Malta,6.5 e,6.1 e,7.0 e,7.2 e,7.3 e,7.6 e,7.6 e,7.6 e,7.8 e,8.8 e,9.7 e,10.1 e,3.2 e,4.2 e,8.2 e
Annual,Aircraft,Percentage,Netherlands,6.7 e,6.2 e,6.5 e,6.9 e,7.3 e,7.6 e,7.9 e,8.7 e,9.2 e,9.8 e,9.8 e,9.8 e,4.3 e,4.3 e,8.8 e
Annual,Aircraft,Percentage,Norway,11.3,11.0,11.3,11.9,12.7,13.2,13.3,13.2 e,13.4 e,15.3 e,15.6 e,15.5 e,7.0 e,7.6 e,13.6 e
Annual,Aircraft,Percentage,Poland,6.3 be,5.5 e,8.2 e,8.9,9.9,10.4 e,10.4 e,10.5 e,10.5 e,11.3 e,12.1 e,12.4 e,3.8 e,4.3 e,7.8 e
Annual,Aircraft,Percentage,Portugal,10.7 e,10.4 e,11.0 e,12.2 e,12.5 e,13.1 e,13.7 e,14.2 e,14.6 e,15.5 e,15.5 e,15.6 e,6.1 e,7.4 e,14.6 e
Annual,Aircraft,Percentage,Romania,13.5 be,13.5 be,14.8 e,16.2 e,17.5 e,17.7 e,17.4 e,17.2 e,16.9 e,18.0 e,18.8 e,18.9 e,7.1 e,10.2 e,16.5 e
Annual,Aircraft,Percentage,Sweden,12.7,11.7,12.2,12.3 e,12.9 e,13.4 e,13.6 e,13.8 e,16.1 e,16.6 e,17.0 e,17.0 e,5.8 e,6.1 e,12.4 e
Annual,Aircraft,Percentage,Slovenia,10.2,9.5,10.1,10.6 e,11.9 e,12.0 e,12.4 e,12.7 e,12.6 e,13.7 e,14.9 e,15.7 e,7.0 e,9.9 e,17.3 e
Annual,Aircraft,Percentage,Slovakia,10.2 e,10.1 e,11.1 e,11.8 e,12.7 e,13.3 e,13.6 e,13.3 e,13.8,15.3,17.2,18.2,6.5,8.7,14.6
Annual,"Motor coaches, buses and trolley buses",Percentage,Austria,8.9 e,8.1 e,8.2 e,8.2 e,8.2,8.1,8.1,8.0,8.0,8.0,7.3 be,7.2 e,8.1 e,8.0 e,6.5 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Belgium,13.3,12.3,11.4,11.7,11.4 be,13.9 e,10.4 be,9.8 e,9.3 e,9.0 e,9.0 e,9.1 e,7.8 e,7.8 e,8.7 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Bulgaria,17.6 e,14.3 e,13.7 e,13.1 e,11.8 e,11.1 e,11.9 e,11.5 e,11.2 e,10.3 e,9.1 e,9.8 e,7.7 e,6.7 e,7.8 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Switzerland,4.6,4.6,4.6,5.1,5.1,5.1 e,5.1 e,5.2 e,5.1 e,5.1 e,5.1 e,5.2 e,6.0 e,5.9 e,5.5 e
