Time frequency,Unit of measure,Meat product,Item of meat,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand tonnes,Poultry meat,Slaughterings,Spain,1384.24 p,1342.58,1436.69,1446.99,1526.63,1528.85 p,1636.82,1705.19 p,1708.00 p,1629.45,1638.64,1697.58
Annual,Thousand tonnes,Poultry meat,Slaughterings,European Union - 27 countries (from 2020),: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: b@C,: @C
Annual,Thousand tonnes,Poultry meat,Slaughterings,Finland,107.41,111.09,113.37,117.31,125.41,128.81,135.28,139.09,145.32,147.16,147.13,143.58
Annual,Thousand tonnes,Poultry meat,Slaughterings,France,1709.00 p,1695.00 p,1678.00 p,1719.00 p,1669.0,1650.00 p,1732.00 p,1698.00 p,1676.00 p,1646.00 p,1503.58 p,1533.41 p
Annual,Thousand tonnes,Poultry meat,Slaughterings,Croatia,61.3,55.70 e,59.10 e,63.40 e,64.00 e,64.50 e,66.2,66.89,68.92,71.11,71.62,72.09
Annual,Thousand tonnes,Poultry meat,Slaughterings,Hungary,412.2,394.45,430.09,478.71,507.94,485.14,525.23,533.03,513.78,549.98,479.88,514.81
Annual,Thousand tonnes,Poultry meat,Slaughterings,Ireland,132.41,117.05,115.9,128.02,145.51,152.23,156.78,167.06,176.78,175.98,170.94,179.38
Annual,Thousand tonnes,Poultry meat,Slaughterings,Iceland,7.8,7.8,8.2,8.4,9.11,9.71,9.47,9.58,9.09,9.34,9.44,9.65
Annual,Thousand tonnes,Poultry meat,Slaughterings,Italy,1258.58,1223.45,1242.79,1294.96,1366.27,1327.1,1284.95,1365.86,1389.48,1376.24,1213.16,1334.14
Annual,Thousand tonnes,Poultry meat,Slaughterings,Lithuania,81.76,89.77,94.41,95.79,104.1,110.74,108.69,100.61,98.81,86.56,86.28,85.95
Annual,Thousand tonnes,Poultry meat,Slaughterings,Luxembourg,0.0,: @C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand tonnes,Poultry meat,Slaughterings,Latvia,24.49 p,26.71,28.56,29.52,30.02,33.56,33.2,34.89,35.17,35.13,36.6,37.08
Annual,Thousand tonnes,Poultry meat,Slaughterings,Montenegro,:,:,0.51,0.63,0.61,1.7,1.99,1.67,1.26,:,1.14 p,1.39 p
Annual,Thousand tonnes,Poultry meat,Slaughterings,North Macedonia,:,:,0.69,1.08,:,0.0,0.0,0.0,0.0,0.0,0.42,0.47
Annual,Thousand tonnes,Poultry meat,Slaughterings,Malta,4.25,4.12,3.92,3.91,3.83,3.68,3.82,3.99,4.15,4.07,4.25,4.74
Annual,Thousand tonnes,Poultry meat,Slaughterings,Netherlands,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand tonnes,Poultry meat,Slaughterings,Poland,1548.8,1651.98,1804.06,2011.04,2268.36,2343.55,2545.14,2593.45,2696.01,2540.21,2729.89,2746.04
Annual,Thousand tonnes,Poultry meat,Slaughterings,Portugal,292.16,291.74,295.21,308.69,326.4,340.92,345.54,351.82,355.8,360.64,370.98,380.74
Annual,Thousand tonnes,Poultry meat,Slaughterings,Romania,312.73,325.55,345.62,374.79,390.66,405.46,452.50 p,482.28 p,462.32 p,465.30 p,491.22 p,510.69 p
Annual,Thousand tonnes,Poultry meat,Slaughterings,Serbia,54.73,55.52,55.3,58.58,62.81,78.23,85.16,91.36,93.07,92.65,105.0,116.62
Annual,Thousand tonnes,Poultry meat,Slaughterings,Sweden,116.31,124.83,135.16,145.78,158.03,158.52,156.5,163.67,177.62,188.73,176.12,175.86
Annual,Thousand tonnes,Poultry meat,Slaughterings,Slovenia,58.66,57.09,59.8,58.76 p,64.01,68.66,69.17,70.01,72.94,72.21,73.66,75.25
Annual,Thousand tonnes,Poultry meat,Slaughterings,Slovakia,: @C,: @C,: @C,: @C,: @C,: @C,74.53,71.5,73.0,77.32,77.37,77.36
Annual,Thousand tonnes,Poultry meat,Slaughterings,Türkiye,1765.85,1797.99,1943.35,1962.0,1925.62,2189.24,2226.34,2198.17,2194.47,2297.07,2471.64,2376.37
Annual,Thousand tonnes,Poultry meat,Slaughterings,United Kingdom,1607.94,1662.2,1642.62,1688.84,1791.26 p,1811.92,1957.81,1899.0,:,:,:,:
Annual,Thousand tonnes,Poultry meat,Slaughterings,Kosovo*,:,:,:,:,0.0,0.0,0.0,:,:,:,0.0,0.0
