Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Percentage,Austria,46.5,44.0 b,40.9 b,40.2
Annual,From 10 to 49 persons employed,Percentage,Belgium,8.5,15.5 b,16.3 b,16.9
Annual,From 10 to 49 persons employed,Percentage,Bulgaria,3.1,4.8 b,7.0 b,3.2
Annual,From 10 to 49 persons employed,Percentage,Cyprus,0.8,4.2 b,8.1 b,14.1
Annual,From 10 to 49 persons employed,Percentage,Czechia,1.3,3.8 b,21.1 b,22.4
Annual,From 10 to 49 persons employed,Percentage,Germany,50.9,58.1 b,59.0 b,52.9
Annual,From 10 to 49 persons employed,Percentage,Denmark,41.5,46.4 b,32.6 b,33.9
Annual,From 10 to 49 persons employed,Percentage,Estonia,0.8,14.4 b,18.4 b,12.0
Annual,From 10 to 49 persons employed,Percentage,Greece,1.8,6.2 b,8.5 b,5.3
Annual,From 10 to 49 persons employed,Percentage,Spain,12.7,6.8 b,12.6 b,9.5
Annual,From 10 to 49 persons employed,Percentage,European Union - 27 countries (from 2020),26.2,23.3 b,27.6 b,29.3
Annual,From 10 to 49 persons employed,Percentage,European Union - 28 countries (2013-2020),28.3,22.3 b,27.4 b,:
Annual,From 10 to 49 persons employed,Percentage,Finland,15.6,17.5 b,14.1 b,15.5
Annual,From 10 to 49 persons employed,Percentage,France,33.6,22.1 b,28.7 b,43.9
Annual,From 10 to 49 persons employed,Percentage,Croatia,:,12.9 b,12.5 b,9.1
Annual,From 10 to 49 persons employed,Percentage,Hungary,4.8,8.5 b,11.8 b,8.3
Annual,From 10 to 49 persons employed,Percentage,Ireland,23.0,:,15.1 b,16.5
Annual,From 10 to 49 persons employed,Percentage,Italy,39.8,32.4 b,30.4 b,40.5
Annual,From 10 to 49 persons employed,Percentage,Lithuania,12.1,0.5 b,1.4 b,1.9
Annual,From 10 to 49 persons employed,Percentage,Luxembourg,25.9,22.2 b,20.7 b,20.9
Annual,From 10 to 49 persons employed,Percentage,Latvia,4.1,3.5 b,6.1 b,8.7
Annual,From 10 to 49 persons employed,Percentage,North Macedonia,:,:,9.7 b,9.3
Annual,From 10 to 49 persons employed,Percentage,Malta,9.2,13.4 b,12.9 b,13.7
Annual,From 10 to 49 persons employed,Percentage,Netherlands,40.4,29.8 b,46.7 b,37.4
Annual,From 10 to 49 persons employed,Percentage,Norway,21.2,29.1 b,24.2 b,32.0
Annual,From 10 to 49 persons employed,Percentage,Poland,8.3,4.3 b,7.3 b,5.9
Annual,From 10 to 49 persons employed,Percentage,Portugal,4.0,11.5 b,13.8 b,17.8
Annual,From 10 to 49 persons employed,Percentage,Romania,0.9,1.9 b,2.9 b,1.7
Annual,From 10 to 49 persons employed,Percentage,Serbia,:,:,:,9.6
Annual,From 10 to 49 persons employed,Percentage,Sweden,7.4,7.2 b,15.6 b,15.1 b
Annual,From 10 to 49 persons employed,Percentage,Slovenia,7.5,8.0 b,29.9 b,22.6
Annual,From 10 to 49 persons employed,Percentage,Slovakia,0.9,15.9 b,32.3 b,19.1
