Time frequency,Income situation in relation to the risk of poverty threshold,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Percentage,Single person,Albania,:,:,:,:,:,1.7,1.9,1.7,1.7,1.8,:,:
Annual,Total,Percentage,Single person,Austria,16.1,16.2,16.6,16.7,16.7,16.6,16.8,17.0,17.2,17.3,17.4,17.4
Annual,Total,Percentage,Single person,Belgium,15.3,15.1,15.0,15.2,15.0,15.0,15.3,15.2 b,15.3,15.4,15.8,16.0
Annual,Total,Percentage,Single person,Bulgaria,7.8,8.5,9.2,11.7,12.5 b,12.7,13.8,14.3,14.9,15.4,16.1,17.8
Annual,Total,Percentage,Single person,Switzerland,14.1,13.9,16.8 b,17.5,17.6,17.7,17.9,17.7,17.8,18.2,19.0,18.3
Annual,Total,Percentage,Single person,Cyprus,7.4,7.5,7.6,7.7,7.7,7.7,7.8,7.8,7.8,7.9,8.0,8.0
Annual,Total,Percentage,Single person,Czechia,11.2,11.6,11.6,11.7,11.9,11.9,12.2,12.7,12.6,12.8,14.0,13.9
Annual,Total,Percentage,Single person,Germany,19.9,19.9,20.2,20.6,20.3,20.7,20.9,21.0,20.0 b,20.7,20.2,20.3
Annual,Total,Percentage,Single person,Denmark,22.0,22.7,22.7,22.7,22.5,21.8,22.2,22.2,22.4,22.5,23.2,23.5
Annual,Total,Percentage,Single person,Euro area - 19 countries  (2015-2022),14.8,15.0,15.3,15.4,15.4,15.6,15.8,16.2,15.5,16.0,:,:
Annual,Total,Percentage,Single person,Euro area – 20 countries (from 2023),:,:,15.2,15.4,15.3,15.5,15.7,16.1,15.4,16.1,16.4,16.6
Annual,Total,Percentage,Single person,Estonia,16.2,16.1,16.1 b,16.2,17.2,18.2,18.6,19.7,20.4,20.7,21.8,21.5
Annual,Total,Percentage,Single person,Greece,7.8,10.0,10.2,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,13.7
Annual,Total,Percentage,Single person,Spain,9.0,9.2,9.8,10.1,10.2,10.3,10.3,10.3,10.5,10.6,10.9,11.1
Annual,Total,Percentage,Single person,European Union - 27 countries (2007-2013),13.8,14.0,14.2,14.4,14.5,14.7,14.9,15.2 e,:,:,:,:
Annual,Total,Percentage,Single person,European Union - 27 countries (from 2020),14.0 e,14.2 e,14.4 e,14.7 e,14.7 e,14.9 e,15.1 e,15.5 e,14.9,15.5,15.8,16.1
Annual,Total,Percentage,Single person,European Union - 28 countries (2013-2020),13.8,14.0,14.2,14.4,14.5,14.6,14.8,15.2 e,:,:,:,:
