Time frequency,Stock or flow,"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Imports,Raw materials,Rest of the world,Percentage change m/m-12 (NSA),Euro area – 20 countries (from 2023),-19.9,-15.2,-17.5,-18.4,9.3,-8.7,-6.9,12.7,7.0,8.4,12.0,-3.2
Monthly,Imports,Raw materials,Rest of the world,Percentage change m/m-12 (NSA),European Union - 27 countries (from 2020),-22.4,-15.3,-18.2,-18.5,10.0,-5.5,-6.1,10.6,8.5,9.5,13.5,3.9
Monthly,Imports,Raw materials,Rest of the world,Percentage change m/m-1 (SA),Euro area – 20 countries (from 2023),4.2,-5.5,5.1,-1.1,6.8,-5.2,-1.6,4.1,4.7,-4.4,1.9,-7.0
Monthly,Imports,Raw materials,Rest of the world,Percentage change m/m-1 (SA),European Union - 27 countries (from 2020),7.2,-4.6,3.0,-0.4,7.1,-4.4,-3.1,3.1,7.5,-5.3,3.3,-3.8
Monthly,Imports,Raw materials,Rest of the world,Trade value in million euro (SA),Euro area – 20 countries (from 2023),8534.3,8069.1,8480.1,8387.9,8961.9,8499.0,8365.7,8709.3,9115.4,8713.9,8875.7,8250.1
Monthly,Imports,Raw materials,Rest of the world,Trade value in million euro (SA),European Union - 27 countries (from 2020),7889.0,7524.9,7748.8,7717.0,8266.7,7903.7,7659.4,7899.4,8492.2,8042.6,8310.5,7994.2
