Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Austria,19.3,19.6,19.7,20.2,21.1,20.1,19.3,16.7,19.2 b,20.1
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,8.0,8.1
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Belgium,13.8,14.4,13.8,14.3,15.9 b,15.9,15.5,15.0,17.9 b,18.2
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Bulgaria,8.2,8.2,7.9,8.0,7.9,8.2,7.2 b,6.8,7.5 b,7.6
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Switzerland,33.7,34.7,35.2,35.5,35.3,35.8,36.4,32.1,27.2 b,26.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Cyprus,12.0,11.7,12.3,11.9,11.5,11.2,9.5,8.0,12.8 b,13.6
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Czechia,16.5 b,15.9,14.5,14.6,15.3,14.1,13.6,11.3,11.7 b,14.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Germany,14.6,14.7,14.8,15.0,15.1,14.9,14.9,14.5 b,14.2 b,14.5
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Denmark,37.4,37.9,37.4,34.4 b,32.9 b,29.5,31.1,26.4,28.5 b,33.1
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Euro area – 20 countries (from 2023),16.6 b,16.9,16.8,17.1,17.3,17.4,17.7,16.2,17.6 b,18.3
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Estonia,19.2,17.7,17.5,20.5,21.1,23.6,24.1,21.4,23.0 b,25.6
