Time frequency,Economical indicator for structural business statistics,Place of residence,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,2006.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Computer and related activities,Cyprus,47.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Computer and related activities,Spain,1501.8
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Computer and related activities,Norway,690.4
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Computer and related activities,Portugal,122.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Computer and related activities,Romania,208.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Computer and related activities,Sweden,1348.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Legal activities,Cyprus,11.1
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Legal activities,Spain,249.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Legal activities,Norway,95.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Legal activities,Portugal,49.6
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Legal activities,Romania,0.1
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Legal activities,Sweden,181.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Cyprus,38.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Spain,345.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Norway,26.1
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Portugal,17.4
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Romania,19.3
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Sweden,56.6
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Market research and public opinion polling,Cyprus,7.3
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Market research and public opinion polling,Spain,104.1
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Market research and public opinion polling,Norway,12.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Market research and public opinion polling,Portugal,23.6
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Market research and public opinion polling,Romania,67.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Market research and public opinion polling,Sweden,17.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Business and management consultancy activities,Cyprus,5.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Business and management consultancy activities,Spain,205.8
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Business and management consultancy activities,Norway,102.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Business and management consultancy activities,Portugal,116.3
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Business and management consultancy activities,Romania,77.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Business and management consultancy activities,Sweden,476.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Architectural and engineering activities and related technical consultancy,Cyprus,0.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Architectural and engineering activities and related technical consultancy,Spain,595.6
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Architectural and engineering activities and related technical consultancy,Norway,534.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Architectural and engineering activities and related technical consultancy,Portugal,77.1
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Architectural and engineering activities and related technical consultancy,Romania,96.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Architectural and engineering activities and related technical consultancy,Sweden,601.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Technical testing and analysis,Cyprus,0.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Technical testing and analysis,Spain,107.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Technical testing and analysis,Norway,141.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Technical testing and analysis,Portugal,16.4
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Technical testing and analysis,Romania,19.1
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Technical testing and analysis,Sweden,62.6
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Advertising,Cyprus,3.8
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Advertising,Spain,685.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Advertising,Norway,126.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Advertising,Portugal,78.1
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Advertising,Romania,93.6
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Advertising,Sweden,176.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Labour recruitment and provision of personnel,Cyprus,0.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Labour recruitment and provision of personnel,Spain,13.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Labour recruitment and provision of personnel,Norway,33.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Labour recruitment and provision of personnel,Portugal,52.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Labour recruitment and provision of personnel,Romania,36.6
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Labour recruitment and provision of personnel,Sweden,23.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Total - all NACE activities,Cyprus,114.6
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Total - all NACE activities,Spain,3809.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Total - all NACE activities,Norway,1764.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Total - all NACE activities,Portugal,553.3
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Total - all NACE activities,Romania,618.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country but in another EU country,Total - all NACE activities,Sweden,2945.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Computer and related activities,Cyprus,: @C
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Computer and related activities,Spain,596.8
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Computer and related activities,Norway,544.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Computer and related activities,Portugal,87.4
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Computer and related activities,Romania,71.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Computer and related activities,Sweden,762.8
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Legal activities,Cyprus,11.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Legal activities,Spain,104.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Legal activities,Norway,21.4
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Legal activities,Portugal,23.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Legal activities,Romania,0.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Legal activities,Sweden,50.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Cyprus,30.3
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Spain,84.3
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Norway,15.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Portugal,15.4
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Romania,6.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,"Accounting, book-keeping and auditing activities; tax consultancy",Sweden,25.6
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Market research and public opinion polling,Cyprus,20.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country and in a non-EU country,Market research and public opinion polling,Spain,48.6
