Time frequency,Currency,prod_veg,geo\TIME_PERIOD,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Euro,2400000.0,AT,40.57,35.18,23.18,26.82,27.88,28.63,25.17,29.97,26.78,32.38 p,63.14,57.15 p
Annual,Euro,2400000.0,BE,28.68,29.26,26.34,26.34,29.91,22.12,22.99,21.97,21.97,22.63,27.74,21.97
Annual,Euro,2400000.0,BG,28.33,:,:,:,:,:,:,:,:,:,:,:
Annual,Euro,2400000.0,CZ,32.29,31.76,29.71,31.23,31.52,30.54,31.97,27.0,26.46,29.95,31.38,36.16
Annual,Euro,2400000.0,DE,:,:,:,:,:,29.0,26.0,27.01,28.51,31.25,46.0,53.83
Annual,Euro,2400000.0,DK,43.43,44.22,43.86,36.08,32.92,27.7,23.43,28.4,26.9,27.19,33.2,41.99
Annual,Euro,2400000.0,EL,26.86,31.11,25.68,26.32,26.38,25.92,26.41,26.41,23.63,23.63,23.63,31.49
Annual,Euro,2400000.0,ES,31.4,30.9,32.9,35.0,36.9,37.6,32.1,28.80 p,28.40 p,27.1,30.30 p,54.5
Annual,Euro,2400000.0,FI,34.9,41.78,41.0,31.06,33.92,:,:,:,:,:,:,:
Annual,Euro,2400000.0,FR,29.98,27.17,27.2,27.2,24.5,:,:,:,:,:,:,:
Annual,Euro,2400000.0,HR,39.29,39.19,24.28,27.75,34.76,37.03,27.24,27.47,31.81,33.35,33.19,37.17
Annual,Euro,2400000.0,HU,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Euro,2400000.0,LT,35.35,37.31,34.13,30.41,29.96,27.0,: @C,: @C,: @C,: @C,36.59,: @C
Annual,Euro,2400000.0,LU,:,:,: m,: m,:,:,:,:,:,:,:,:
Annual,Euro,2400000.0,LV,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Annual,Euro,2400000.0,NL,60.0,61.0,50.12,38.26,35.68,42.81,34.96,34.76,34.02,37.96,64.75,67.09
Annual,Euro,2400000.0,PL,32.78,35.44,30.1,28.56,26.72,22.46,24.7,24.83 p,22.93 p,26.81 p,41.61,41.81
Annual,Euro,2400000.0,PT,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,50.66,:
Annual,Euro,2400000.0,RO,38.12,38.47,36.01,35.99,28.95,28.45,27.93,29.5,28.94,26.41,: @C,: @C
Annual,Euro,2400000.0,SE,25.73,26.58,27.11,26.45,26.9,26.43,27.88,30.14,29.29,30.27,26.73,35.61
Annual,Euro,2400000.0,SI,:,:,: m,: m,:,:,:,: @C,: @C,: @C,: @C,: @C
Annual,Euro,2400000.0,SK,36.7,40.09,37.07,32.61,27.7,25.08,25.7,25.5,25.24,24.71,25.65,28.49
Annual,Euro,2400000.0,UK,:,:,:,:,33.64,30.0,31.86,31.81,:,:,:,:
