Time frequency,Economical indicator for structural business statistics,Client specialisation,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,2000.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Computer and related activities,Denmark,3281.1
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Computer and related activities,Spain,7146.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Computer and related activities,Finland,2257.7
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Computer and related activities,Portugal,528.2
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Hardware consultancy,Denmark,89.8
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Hardware consultancy,Spain,353.3
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Hardware consultancy,Portugal,37.2
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Software consultancy and supply,Denmark,2716.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Software consultancy and supply,Spain,6053.6
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Software consultancy and supply,Finland,1458.6
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Software consultancy and supply,Portugal,298.8
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Data processing,Denmark,247.3
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Data processing,Spain,367.9
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Data processing,Finland,614.3
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Data processing,Portugal,44.6
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Database activities,Denmark,93.1
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Database activities,Finland,131.6
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Database activities,Portugal,4.9
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,"Maintenance and repair of office, accounting and computing machinery",Denmark,44.1
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,"Maintenance and repair of office, accounting and computing machinery",Spain,371.1
