Time frequency,Unit of measure,Waste categories,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0
Annual,Percentage,Organic material,Algeria,76.5,:,:,:,:,:,54.5,54.5,:,:,:,:,:,:
Annual,Percentage,Organic material,Egypt,55.0,:,:,:,55.2,:,:,55.5,55.9,:,55.0,:,:,:
Annual,Percentage,Organic material,Israel,36.8 e,:,:,:,:,39.7,:,:,:,:,:,:,:,:
Annual,Percentage,Organic material,Lebanon,:,51.0,60.0,:,:,:,:,:,:,:,50.0,:,:,:
Annual,Percentage,Organic material,Morocco,68.5,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,Organic material,Palestine*,59.0 de,59.0 de,59.0 de,59.0 de,59.0 de,59.0 d,59.0 de,59.0 de,59.0 de,59.0 de,59.0 de,59.0 de,59.0 de,59.0 de
Annual,Percentage,Organic material,Syria,:,:,:,:,60.0 e,:,:,:,:,:,:,:,:,:
Annual,Percentage,Organic material,Tunisia,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,:,:,:,:,:
Annual,Percentage,Other in-organic material,Algeria,4.7,:,:,:,:,:,0.7,0.7,:,:,:,:,:,:
Annual,Percentage,Other in-organic material,Egypt,11.0,:,:,:,11.2,:,:,11.4,11.6,:,8.0,:,:,:
Annual,Percentage,Other in-organic material,Israel,8.6 e,:,:,:,:,12.4,:,:,:,:,:,:,:,:
Annual,Percentage,Other in-organic material,Lebanon,:,7.0,16.0,:,:,:,:,:,:,:,7.0,:,:,:
Annual,Percentage,Other in-organic material,Morocco,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,Other in-organic material,Palestine*,6.0 de,6.0 de,6.0 de,6.0 de,6.0 de,6.0 d,6.0 de,6.0 de,6.0 de,6.0 de,6.0 de,6.0 de,6.0 de,6.0 de
Annual,Percentage,Other in-organic material,Syria,:,:,:,:,9.0 e,:,:,:,:,:,:,:,:,:
Annual,Percentage,Other in-organic material,Tunisia,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,:,:,:,:,:
Annual,Percentage,Metallic wastes (W061+W062+W063),Algeria,2.9,:,:,:,:,:,1.7,1.7,:,:,:,:,:,:
Annual,Percentage,Metallic wastes (W061+W062+W063),Egypt,4.5,:,:,:,5.0,:,:,4.3,4.5,:,4.0,:,:,:
Annual,Percentage,Metallic wastes (W061+W062+W063),Israel,4.3 e,:,:,:,:,2.6,:,:,:,:,:,:,:,:
Annual,Percentage,Metallic wastes (W061+W062+W063),Lebanon,:,3.0,2.0,:,:,:,:,:,:,:,6.0,:,:,:
Annual,Percentage,Metallic wastes (W061+W062+W063),Morocco,2.5,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,Metallic wastes (W061+W062+W063),Palestine*,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de,4.0 d,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de
Annual,Percentage,Metallic wastes (W061+W062+W063),Syria,:,:,:,:,4.0 e,:,:,:,:,:,:,:,:,:
Annual,Percentage,Metallic wastes (W061+W062+W063),Tunisia,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,:,:,:,:,:
Annual,Percentage,Glass wastes,Algeria,1.1,:,:,:,:,:,1.7,1.7,:,:,:,:,:,:
Annual,Percentage,Glass wastes,Egypt,3.0,:,:,:,5.8,:,:,5.5,5.6,:,3.0,:,:,:
Annual,Percentage,Glass wastes,Israel,4.6 e,:,:,:,:,2.9,:,:,:,:,:,:,:,:
Annual,Percentage,Glass wastes,Lebanon,:,9.0,5.0,:,:,:,:,:,:,:,4.0,:,:,:
Annual,Percentage,Glass wastes,Morocco,4.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,Glass wastes,Palestine*,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de,4.0 d,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de,4.0 de
Annual,Percentage,Glass wastes,Syria,:,:,:,:,2.5 e,:,:,:,:,:,:,:,:,:
Annual,Percentage,Glass wastes,Tunisia,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,:,:,:,:,:
Annual,Percentage,Paper and cardboard wastes,Algeria,10.1,:,:,:,:,:,13.4,13.4,:,:,:,:,:,:
Annual,Percentage,Paper and cardboard wastes,Egypt,15.5,:,:,:,15.2,:,:,15.3,15.3,:,18.0,:,:,:
Annual,Percentage,Paper and cardboard wastes,Israel,25.7 e,:,:,:,:,25.0,:,:,:,:,:,:,:,:
Annual,Percentage,Paper and cardboard wastes,Lebanon,:,17.0,11.0,:,:,:,:,:,:,:,17.0,:,:,:
Annual,Percentage,Paper and cardboard wastes,Morocco,19.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,Paper and cardboard wastes,Palestine*,15.0 de,15.0 de,15.0 de,15.0 de,15.0 de,15.0 d,15.0 de,15.0 de,15.0 de,15.0 de,15.0 de,15.0 de,15.0 de,15.0 de
Annual,Percentage,Paper and cardboard wastes,Syria,:,:,:,:,10.0 e,:,:,:,:,:,:,:,:,:
Annual,Percentage,Paper and cardboard wastes,Tunisia,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,:,:,:,:,:
Annual,Percentage,Plastic wastes,Algeria,2.7,:,:,:,:,:,16.5,16.5,:,:,:,:,:,:
Annual,Percentage,Plastic wastes,Egypt,7.5,:,:,:,3.9,:,:,4.1,4.4,:,8.0,:,:,:
Annual,Percentage,Plastic wastes,Israel,16.3 e,:,:,:,:,13.5,:,:,:,:,:,:,:,:
Annual,Percentage,Plastic wastes,Lebanon,:,10.0,4.0,:,:,:,:,:,:,:,13.0,:,:,:
Annual,Percentage,Plastic wastes,Morocco,4.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,Plastic wastes,Palestine*,12.0 de,12.0 de,12.0 de,12.0 de,12.0 de,12.0 d,12.0 de,12.0 de,12.0 de,12.0 de,12.0 de,12.0 de,12.0 de,12.0 de
Annual,Percentage,Plastic wastes,Syria,:,:,:,:,12.0 e,:,:,:,:,:,:,:,:,:
Annual,Percentage,Plastic wastes,Tunisia,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,:,:,:,:,:
Annual,Percentage,Textile wastes,Algeria,2.1,:,:,:,:,:,11.6,11.6,:,:,:,:,:,:
Annual,Percentage,Textile wastes,Egypt,3.5,:,:,:,3.7,:,:,3.9,2.7,:,4.0,:,:,:
Annual,Percentage,Textile wastes,Israel,3.6 e,:,:,:,:,3.9,:,:,:,:,:,:,:,:
Annual,Percentage,Textile wastes,Lebanon,:,3.0,2.0,:,:,:,:,:,:,:,3.0,:,:,:
Annual,Percentage,Textile wastes,Morocco,2.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,Textile wastes,Palestine*,0.0 de,0.0 de,0.0 de,0.0 de,0.0 de,0.0 d,0.0 de,0.0 de,0.0 de,0.0 de,0.0 de,0.0 de,0.0 de,0.0 de
Annual,Percentage,Textile wastes,Syria,:,:,:,:,2.5 e,:,:,:,:,:,:,:,:,:
Annual,Percentage,Textile wastes,Tunisia,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,:,:,:,:,:
