Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Albania,115.2,112.3,114.2,114.4,113.9,116.2,117.6,118.1,119.3,117.0,:,:
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Austria,94.2 p,94.9 p,95.4 p,94.7 p,96.7 p,96.1 p,93.4 p,96.4 p,96.4 p,97.2 p,97.2 p,97.9 p
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Bosnia and Herzegovina,135.7,:,:,:,:,:,:,:,:,:,:,:
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Belgium,91.3 p,90.8 p,89.4 p,89.5 p,89.4 p,89.5 p,88.6 p,89.6 p,89.8 p,91.7 p,90.1 p,87.9 p
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Bulgaria,107.4,107.8,109.5,108.1,110.2,109.4,111.0,111.9,111.0,111.7,113.1,114.6 p
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Switzerland,98.2 p,98.9 p,99.0 p,98.8 p,99.0 p,98.9 p,98.0 p,100.0 p,100.2 p,99.3 p,99.4 p,99.3 p
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Cyprus,111.7,113.4,111.7,113.9,112.9,114.3,114.8,114.0,116.1,116.4,115.1,117.7
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Czechia,93.3,94.6,94.3,95.5,95.6,95.2,95.6,96.4,96.5,96.4,96.8,96.7
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Germany,95.7 p,95.8 p,95.2 p,97.0 p,96.8 p,96.5 p,96.0 p,96.6 p,97.5 p,99.2 p,98.9 p,98.8 p
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Denmark,93.8,92.1,93.7,93.5,92.5,93.4,94.2,94.0,92.5,94.6,93.5,94.5
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Euro area - 19 countries  (2015-2022),99.3,99.2,99.1,99.7,99.7,99.8 i,99.4 i,99.4 i,99.7 i,:,:,:
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Euro area – 20 countries (from 2023),99.2,99.3,99.4,99.9,99.9,100.1,99.5,99.9,101.0,101.5,101.2,101.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Index, 2021=100 (SCA)",Estonia,92.3,90.2,91.2,91.7,90.7,90.2,89.6,90.1,90.7,90.1,91.4,91.8
