Time frequency,Household composition,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,One adult,Percentage of disposable income,Austria,97.2 i,90.2 i,88 i
Annual,One adult,Percentage of disposable income,Belgium,97.9 i,93.2 i,88.1 i
Annual,One adult,Percentage of disposable income,Bulgaria,80 e,86.7 i,76.9 i
Annual,One adult,Percentage of disposable income,Cyprus,88.4 i,91.9 i,77.5 i
Annual,One adult,Percentage of disposable income,Czechia,81.6 e,80.2 i,83.6 i
Annual,One adult,Percentage of disposable income,Germany,90.4 i,92.6 i,86.7 i
Annual,One adult,Percentage of disposable income,Denmark,107 i,85.8 i,79.4 i
Annual,One adult,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,85.1 i,85.1 i
Annual,One adult,Percentage of disposable income,Euro area – 20 countries (from 2023),:,85.2 i,85.1 i
Annual,One adult,Percentage of disposable income,Estonia,79.7 i,70.4 i,74.1 i
Annual,One adult,Percentage of disposable income,Greece,102.3 i,113.5 i,102.2 i
Annual,One adult,Percentage of disposable income,Spain,84.8 i,81 i,75.3 i
Annual,One adult,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,87 i,85 i
Annual,One adult,Percentage of disposable income,European Union - 27 countries (from 2020),:,86.7 i,85 i
Annual,One adult,Percentage of disposable income,Finland,88.2 i,91.7 i,:
Annual,One adult,Percentage of disposable income,France,76.8 i,67.1 i,80.1 i
Annual,One adult,Percentage of disposable income,Croatia,108.9 i,102.6 i,90.5 i
Annual,One adult,Percentage of disposable income,Hungary,98 i,96.4 i,91 i
Annual,One adult,Percentage of disposable income,Ireland,82.3 i,75.5 i,:
Annual,One adult,Percentage of disposable income,Italy,87.3 i,:,:
Annual,One adult,Percentage of disposable income,Lithuania,92 i,70 i,67.4 i
Annual,One adult,Percentage of disposable income,Luxembourg,79.1 i,82.4 i,70.1 i
Annual,One adult,Percentage of disposable income,Latvia,103.3 i,86.7 i,77.7 i
Annual,One adult,Percentage of disposable income,Malta,114.7 i,87.5 i,76.3 i
Annual,One adult,Percentage of disposable income,Netherlands,:,97.3 i,105.9 i
Annual,One adult,Percentage of disposable income,Poland,86.5 i,83.2 i,61.5 i
Annual,One adult,Percentage of disposable income,Portugal,89.8 i,84 i,:
Annual,One adult,Percentage of disposable income,Romania,108.9 i,111.8 i,118 i
Annual,One adult,Percentage of disposable income,Sweden,92.9 i,95.4 i,:
Annual,One adult,Percentage of disposable income,Slovenia,107 i,87.7 i,87.1 i
Annual,One adult,Percentage of disposable income,Slovakia,76.6 i,91.8 i,91.1 i
Annual,One adult,Percentage of disposable income,United Kingdom,81.5 e,88.5 i,:
Annual,One adult with dependent children,Percentage of disposable income,Austria,101.7 i,95.2 i,99.1 i
Annual,One adult with dependent children,Percentage of disposable income,Belgium,100.8 i,95.6 i,75.5 i
Annual,One adult with dependent children,Percentage of disposable income,Bulgaria,67.6 e,133.6 i,89.2 i
Annual,One adult with dependent children,Percentage of disposable income,Cyprus,118.4 i,105.6 i,96.8 i
Annual,One adult with dependent children,Percentage of disposable income,Czechia,90.3 e,90.4 i,95 i
Annual,One adult with dependent children,Percentage of disposable income,Germany,98.8 i,81 i,87 i
Annual,One adult with dependent children,Percentage of disposable income,Denmark,107.9 i,82.6 i,83.4 i
Annual,One adult with dependent children,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,88.2 i,87.8 i
Annual,One adult with dependent children,Percentage of disposable income,Euro area – 20 countries (from 2023),:,88.3 i,87.9 i
Annual,One adult with dependent children,Percentage of disposable income,Estonia,78.2 i,91.6 i,78.8 i
Annual,One adult with dependent children,Percentage of disposable income,Greece,211 u,186.6 i,136.1 i
Annual,One adult with dependent children,Percentage of disposable income,Spain,113.7 i,92.6 i,100.3 i
Annual,One adult with dependent children,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,93.1 i,87.4 i
Annual,One adult with dependent children,Percentage of disposable income,European Union - 27 countries (from 2020),:,90 i,87.4 i
Annual,One adult with dependent children,Percentage of disposable income,Finland,95.1 i,95.2 i,:
Annual,One adult with dependent children,Percentage of disposable income,France,90.2 i,82.2 i,84 i
Annual,One adult with dependent children,Percentage of disposable income,Croatia,120.5 i,108.2 i,97.9 u
Annual,One adult with dependent children,Percentage of disposable income,Hungary,92.7 i,103.5 i,86.6 i
Annual,One adult with dependent children,Percentage of disposable income,Ireland,95.6 i,97.2 i,:
Annual,One adult with dependent children,Percentage of disposable income,Italy,117.9 i,:,:
Annual,One adult with dependent children,Percentage of disposable income,Lithuania,93.6 i,96.4 i,78.3 i
Annual,One adult with dependent children,Percentage of disposable income,Luxembourg,99.9 i,92.8 i,79 i
Annual,One adult with dependent children,Percentage of disposable income,Latvia,106.3 i,87.3 i,89 i
Annual,One adult with dependent children,Percentage of disposable income,Malta,146 i,124 i,118 i
Annual,One adult with dependent children,Percentage of disposable income,Netherlands,:,92.5 i,87.3 i
Annual,One adult with dependent children,Percentage of disposable income,Poland,88.4 i,95.6 i,65.8 i
Annual,One adult with dependent children,Percentage of disposable income,Portugal,112.7 i,110.8 i,:
Annual,One adult with dependent children,Percentage of disposable income,Romania,138.9 i,127.4 i,93.6 i
Annual,One adult with dependent children,Percentage of disposable income,Sweden,94.5 i,79.1 i,:
Annual,One adult with dependent children,Percentage of disposable income,Slovenia,106.1 i,94.1 i,102.1 i
Annual,One adult with dependent children,Percentage of disposable income,Slovakia,86.4 i,101.7 i,110.3 i
Annual,One adult with dependent children,Percentage of disposable income,United Kingdom,98.6 e,105.6 i,:
Annual,Two adults,Percentage of disposable income,Austria,80.6 i,78 i,76.8 i
Annual,Two adults,Percentage of disposable income,Belgium,93.8 i,85 i,63.9 i
Annual,Two adults,Percentage of disposable income,Bulgaria,62.7 e,67.9 i,60.2 i
Annual,Two adults,Percentage of disposable income,Cyprus,87.9 i,82.4 i,69.4 i
Annual,Two adults,Percentage of disposable income,Czechia,75.2 e,70.9 i,67.5 i
Annual,Two adults,Percentage of disposable income,Germany,84.7 i,80.5 i,77.3 i
Annual,Two adults,Percentage of disposable income,Denmark,81 i,66.9 i,54.7 i
