Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million euro,Armenia,1476.2,1636.5,2149.5,2352.7,3606.1,4750.8,5326.8,5970.5,6574.3,6433.8,8033.3,8990.7,9316.1,9246.0,11055.6,11308.3,11696.3,14425.5
Annual,Million euro,Azerbaijan,1322.3,1570.8,1782.6,2037.9,2451.7,2912.7,3460.1,4438.4,4560.2,4872.2,6307.1,6247.7,8328.0,7552.5,8118.3,7729.4,6872.4,6346.4
Annual,Million euro,Belarus,4333.8 d,5198.7 d,8484.5 d,10834.3 d,15381.7 d,21449.0 d,26304.9 d,25518.0 d,28807.1 d,32982.1 d,34996.2 d,35929.6 d,33363.1 d,34307.4 d,36415.7 d,34229.0 d,:,:
Annual,Million euro,Georgia,2140.6,2155.6,3972.8,5483.7,6241.5,7725.2,9055.6,10181.8,9758.4,11498.2,14006.7,15093.9,14476.0,15593.6,16842.7,16989.8,19499.9,22007.2
Annual,Million euro,Moldova,1982.1 d,2069.6 d,2456.7 d,3058.5 d,3068.3 d,3561.8 d,4037.0 d,4409.4 d,4868.6 d,5171.4 d,5403.2 d,5761.2 d,5700.8 d,6290.3 d,6417.7 d,6590.6 d,7719.3 d,9018.4 d
Annual,Million euro,Ukraine,33504.4 d,41391.0 d,54626.3 d,72168.4 d,72138.4 d,88362.9 d,97940.9 d,102120.2 d,102851.5 d,102727.7 d,107695.4 d,107647.6 d,96741.2 d,100148.4 d,109133.8 d,102292.7 d,114425.6 d,122948.1 d
Annual,Percentage of gross domestic product (GDP),Armenia,37.5 di,32.1 di,31.9 di,29.7 di,58.2 di,68.1 di,73.1 di,72.3 i,78.5 i,73.6 i,84.5 i,94.4 i,91.3 i,87.7 i,90.9 i,102.1 i,99.8 i,78.2 i
Annual,Percentage of gross domestic product (GDP),Azerbaijan,12.5 i,9.4 i,7.4 i,6.1 i,7.7 i,7.3 i,7.3 i,8.2 i,8.2 i,8.6 ip,13.2 i,18.3 i,23.0 i,18.9 i,18.9 i,20.7 i,14.8 i,8.5 i
Annual,Percentage of gross domestic product (GDP),Belarus,17.9 di,17.7 di,25.6 di,26.2 di,42.1 di,49.7 di,55.1 di,49.9 di,50.6 di,55.6 di,68.5 di,83.3 di,68.7 di,67.5 di,63.3 di,64.6 dip,:,:
Annual,Percentage of gross domestic product (GDP),Georgia,41.6 di,34.8 di,53.4 di,62.9 di,80.9 di,83.7 di,83.4 di,79.4 di,75.4 di,86.7 di,104.0 di,110.2 di,100.6 di,104.6 di,107.9 di,122.5 di,123.9 di,94.4 di
Annual,Percentage of gross domestic product (GDP),Moldova,82.6 di,76.3 di,76.3 di,74.3 di,78.8 di,67.7 bdi,66.8 di,65.1 di,68.1 di,73.0 bdi,76.9 di,79.9 di,67.5 di,66.0 di,61.2 di,65.1 di,66.7 di,65.4 di
Annual,Percentage of gross domestic product (GDP),Ukraine,46.8 di,46.4 di,50.3 di,56.1 di,82.8 di,83.1 di,80.5 di,71.9 di,71.7 di,101.7 di,131.2 di,127.7 di,97.4 di,90.4 di,79.4 di,74.6 di,67.8 di,80.5 di
