Time frequency,Maturity,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Maturity: 10 years,Armenia,8.8,9.37,6.78,8.94,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Maturity: 10 years,Belarus,8.0,8.0,7.7,9.2,0.0,0.0,18.0,0.0,3.3,7.4,3.6,21.1,11.0,:,:,:,:,:
Annual,Maturity: 10 years,Georgia,:,13.33,11.0,:,:,:,:,7.17,:,:,:,:,:,:,:,:,:,:
Annual,Maturity: 10 years,Moldova,6.06 d,8.17 d,14.16 d,18.18 d,18.24 d,7.41 d,12.48 d,6.17 d,6.07 d,8.23 d,18.23 d,12.09 d,7.51 d,6.29 d,6.78 d,6.09 d,5.80 d,18.90 d
Annual,Maturity: 10 years,Ukraine,7.25 d,9.26 d,6.71 d,11.86 d,15.60 d,13.24 d,9.30 d,14.22 d,14.19 d,15.50 d,16.66 d,6.50 d,15.10 d,15.90 d,15.31 d,9.80 d,12.95 d,13.25 d
