Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Annual average index,Algeria,64.6 de,66.1 de,68.5 de,71.8 de,75.9 de,78.9 de,82.5 de,89.8 de,92.7 de,95.4 de,100.0 de,106.4 de,112.3 de,117.1 de,119.4 de,122.3 de,131.2 de,143.3 de,155.6 de
Annual,Annual average index,Egypt,36.8,39.7,43.3,51.3,57.4,63.8,70.2,75.2,82.3,90.6,100.0,113.8,147.4,168.6,184.1,:,:,:,:
Annual,Annual average index,Israel,82.3,84.1,84.5,88.4,91.3,93.8,97.0,98.7,100.2,100.6,100.0,99.5,99.7,100.5,101.3,100.8,102.3,106.7,:
Annual,Annual average index,Jordan,65.1 de,69.2 de,72.4 de,82.6 de,81.9 de,85.9 de,89.5 de,93.5 de,98.0 de,100.9 de,100.0 de,99.2 de,102.5 de,107.1 de,107.9 d,108.3,109.7,:,:
Annual,Annual average index,Lebanon,:,:,78.7 d,82.7 d,83.6 d,87.0 d,91.3 d,97.3 d,102.0 d,103.9 d,100.0 d,99.2 d,103.6 d,109.9 d,113.1 d,209.1 d,516.8 d,1401.7 d,:
Annual,Annual average index,Libya,:,:,:,:,:,:,:,:,:,:,:,:,238.8 d,270.2 d,266.7 d,:,:,:,:
Annual,Annual average index,Morocco,84.3,87.2,88.9,92.4,93.2,94.1,95.0,96.2,98.0,98.4,100.0,101.6,102.3,104.3,104.5,105.2,106.7,113.7,:
Annual,Annual average index,Palestine*,72.7 e,75.5 e,76.9 e,84.5 e,86.8 e,90.1 e,92.7 e,95.3 e,96.9 e,98.6 e,100.0 e,99.8 e,100.0,99.8 e,101.4 e,100.6,101.9,105.7,:
Annual,Annual average index,Tunisia,64.7,67.4,69.7,73.1,75.7,79.0,81.8,86.0,90.9,95.4,100.0,103.6,109.1,117.1,125.0,132.0,139.6,151.1,164.2 d
Annual,Annual average rate of change,Algeria,1.4,2.3,3.7,4.9,5.7,3.9,4.5,8.9,3.3,2.9,4.8,6.4,5.6,4.3,2.0,2.4,7.2,9.3 d,9.7 d
Annual,Annual average rate of change,Egypt,4.9,7.6,9.3,18.3,11.9,11.1,10.1,7.1,9.5,10.1,10.4,13.8,29.5,14.4,9.2,:,:,:,:
Annual,Annual average rate of change,Israel,1.3,2.1,0.5,4.6,3.3,2.7,3.5,1.7,1.5,0.5,-0.6,-0.5,0.2,0.8,0.8,-0.6,1.5,4.3,:
Annual,Annual average rate of change,Jordan,3.7,6.3,4.7,14.0,-0.7,4.8,4.2,4.5,4.8,2.9,-0.9,-0.8,3.3,4.5,0.8 d,0.3,1.3,:,:
Annual,Annual average rate of change,Lebanon,:,:,:,5.0 d,1.2 d,4.0 d,5.0 d,6.6 d,4.8 d,1.9 d,-3.8 d,-0.8 d,4.5 d,6.1 d,2.9 d,84.9,147.2,171.2,:
Annual,Annual average rate of change,Libya,:,:,:,:,:,:,:,:,:,:,:,:,25.8,13.2,:,:,:,:,:
Annual,Annual average rate of change,Morocco,1.0,3.3,2.0,3.9,1.0,0.9,0.9,1.3,1.9,0.4,1.6,1.6,0.7,1.9,0.2,0.7,1.4,6.6,:
Annual,Annual average rate of change,Palestine*,4.1 e,3.8 e,1.9 e,9.9 e,2.8 e,3.7 e,2.9 e,2.8 e,1.7 e,1.7 e,1.4 e,-0.2 e,0.2,-0.2 e,1.6 e,-0.7,1.2,3.7,:
Annual,Annual average rate of change,Tunisia,2.0,4.1,3.4,4.9,3.5,4.3,3.5,5.1,5.8,4.9,4.9,3.7,5.3,7.3,6.7,5.6,5.7,8.3,9.6 d
