Time frequency,Type of household,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Total,Percentage of total population,Total,Females,Albania,:,:,:,:,:,:,:,6.2,6.2,4.8,3.9,:
Annual,Total,Total,Percentage of total population,Total,Females,Austria,7.0,6.4,5.7,5.0,5.8,5.7,6.3,6.1,5.3,5.1,5.8,6.8
Annual,Total,Total,Percentage of total population,Total,Females,Belgium,8.9,7.7,6.7,3.6,6.5,7.1,7.2,5.8,6.7,6.8 b,6.2,5.4
Annual,Total,Total,Percentage of total population,Total,Females,Bulgaria,7.6,7.2,6.4,6.3,6.8,6.4,6.2 b,6.4,5.4,4.9,4.4,2.9
Annual,Total,Total,Percentage of total population,Total,Females,Switzerland,5.0,6.2,7.4,6.7,7.1 b,7.1,7.1,6.8,6.3,6.3,7.1,7.4
Annual,Total,Total,Percentage of total population,Total,Females,Cyprus,5.7,5.6,4.5,4.4,3.9,5.4,4.2,4.0,4.0,3.2,2.5,4.6
Annual,Total,Total,Percentage of total population,Total,Females,Czechia,3.8,3.7,3.1,3.8,4.0,4.0,3.5,3.1,2.9,2.8,3.1,2.6
Annual,Total,Total,Percentage of total population,Total,Females,Germany,3.9,3.9,3.9,4.5,4.3,3.9,3.8,3.9,4.4,4.2,: u,7.1 u
Annual,Total,Total,Percentage of total population,Total,Females,Denmark,4.3,5.5,3.6,3.7,4.4,3.4,3.5,4.4,4.7,3.8,4.5,3.0
Annual,Total,Total,Percentage of total population,Total,Females,Euro area - 19 countries  (2015-2022),6.1,6.1,5.8,6.1,6.0,5.6,5.5,4.9,5.1,5.0,7.1 u,:
Annual,Total,Total,Percentage of total population,Total,Females,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,7.5 e
Annual,Total,Total,Percentage of total population,Total,Females,Estonia,4.0,4.4,5.3,4.8,5.8 b,4.9,3.7,3.8,3.8,4.2,3.3,3.0
Annual,Total,Total,Percentage of total population,Total,Females,Greece,6.9,6.6,7.0,6.7,6.8,5.9,6.0,5.3,5.6,5.5,5.8,6.1
Annual,Total,Total,Percentage of total population,Total,Females,Spain,5.8,4.3,4.4,6.3,5.1,3.9,4.8,4.0,5.0,5.8,10.8,8.2
Annual,Total,Total,Percentage of total population,Total,Females,European Union - 27 countries (2007-2013),6.8,6.8,6.1,6.0,5.8,5.5,5.4,5.1 e,5.5 e,5.4 e,:,:
Annual,Total,Total,Percentage of total population,Total,Females,European Union - 27 countries (from 2020),6.3 e,6.2 e,5.9 e,6.1 e,5.9 e,5.5 e,5.5 e,5.0 e,5.0 e,4.9 e,6.5 u,6.7 e
Annual,Total,Total,Percentage of total population,Total,Females,European Union - 28 countries (2013-2020),6.8,6.8,6.1,6.0,5.8,5.5,5.4,5.1 e,5.5 e,5.4 e,:,:
Annual,Total,Total,Percentage of total population,Total,Females,Finland,4.4,4.2,5.1,4.0,3.6,3.9,4.3,3.9,4.3,3.8,3.7,4.7
Annual,Total,Total,Percentage of total population,Total,Females,France,8.3,7.7,7.4,7.7,7.8,7.5,7.9,6.8,7.1,7.1,9.7 b,10.7
Annual,Total,Total,Percentage of total population,Total,Females,Croatia,7.4,6.0,6.0,6.4,5.5,5.0,4.8,4.8,4.5,4.2,4.2,3.4
Annual,Total,Total,Percentage of total population,Total,Females,Hungary,8.7,8.6,8.3,8.4,9.2,8.8,10.0,8.5,8.4,7.6,7.4,9.0
Annual,Total,Total,Percentage of total population,Total,Females,Ireland,4.2,4.6,4.9,6.0,5.9,5.5,5.7,6.3,6.0,5.7 b,5.1 b,:
Annual,Total,Total,Percentage of total population,Total,Females,Iceland,2.2,2.5,2.1,3.0,2.7,2.6,1.8,2.6,2.6,2.5,:,:
Annual,Total,Total,Percentage of total population,Total,Females,Italy,6.8,8.8,7.3,7.2,7.1,6.9,5.3,3.7,3.1,2.7,6.1,6.7
Annual,Total,Total,Percentage of total population,Total,Females,Lithuania,7.9,7.4,6.7,7.4,6.4,5.4,5.6,6.1,6.0,6.5,6.5,7.0
Annual,Total,Total,Percentage of total population,Total,Females,Luxembourg,4.4,4.0,6.4,7.5,5.6,7.0,9.4 b,7.6,7.9,6.5,5.7 b,4.4
Annual,Total,Total,Percentage of total population,Total,Females,Latvia,10.9,9.7,10.0,9.0,8.7,8.5,8.8,8.9,7.6,8.0,5.3,5.6
Annual,Total,Total,Percentage of total population,Total,Females,Montenegro,:,:,:,8.1,5.1,5.2,4.7,4.0,7.3,4.5,4.9,:
Annual,Total,Total,Percentage of total population,Total,Females,North Macedonia,7.9,4.5,4.5,3.1,4.4,3.8,4.5,4.5,4.6,5.3,5.1,:
Annual,Total,Total,Percentage of total population,Total,Females,Malta,7.5,8.4,7.1,7.1,7.3,7.2,7.1,7.0,12.0,10.6,10.1,9.5
Annual,Total,Total,Percentage of total population,Total,Females,Netherlands,3.7,3.7,3.9,3.7,4.8 p,4.8,3.6 b,3.4,3.5,3.5,3.9,3.6
