Time frequency,Unit of measure,Sex,Country of citizenship,Age class,Activity and employment status,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Austria,6016.6,6027.1,6026.2,6026.6,6028.8,6047.6,6063.6,5989.9,6088.0,6120.2 b,6197.0 b,6238.7,6276.3,6312.9,6342.3,6368.7,6397.5,6439.6,6486.3,6527.3,6555.2,6612.2,6614.7,6629.7,6645.2,6677.2,6719.3 b,6779.5,6839.8
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Belgium,7671.6,7672.7,7682.7,7686.2,7694.2 b,7698.4,7701.0,7726.0,7757.1,7784.8,7839.6 b,7878.6,7927.5,7985.2,8042.2,8100.7,8162.3,8211.0,8247.4,8277.1,8317.0,8360.2,8359.0 b,8411.3,8452.9,8497.2,8533.9 b,8596.3,8658.4
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Bulgaria,:,:,:,:,:,6362.4,6204.3 b,6225.0,6166.5,6137.4,6116.4 b,6067.8,6028.6,5986.7 b,5939.5,5827.0 b,5766.2 b,5698.1,5649.3,5608.7,5562.9,5510.3,5454.8,5398.4,5070.3 b,5004.6,4955.9 b,4900.7,4863.4
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Cyprus,:,:,:,:,473.6,482.3,490.4,494.6,506.7,521.6,546.3 b,553.5,574.3,580.9,596.3 b,615.9,634.7,644.6,641.8,634.8,627.1,628.7,638.7,645.4,659.1,671.7,683.6 b,696.0,708.0
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Czechia,:,:,7976.8,7987.4,7998.6,7998.2,7994.0,7994.9,8006.9,8068.4,8099.2 b,8148.2,8187.8,8275.6,8333.6,8334.6,8271.8 b,8268.8,8237.8,8214.3,8201.0,8174.5,8161.6,8136.6,8129.7,8131.1,8099.2 b,7924.0,7764.0
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Germany,62575.2,62806.5,62750.0,62972.5,62944.9,63139.7,63223.0,63360.4,63478.5,63610.4,63915.2 b,63949.9 b,63930.6,63878.8,63608.6,61922.1 b,61423.5,61430.2 b,61375.5,61363.9,61544.1,62061.3,62053.9,61986.9,61929.9,62060.2 b,62059.8 b,62664.4,63168.7
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Denmark,3943.2,3958.4,3962.2,3957.7,3972.4,3961.6,3978.9,3965.5,3969.6,3993.0,4011.2 b,4029.0,4048.2,4089.9 b,4122.7,4149.6,4174.5,4197.3,4224.5,4252.9,4283.6,4320.0 b,4341.3 b,4354.6,4360.2,4351.1,4339.1 b,4360.0,4389.0
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Estonia,:,:,1032.2,1046.0,1042.8,1068.5 b,1070.0,1062.0,1055.6,1052.3,1049.8 b,1048.6,1041.4,1035.5,1029.8,1023.9,1016.7,1005.8,995.9,987.0,973.2,971.6,965.4,965.6,970.3,974.2,975.9 b,978.4,1004.0
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Greece,7882.5,7956.1,8022.1,8035.9 b,8116.5,8188.1,8464.3 b,8435.7,8449.1,8463.2 b,8474.2 b,8478.2,8480.9,8470.2,8432.5 b,8367.2,8306.4,8246.5,8183.7,8134.8,8086.3,8047.1,8012.1,7974.9,7931.1,7892.8,7862.2 b,7830.2,7800.4
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Spain,30036.3,30246.7,30493.8,30682.8,30922.9,31184.8,31642.0,32144.1,32685.7,33182.6,33836.2 b,34225.0 b,34766.5,35243.1,35369.5,35344.7,35332.2,35240.1,35036.6,34975.2,34953.7,34907.0,35039.9,35195.4,35499.5,35810.0,36027.2 bd,36392.9 d,36941.4 d
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Finland,3773.8,3822.9,3850.5,3859.9,3869.6,3880.0 b,3888.3,3897.5,3906.8,3911.4,3927.7 b,3940.3,3960.5 b,3981.3,4005.4,4025.1,4038.2,4055.1,4067.1,4075.8,4081.3,4090.9,4096.7,4105.8,4109.2,4112.0,4104.5 b,4098.5,4109.3
