Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Females,Percentage of total employment,Austria,0.72,0.67,0.72,0.72,0.95,0.65,0.6,0.52,0.74,0.63,0.61 b,0.61,0.65
Annual,Females,Percentage of total employment,Belgium,0.5,0.52 b,0.4,0.38,0.36,0.45,0.41 b,0.39 b,0.43,0.5,0.48 b,0.56,0.52
Annual,Females,Percentage of total employment,Bulgaria,: u,: u,: u,: u,0.26 u,0.28 u,0.33 u,0.30 u,0.33 bu,0.31 u,: bu,0.21 bu,0.35 u
Annual,Females,Percentage of total employment,Switzerland,0.98,1.06,1.08,1.22,1.3,1.41,1.33,1.37,1.41,1.46,1.11 b,0.97,0.92
Annual,Females,Percentage of total employment,Cyprus,0.52 u,: u,: u,0.50 u,0.33 bu,0.54 u,0.68 u,0.48 u,0.62 u,0.69 u,0.62 bu,0.42 u,0.55 u
Annual,Females,Percentage of total employment,Czechia,0.46,0.46,0.52,0.57,0.48,0.55,0.74,0.61,0.55,0.48,0.45 b,0.52,0.51
Annual,Females,Percentage of total employment,Germany,0.51,0.59 b,0.62,0.61,0.6,0.65,0.69,0.68,0.69,0.61 b,0.56 b,0.63,0.58
Annual,Females,Percentage of total employment,Denmark,1.09,0.97,0.92,1.06,1.08,1.07 b,0.99 b,1.06,1.07,0.91,1.03 b,1.16,1.33 b
Annual,Females,Percentage of total employment,Estonia,0.73 u,0.63 u,0.59 u,0.95,0.74 u,0.76 u,0.81,0.78,0.9,0.64 u,0.72 b,0.99,0.96
Annual,Females,Percentage of total employment,Greece,0.32,0.19 u,0.31,0.36,0.31,0.35,0.53,0.59,0.54,0.67,0.49 b,0.56,0.6
Annual,Females,Percentage of total employment,Spain,0.69,0.82,0.94,1.09,0.97,0.9,0.97,1.01,0.97,0.9,1.07 bd,1.04 d,0.99 d
Annual,Females,Percentage of total employment,European Union - 27 countries (from 2020),0.63,0.66,0.62,0.62,0.63,0.64,0.66,0.66,0.68,0.64,0.68 b,0.73,0.73
Annual,Females,Percentage of total employment,Finland,0.84,0.89,1.07,1.26,1.28,1.23,1.34,1.43,1.45,1.55,1.31 b,1.21,1.24
Annual,Females,Percentage of total employment,France,1.29,1.24,0.77 b,0.56 b,0.61,0.57,0.54,0.55,0.56,0.5,0.94 bd,1.05 d,0.93 d
Annual,Females,Percentage of total employment,Croatia,0.26 u,0.27 u,0.30 u,0.38 u,0.24 u,0.26 u,0.30 u,0.53 u,0.58 u,0.22 u,0.31 bu,0.20 u,0.33 bu
Annual,Females,Percentage of total employment,Hungary,0.16 u,0.26 u,0.35,0.29,0.37,0.28,0.3,0.49,0.46,0.52,0.53 b,0.6,0.54
Annual,Females,Percentage of total employment,Ireland,0.86,0.81,0.83,0.81,0.73,0.91,1.02 b,0.98,0.93,0.73 u,0.75 bu,0.78,0.8
Annual,Females,Percentage of total employment,Iceland,2.33,2.08,1.97,2.06,1.63,1.89,2.27,2.56,2.23,2.09 b,2.68 b,2.91,2.41
Annual,Females,Percentage of total employment,Italy,0.44,0.43,0.46,0.57,0.59,0.56,0.55 b,0.49 b,0.59,0.61,0.45 b,0.64,0.74
Annual,Females,Percentage of total employment,Lithuania,: u,: u,0.41 u,0.40 u,0.47 u,0.50 u,0.50 u,0.38 u,0.40 u,0.48 u,0.44 bu,0.55 u,0.46 u
Annual,Females,Percentage of total employment,Luxembourg,: u,0.49 u,0.71 u,: u,0.60 bu,1.08,0.67 u,0.64 u,0.52 u,0.65 u,0.52 bu,0.50 u,: u
Annual,Females,Percentage of total employment,Latvia,0.51 u,0.53 u,0.44 u,0.62,0.54,0.77,0.49,0.97,1.18,0.68,0.68 bu,0.56 u,: u
Annual,Females,Percentage of total employment,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Females,Percentage of total employment,North Macedonia,: u,: u,: u,: u,: u,0.21 u,: u,: u,0.25 u,0.18 u,:,:,:
Annual,Females,Percentage of total employment,Malta,: u,: u,0.81 u,0.63 u,: u,: u,: u,: u,0.49 u,0.57 u,: bu,: u,: u
Annual,Females,Percentage of total employment,Netherlands,0.84,0.86,0.86 b,0.89,0.94,0.97,0.88,0.94,0.97,0.95,1.13 b,0.96,1.04
Annual,Females,Percentage of total employment,Norway,0.72,0.91,0.97,1.1,1.1,1.14,1.07,1.13,1.13,1.18,1.14 b,0.98,1.1
Annual,Females,Percentage of total employment,Poland,0.27,0.3,0.33,0.34,0.36,0.41,0.46,0.51,0.45 b,0.42,0.32 b,0.4,0.43
Annual,Females,Percentage of total employment,Portugal,0.52,0.42,0.41,0.63,0.66,0.72,0.81,0.68,0.65,0.67,0.53 b,0.61,0.77
Annual,Females,Percentage of total employment,Romania,: u,0.18 u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,0.21 u
Annual,Females,Percentage of total employment,Serbia,: u,: u,0.31 u,0.35 b,0.37 b,0.35,0.32,0.25 u,0.3,0.22 u,0.41 b,0.28 u,0.47 b
Annual,Females,Percentage of total employment,Sweden,1.45,1.48,1.65,1.65,1.72,1.62,1.7,1.80 b,1.8,1.82,1.66 b,1.48,1.48
Annual,Females,Percentage of total employment,Slovenia,0.46 u,0.25 u,0.30 u,0.36 u,0.64 u,0.33 u,0.37 u,0.38 u,0.46 u,0.39 u,0.57 bu,0.62 u,0.44 u
Annual,Females,Percentage of total employment,Slovakia,0.25 u,0.22 u,0.34,0.39,0.36,0.38,0.33,0.25 u,0.45,0.31 u,: bu,: u,: u
Annual,Females,Percentage of total employment,Türkiye,0.13,0.19,0.18,0.19 b,0.17,0.22,0.26,0.31,0.3,0.2,0.19 b,0.28,0.38
Annual,Females,Percentage of total employment,United Kingdom,1.29,1.26,1.11,1.19,1.25,1.36,1.31,1.32,1.27,:,:,:,:
Annual,Females,Thousand persons,Austria,13.5,12.8,13.9,13.9,18.6,12.9,12.1,10.5,15.1,12.8,12.4 b,12.8,13.7
Annual,Females,Thousand persons,Belgium,10.2,10.7 b,8.4,8.0,7.7,9.5,8.8 b,8.6 b,9.6,11.3,10.8 b,13.1,12.4
Annual,Females,Thousand persons,Bulgaria,: u,: u,: u,: u,3.7 u,4.0 u,4.8 u,4.5 u,4.9 bu,4.4 u,: bu,3.0 bu,4.9 u
Annual,Females,Thousand persons,Switzerland,19.3,21.1,21.8,25.2,27.4,30.2,28.7,29.7,31.0,31.9,24.3 b,21.2,20.8
Annual,Females,Thousand persons,Cyprus,1.0 u,: u,: u,0.9 u,0.6 bu,0.9 u,1.2 u,0.9 u,1.2 u,1.4 u,1.2 bu,0.9 u,1.2 u
Annual,Females,Thousand persons,Czechia,9.7,9.8,11.2,12.2,10.6,12.5,17.1,14.4,12.9,11.1,10.4 b,11.9,11.3
Annual,Females,Thousand persons,Germany,92.0,107.0 b,114.3,112.7,111.8,125.5,133.4,133.3,137.2,118.1 b,107.9 b,124.9,117.6
Annual,Females,Thousand persons,Denmark,13.7,12.2,11.5,13.3,13.7,13.9 b,13.0 b,14.1,14.5,12.2,14.1 b,16.5,19.0 b
Annual,Females,Thousand persons,Estonia,2.2 u,1.9 u,1.8 u,2.9,2.3 u,2.4 u,2.6,2.5,2.9,2.0 u,2.3 b,3.3,3.3
Annual,Females,Thousand persons,Greece,5.4,2.9 u,4.4,5.3,4.7,5.5,8.4,9.4,8.8,11.0,8.2 b,9.7,10.7
Annual,Females,Thousand persons,Spain,56.9,65.8,73.5,86.4,78.3,74.7,83.2,88.5,87.6,79.0,97.8 bd,98.1 d,96.9 d
Annual,Females,Thousand persons,European Union - 27 countries (from 2020),535.5,556.1,525.8,536.6,549.9,560.1,587.5,601.0,624.4,574.5,619.1 b,687.9,692.5
Annual,Females,Thousand persons,Finland,10.1,10.7,12.8,15.0,15.2,14.5,15.9,17.4,18.0,18.8,16.2 b,15.5,16.0
Annual,Females,Thousand persons,France,158.1,152.7,95.5 b,71.4 b,77.9,73.3,69.8,72.4,73.9,66.0,127.4 bd,145.5 d,129.9 d
Annual,Females,Thousand persons,Croatia,1.9 u,1.9 u,2.1 u,2.7 u,1.7 u,1.9 u,2.3 u,4.0 u,4.5 u,1.6 u,2.4 bu,1.6 u,2.5 bu
Annual,Females,Thousand persons,Hungary,2.8 u,4.6 u,6.3,5.5,7.0,5.6,6.0,9.9,9.4,10.3,11.4 b,13.3,11.9
Annual,Females,Thousand persons,Ireland,7.6,7.1,7.4,7.4,6.9,8.9,10.2 b,10.2,9.9,7.7 u,8.5 bu,9.4,10.1
Annual,Females,Thousand persons,Iceland,1.9,1.7,1.6,1.7,1.4,1.7,2.0,2.3,2.1,1.9 b,2.4 b,2.8,2.4
Annual,Females,Thousand persons,Italy,40.6,40.5,43.0,53.6,55.5,53.5,53.2 b,47.5 b,57.9,57.7,42.6 b,62.0,73.5
Annual,Females,Thousand persons,Lithuania,: u,: u,2.7 u,2.7 u,3.2 u,3.5 u,3.5 u,2.7 u,2.8 u,3.3 u,3.0 bu,4.0 u,3.3 u
Annual,Females,Thousand persons,Luxembourg,: u,0.5 u,0.8 u,: u,0.7 bu,1.3,0.8 u,0.8 u,0.7 u,0.9 u,0.7 bu,0.7 u,: u
Annual,Females,Thousand persons,Latvia,2.3 u,2.4 u,2.0 u,2.8,2.4,3.5,2.2,4.5,5.4,3.0,3.0 bu,2.5 u,: u
Annual,Females,Thousand persons,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Females,Thousand persons,North Macedonia,: u,: u,: u,: u,: u,0.6 u,: u,: u,0.8 u,0.6 u,:,:,:
Annual,Females,Thousand persons,Malta,: u,: u,0.6 u,0.5 u,: u,: u,: u,: u,0.5 u,0.6 u,: bu,: u,: u
Annual,Females,Thousand persons,Netherlands,32.1,33.0,32.9 b,33.7,36.0,37.9,35.0,38.4,40.8,40.0,49.2 b,43.2,48.0
Annual,Females,Thousand persons,Norway,8.6,11.1,11.9,13.7,13.8,14.3,13.4,14.3,14.4,15.0,15.0 b,13.1,15.0
Annual,Females,Thousand persons,Poland,18.9,20.9,22.9,23.9,26.2,30.0,33.8,37.5,34.3 b,31.4,24.8 b,31.4,34.5
Annual,Females,Thousand persons,Portugal,11.6,9.2,8.9,13.6,14.5,16.2,18.7,16.1,15.7,15.9,12.6 b,14.8,19.0
