Time frequency,Price adjustment,Unit of measure,product,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Annual,Nominal index,"Index, 2000=100",130000.0,AT,108.0,98.4,92.5,100.0,107.5,99.6,95.9,99.0,102.1,105.4,108.0,120.9
Annual,Nominal index,"Index, 2000=100",130000.0,BE,109.1,95.1,85.8,100.0,103.7,94.1,96.0,96.7,97.6,102.7,105.7,109.4
Annual,Nominal index,"Index, 2000=100",130000.0,BG,99.6,111.3,83.9,100.0,124.0,109.0,102.8,119.2,105.0,104.2,110.5,125.9
Annual,Nominal index,"Index, 2000=100",130000.0,CY,:,:,:,100.0,:,:,:,129.8,131.7,118.2,121.9,142.0
Annual,Nominal index,"Index, 2000=100",130000.0,CZ,97.8,103.4,92.7,100.0,108.5,96.4,91.4,96.4,98.2,94.4,96.0,100.9
Annual,Nominal index,"Index, 2000=100",130000.0,DE,104.1,96.5,91.2,100.0,107.0,97.6,94.7,97.4,98.7,101.4,109.3,116.5
Annual,Nominal index,"Index, 2000=100",130000.0,DK,109.5,92.2,87.8,100.0,110.2,96.1,88.8,92.1,92.7,98.4,93.5,105.8
Annual,Nominal index,"Index, 2000=100",130000.0,EE,:,:,:,100.0,:,:,:,127.9,132.8,133.5,141.5,159.9
Annual,Nominal index,"Index, 2000=100",130000.0,EL,90.9,94.0,94.0,100.0,107.7,105.4,106.7,108.9,114.6,120.2,120.4,125.8
Annual,Nominal index,"Index, 2000=100",130000.0,ES,107.1,96.5,90.5,100.0,109.4,100.3,101.6,104.3,105.9,111.1,112.9,116.1
Annual,Nominal index,"Index, 2000=100",130000.0,FI,101.4,98.4,91.6,100.0,107.9,104.9,96.4,99.2,98.6,102.7,102.4,114.8
Annual,Nominal index,"Index, 2000=100",130000.0,FR,101.5,98.9,95.2,100.0,102.3,98.2,98.6,98.5,98.8,100.8,102.9,112.8
Annual,Nominal index,"Index, 2000=100",130000.0,HU,84.4,93.3,89.0,100.0,121.2,114.4,107.1,111.3,113.3,117.8,122.0,138.6
Annual,Nominal index,"Index, 2000=100",130000.0,IE,99.9,97.0,92.7,100.0,103.0,98.2,96.9,101.4,100.7,103.0,110.6,119.7
Annual,Nominal index,"Index, 2000=100",130000.0,IT,99.6,95.9,92.3,100.0,103.2,99.5,102.9,101.5,101.4,106.0,106.9,113.7
Annual,Nominal index,"Index, 2000=100",130000.0,LT,120.1,117.9,105.4,100.0,116.3,99.3,87.4,98.5,111.7,114.2,127.5,141.4
Annual,Nominal index,"Index, 2000=100",130000.0,LU,101.5,101.4,98.6,100.0,100.5,95.9,95.8,99.3,99.3,100.2,108.1,116.6
Annual,Nominal index,"Index, 2000=100",130000.0,LV,111.7,107.4,92.5,100.0,112.6,103.6,103.6,124.9,144.5,149.3,161.7,178.3
Annual,Nominal index,"Index, 2000=100",130000.0,MT,:,:,:,100.0,101.2,100.5,98.2,99.5,97.4,96.4,99.1,106.7
Annual,Nominal index,"Index, 2000=100",130000.0,NL,107.0,95.6,86.1,100.0,103.8,96.0,94.9,94.4,96.8,99.1,106.7,113.5
Annual,Nominal index,"Index, 2000=100",130000.0,PL,91.1,88.5,83.1,100.0,106.2,93.0,89.4,109.1,108.0,105.5,113.4,117.2
Annual,Nominal index,"Index, 2000=100",130000.0,PT,100.4,94.8,90.5,100.0,109.0,98.7,102.4,100.0,100.3,104.6,109.4,115.2
Annual,Nominal index,"Index, 2000=100",130000.0,RO,:,:,:,100.0,173.7,207.2,201.6,228.1,252.3,239.0,248.1,287.3
Annual,Nominal index,"Index, 2000=100",130000.0,SE,105.3,101.4,97.7,100.0,102.3,101.1,97.5,93.8,94.4,96.6,100.6,102.1
Annual,Nominal index,"Index, 2000=100",130000.0,SI,91.2,95.0,93.8,100.0,108.8,107.9,107.9,111.3,112.8,115.3,118.9,134.2
Annual,Nominal index,"Index, 2000=100",130000.0,SK,91.5,94.5,93.4,100.0,106.6,106.0,99.1,99.4,100.8,100.1,98.1,103.3
Annual,Nominal index,"Index, 2000=100",130000.0,UK,122.6,103.9,99.9,100.0,105.8,102.7,109.4,112.0,110.4,111.6,119.5,150.1
Annual,Real index,"Index, 2000=100",130000.0,AT,111.6,100.8,94.3,100.0,105.1,95.7,91.0,92.1,93.1,94.5,94.7,102.7
Annual,Real index,"Index, 2000=100",130000.0,BE,114.3,98.7,88.1,100.0,101.2,90.5,90.9,89.9,88.5,91.0,92.0,91.1
Annual,Real index,"Index, 2000=100",130000.0,BG,133.8,125.9,92.5,100.0,115.5,96.0,88.4,96.6,80.2,74.1,73.1,74.4
Annual,Real index,"Index, 2000=100",130000.0,CY,:,:,:,100.0,:,:,:,116.9,116.2,102.0,103.0,114.9
Annual,Real index,"Index, 2000=100",130000.0,CZ,113.6,109.5,96.4,100.0,103.8,90.9,86.3,88.8,89.0,83.8,82.8,81.8
Annual,Real index,"Index, 2000=100",130000.0,DE,106.9,98.5,92.5,100.0,105.1,94.5,90.8,91.7,91.2,92.0,97.0,100.6
Annual,Real index,"Index, 2000=100",130000.0,DK,116.3,96.6,90.2,100.0,107.7,91.7,83.1,85.4,84.5,88.2,82.4,89.9
Annual,Real index,"Index, 2000=100",130000.0,EE,:,:,:,100.0,:,:,:,117.9,119.8,117.9,122.1,109.0
Annual,Real index,"Index, 2000=100",130000.0,EL,99.9,98.8,96.7,100.0,103.9,97.9,95.8,94.9,96.5,97.9,95.3,95.5
Annual,Real index,"Index, 2000=100",130000.0,ES,115.3,102.1,93.6,100.0,106.4,94.2,92.5,92.2,90.5,91.7,90.6,89.5
Annual,Real index,"Index, 2000=100",130000.0,FI,107.2,102.6,94.3,100.0,105.1,100.2,90.9,93.4,92.1,94.7,93.0,100.3
Annual,Real index,"Index, 2000=100",130000.0,FR,104.6,101.2,96.9,100.0,100.5,94.6,93.0,90.8,89.4,89.5,89.9,95.5
Annual,Real index,"Index, 2000=100",130000.0,HU,116.6,112.8,97.8,100.0,111.1,99.6,89.1,86.7,85.3,85.3,81.8,87.7
Annual,Real index,"Index, 2000=100",130000.0,IE,110.1,104.7,97.5,100.0,99.1,90.2,85.6,87.5,85.1,84.7,88.5,92.9
Annual,Real index,"Index, 2000=100",130000.0,IT,105.9,99.9,94.6,100.0,100.8,94.7,95.3,92.0,89.8,91.9,90.8,93.3
Annual,Real index,"Index, 2000=100",130000.0,LT,128.1,119.7,106.4,100.0,114.5,97.5,86.7,96.6,106.7,105.1,110.9,110.7
Annual,Real index,"Index, 2000=100",130000.0,LU,107.4,106.3,102.3,100.0,98.1,91.8,89.4,89.7,86.5,84.8,89.1,92.3
Annual,Real index,"Index, 2000=100",130000.0,LV,122.1,112.6,94.9,100.0,109.8,99.1,96.3,109.3,118.3,114.7,112.8,108.0
Annual,Real index,"Index, 2000=100",130000.0,MT,:,:,:,100.0,98.7,95.5,91.6,90.3,86.2,83.2,84.9,87.4
Annual,Real index,"Index, 2000=100",130000.0,NL,113.7,99.9,88.1,100.0,98.8,87.9,85.0,83.4,84.3,84.9,90.0,93.6
Annual,Real index,"Index, 2000=100",130000.0,PL,120.1,104.4,91.4,100.0,100.9,86.7,82.7,97.4,94.4,91.0,95.4,94.6
Annual,Real index,"Index, 2000=100",130000.0,PT,107.8,99.6,93.0,100.0,104.4,91.2,91.6,87.3,85.7,86.8,88.6,90.9
Annual,Real index,"Index, 2000=100",130000.0,RO,:,:,:,100.0,129.2,125.8,106.2,107.4,108.9,96.7,95.7,102.7
Annual,Real index,"Index, 2000=100",130000.0,SE,108.4,103.3,99.0,100.0,99.6,96.6,91.0,86.7,86.5,87.2,89.4,87.8
Annual,Real index,"Index, 2000=100",130000.0,SI,113.8,109.9,102.1,100.0,100.2,92.5,87.5,87.1,86.1,85.9,85.3,91.3
Annual,Real index,"Index, 2000=100",130000.0,SK,120.9,117.1,104.8,100.0,99.5,95.6,82.4,76.9,75.9,72.3,69.5,70.4
Annual,Real index,"Index, 2000=100",130000.0,UK,127.2,106.2,100.8,100.0,104.6,100.2,105.3,106.4,102.8,101.6,106.3,128.8
