Time frequency,Unit of measure,Sex,Age class,Country of citizenship,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Austria,59.1 b,57.6,58.6 b,58.4,57.7,59.6,60.6,59.5,57.9,56.9,56.3,55.8,57.6,61.8,61.7,58.0,61.9 b,64.9,62.9
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,63.1 bu,57.0 u,: u
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Belgium,38.8 b,39.3,42.2,44.6,43.5,42.6,41.6 b,41.3,41.4,42.1,44.7,43.4,43.4 b,44.7,44.2,40.1,43.3 b,48.7,50.0
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Bulgaria,45.8 bu,56.5 u,61.8 u,: bu,44.3 u,: bu,: bu,: u,49.7 u,54.3 u,: u,56.7 u,57.5 u,57.9 u,60.9 bu,: u,: bu,47.7 u,60.8 u
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Switzerland,66.1 b,66.7,67.6,69.3,67.4,63.8 b,65.7,66.0,64.5,64.4,64.5,65.5,65.4,66.7,67.3,67.6,65.5 b,66.2,67.2
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Cyprus,71.6 b,71.1,70.5,69.4,65.0 b,69.0,70.4,69.6,68.2,70.0,69.2,63.4,64.0,64.4,69.9,69.1,73.1 b,72.6,74.6
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Czechia,75.0 b,73.8,76.9,75.9,73.0,74.8,74.0 b,77.7,79.2,79.2,76.2,78.4,78.7,81.8,83.0,82.4,81.1 b,83.2,83.8
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Germany,49.3 b,50.3 b,52.6,54.0 b,54.4,55.4 b,57.6 b,58.9 b,58.5,58.4,57.6,54.8,55.4,57.9,60.3,58.1 b,58.4 b,61.1,60.9
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Denmark,56.3 b,63.4,57.7,56.7 b,59.9,55.6,53.2,52.7,55.2,53.8,53.8,57.4 b,57.9 b,59.5,60.2,62.3,65.9 b,70.6,68.8 b
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Euro area – 20 countries (from 2023),58.5 b,60.1,61.3,62.2,58.2,57.8,57.3,56.0,54.9,55.6,56.0,55.8,56.9,58.6,59.8,57.3,58.7 b,61.4,62.4
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Estonia,65.6 b,68.6,71.2,75.3,64.5,57.9,64.0,64.4,66.9,66.7,69.6,68.4,72.0,73.2,73.9,73.3,71.1 b,73.9,76.0
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Greece,73.6 b,74.1,73.5,74.0,71.7 b,68.6,62.3,51.9,49.3,53.9,54.9,56.2,56.4,56.6,57.3,53.9,55.8 b,60.4,62.9
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Spain,73.2 b,73.8 b,72.6,69.2,59.3,58.8,55.8,52.1,50.1,51.6,54.7,57.5,59.5,59.9,59.8,55.2,58.9 bd,61.3 d,62.9 d
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,European Union - 27 countries (from 2020),58.4 b,60.1,61.2,62.1,58.2,57.7,57.1,56.0,55.0,55.7,56.0,55.9,57.0,58.8,60.0,57.5,59.0 b,61.9,63.1
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Finland,52.6 b,52.9,54.9 b,56.3 b,55.7,50.2,51.1,52.7,53.8,51.0,49.3,47.3,51.0,51.9,53.8,56.7,58.6 b,66.9,62.0
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,France,47.5 b,47.4 b,47.8,51.8,48.4,48.8,48.0,48.6,48.5,48.2 b,47.5,46.8,48.0,50.9,51.9,52.4,54.9 bd,55.9 d,57.7 d
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Croatia,:,: bu,47.2 u,42.1 u,32.0 u,31.3 u,39.2 u,29.0 bu,35.2 u,40.2 u,41.3 u,34.8 u,37.1 u,49.6 u,47.1 u,49.8 u,61.0 bu,76.4 u,78.4
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Hungary,69.1 b,67.6,69.7,74.3,66.3,51.4,54.1,63.2,64.5,70.9,71.5,65.3,63.8,56.3 b,72.8,71.5,69.6 b,70.1,61.8
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Ireland,:,66.6,69.3 b,67.7,62.3,59.1,58.5,56.5,58.1,57.3,59.2,62.8,65.2 b,67.9,69.2,67.3,70.5 b,76.2,76.9
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Iceland,83.3 b,87.5,88.1,76.8,77.2,61.4,70.8,79.7,76.9,80.3,77.9,81.2,84.7,83.8,83.4,72.3 b,74.5 b,82.0,78.6
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Italy,68.8 b,71.3,70.6,70.3,67.0,65.2,64.9,63.1,60.2,60.6,60.8,61.6,62.7,63.5 b,63.7,59.8,60.3 b,62.9,64.2
