Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Austria,135.6,132.3,127.4,124.5,124.7,125.1,124.7,126.5,125.7,126.3,128.7 p,:
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Belgium,104.9,106.9,103.8,101.8,98.7,100.0,102.7,101.2,100.6,103.1,107.1,:
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Bulgaria,118.2,113.5,104.3,101.5,112.3,109.8,118.9,122.5,120.8,111.9,124.1,:
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Switzerland,152.6,154.1,154.9,155.6,161.0,160.1,161.6,157.6,157.0,155.5,155.5,155.3
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Cyprus,142.5,142.5,139.3,139.6,146.4,146.3,150.4,150.4,144.9,144.4 p,136.5 p,:
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Czechia,172.3,173.4,171.5,172.2,167.8,166.4,167.4,165.2,164.4,164.2,166.4,:
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Germany,155.7,153.8,153.8,153.7,152.9,152.8,153.5,154.7,152.4,153.3,156.1,155.5
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Denmark,172.0,155.2,139.6,156.3,151.8,160.3,159.8,166.8,168.0,173.6,193.8,194.6
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Euro area - 19 countries  (2015-2022),144.8,139.6,136.3,131.3,129.9,132.0,135.5,138.0,135.4,:,:,:
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Euro area – 20 countries (from 2023),144.9,139.8,136.5,131.4,129.9,132.1,135.7,138.1,135.4,137.5,144.9,:
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Estonia,171.6,132.8,128.3,122.5,131.9,143.6,146.7,153.9,134.2,139.7,132.8,134.6
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Greece,137.1,133.5,128.3,123.9,117.4,121.2,127.5,131.1,131.9,130.1,135.9,:
Monthly,Domestic producer prices,MIG - energy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Spain,136.6,125.1,115.2,114.4,117.5,126.4,133.3,140.0,130.0 p,130.0 p,142.1 p,:
