Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Norway,9.4,11.0,11.6,11.1,8.6,8.7,9.6,9.7,11.0,12.5,10.5,12.8,13.0,16.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Poland,50.0 b,47.5,49.5,46.9,43.7,44.4,39.1,37.0,33.2,29.2,29.8,27.0,26.4,27.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Portugal,47.6,45.7,44.0,50.6,49.7,47.1,43.3,40.5,35.9,31.4,26.1,27.9 b,29.4,28.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Romania,56.5,58.4,59.7,60.7,60.6,53.5,52.0,52.4,50.5,48.2,52.0,45.9,43.5,43.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Serbia,:,:,:,74.8,81.0,77.5,76.1,74.2,72.0,64.6,61.3,63.7,60.0,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Sweden,10.9,11.7,10.9,9.7,10.5,11.0,11.0,9.9,12.2,11.0,11.0,13.0,11.3,13.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovenia,45.9,46.2,45.7,49.3,47.6,45.6,44.7,40.8,37.3,33.8,32.5,26.0,27.3,30.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovakia,51.2,46.9,50.7,51.9,50.7,51.7,48.8,45.9,47.4,52.2,53.6,54.4,53.3,58.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Türkiye,61.6,57.7,59.1,57.8,46.3,48.5,36.0,17.4,14.6,16.9,23.5,32.1,35.8,35.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,United Kingdom,18.6,19.6,19.5,22.1,24.9,20.1,18.8,18.2 b,15.5,:,:,:,:,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Kosovo*,:,:,:,:,:,:,:,:,54.5,54.0,:,:,:,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Albania,:,:,:,:,:,:,:,61.6,58.6,55.4,54.4,50.9,:,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Austria,12.7,12.1,11.8,12.3,13.0,12.3,11.3,10.0,9.8,9.6,8.7,8.4,10.9,12.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Belgium,19.2,19.1,21.1,19.8,18.9,21.2,21.2,21.0,18.1,20.2 b,18.7,15.9,18.0,17.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Bulgaria,63.3,60.7,65.3,63.2,61.2 b,61.8,59.8 b,56.1,52.9,47.8,40.6,34.9,39.0,30.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Switzerland,10.0,11.3,10.6,11.9,11.1 b,9.7,11.6,10.6,10.7,11.7,10.5,9.4,8.9,9.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Cyprus,54.3,54.7,52.3,63.7,63.0,62.3,62.9,46.0,50.7,40.0,27.6,27.6,33.5,26.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Czechia,26.5,27.5,30.9,31.5,30.5,26.2,22.4,21.5,15.9,12.7,11.7,10.8,11.8,12.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Germany,9.2,9.8,9.9,9.7,9.1,8.2,7.1,6.7,6.4,5.8,5.2 b,6.3,8.3,9.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Denmark,7.2,8.7,10.0,11.3,11.2,10.2,9.5,9.1,8.5,9.6,8.4,7.4,9.5,13.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Euro area – 20 countries (from 2023),21.1,21.0,22.7,24.5,23.7,22.3,20.3,18.1,18.0,15.9,17.7,16.8,18.2,18.5
