Time frequency,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,2004.0
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Germany,5666.6
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Denmark,606.3
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Greece,676.0
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Spain,8048.4
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Finland,: @C
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Lithuania,18.4
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Latvia,45.7
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Malta,8.1
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Norway,1259.2
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Romania,183.3
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Sweden,1512.9
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Slovenia,91.4
Annual,Purchase of advertising space or time for resale - million euro,Advertising,Slovakia,24.1
Annual,Purchase of advertising space or time for resale - million euro,Advertising,United Kingdom,6303.9
