Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Towns and suburbs,Percentage,Denmark,6.4,6.1,5.6,7.8,9.4,6.9,6.7,5.3,7.4,10.1
Annual,Towns and suburbs,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",16.3,15.7,13.3,11.4,10.7,10.1,10.6,10.4,:,:
Annual,Towns and suburbs,Percentage,Euro area - 18 countries (2014),16.3,15.7,13.3,11.4,10.7,10.1,10.5,:,:,:
Annual,Towns and suburbs,Percentage,Euro area - 19 countries  (2015-2022),16.3 e,15.7,13.3,11.4,10.7,10.1,10.6,10.5,:,:
Annual,Towns and suburbs,Percentage,Euro area – 20 countries (from 2023),16.3,15.4,13.1,11.2,10.6,10.1,10.6,10.4,11.7,12.7
Annual,Towns and suburbs,Percentage,Estonia,13.1,10.0,7.8,8.7,8.8,12.8,9.1,6.0,8.7,7.2
Annual,Towns and suburbs,Percentage,Greece,34.7,37.6,34.4,34.7,33.0,29.2,30.6,27.5,31.0,28.7
Annual,Towns and suburbs,Percentage,Spain,20.7,16.3,17.8,14.5,16.0,14.8,16.4,16.0,16.9,17.6
Annual,Towns and suburbs,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",17.7,16.5,14.5,12.6,11.4,11.0,:,:,:,:
Annual,Towns and suburbs,Percentage,European Union - 27 countries (2007-2013),17.7,16.5,14.5,12.6,11.4,11.0,:,:,:,:
Annual,Towns and suburbs,Percentage,European Union - 27 countries (from 2020),18.2,17.1,14.8,13.0,11.9,11.0,11.1,10.9,12.1,12.9
Annual,Towns and suburbs,Percentage,European Union - 28 countries (2013-2020),17.7,16.5,14.5,12.6,11.4,11.0,:,:,:,:
Annual,Towns and suburbs,Percentage,Finland,4.5,3.5,4.6,5.1,5.5,5.1,4.6,4.0,4.6,7.0
Annual,Towns and suburbs,Percentage,France,15.1,15.5,14.5,15.1,13.4,12.8,12.3 b,11.2,15.1 b,16.0
Annual,Towns and suburbs,Percentage,Croatia,18.2,16.5,15.4,16.0,11.8,9.1,8.8,8.0,7.6,6.0
Annual,Towns and suburbs,Percentage,Hungary,41.7,40.2,32.6,24.9,19.3,18.2,16.4,17.2,16.0,17.2
Annual,Towns and suburbs,Percentage,Ireland,23.6,22.6,21.3,18.6,16.2,16.1 b,15.3 b,8.8,11.4,11.0
Annual,Towns and suburbs,Percentage,Iceland,9.0,8.7,7.4,5.0,3.7,3.9,:,:,:,:
Annual,Towns and suburbs,Percentage,Italy,23.4,23.5 b,16.4,11.4,11.0,10.6,9.7,10.5,8.6,10.1
Annual,Towns and suburbs,Percentage,Lithuania,28.1,19.5,29.3,41.7,26.6,14.1,21.6,14.2,14.1,18.9
Annual,Towns and suburbs,Percentage,Luxembourg,7.1,7.1,7.4 b,5.9,5.6,4.5,5.8 b,6.8 b,4.6 b,7.6
Annual,Towns and suburbs,Percentage,Latvia,32.8,33.4,28.1,28.3,25.5,17.8,17.9,12.6,15.6,14.4
Annual,Towns and suburbs,Percentage,North Macedonia,:,:,41.8,42.4,36.1,34.9,30.8,:,:,:
Annual,Towns and suburbs,Percentage,Malta,19.8,10.5,5.5,6.5,3.8,8.1,8.4,8.0,7.3,7.2
Annual,Towns and suburbs,Percentage,Netherlands,6.6,5.7,4.1 b,4.7,4.6,5.2,4.1,3.2,3.9,3.7
Annual,Towns and suburbs,Percentage,Norway,3.4,3.6,:,4.3,3.4,4.0,4.3,4.5 b,4.7,5.8
Annual,Towns and suburbs,Percentage,Poland,20.9,15.5,11.9,11.2,10.7,8.6,6.0,6.5,7.3,7.2
Annual,Towns and suburbs,Percentage,Portugal,26.1,20.0,19.0,15.3,12.8,12.1,13.2,14.7,12.6,11.3
Annual,Towns and suburbs,Percentage,Romania,51.0,45.2,47.1,41.4,37.3,33.1,30.5,30.6,33.7,27.5
Annual,Towns and suburbs,Percentage,Serbia,44.7,40.0,:,35.9,30.5,26.2,21.7,21.9,20.3,:
Annual,Towns and suburbs,Percentage,Sweden,3.9,3.4 b,2.9,3.2,4.0,3.5,4.2,3.5,4.3,5.5
Annual,Towns and suburbs,Percentage,Slovenia,15.0,12.5,10.3,9.9,8.0,6.0,6.3,4.3,3.9,4.7
Annual,Towns and suburbs,Percentage,Slovakia,19.4,17.5,16.1,14.3,14.5,13.6,11.0,8.4,10.6,14.4
Annual,Towns and suburbs,Percentage,United Kingdom,13.7,11.5,11.9,10.0 b,8.2,:,:,:,:,:
Annual,Rural areas,Percentage,Albania,:,:,:,73.1,72.2,71.0,68.3,63.3,:,:
Annual,Rural areas,Percentage,Austria,4.7,3.9,4.2,3.5,3.0,2.5,2.3,2.3,3.0,4.3
Annual,Rural areas,Percentage,Belgium,14.5,13.2,15.4,12.6,11.1,10.6 b,10.3,9.9,9.7,9.5
Annual,Rural areas,Percentage,Bulgaria,63.5,62.3,60.3 b,57.3,48.1,46.2,45.4,39.4,40.5,37.6
Annual,Rural areas,Percentage,Switzerland,3.0,3.2,3.9,3.9,3.9,3.5,3.0,3.2,3.6,3.7
Annual,Rural areas,Percentage,Cyprus,31.9,25.9,25.6,22.5,15.1,14.1,16.7,16.7,15.3,13.6
Annual,Rural areas,Percentage,Czechia,10.9,9.1,8.1,6.0,5.7,5.2,5.0,4.5,4.8,5.7
Annual,Rural areas,Percentage,Germany,12.2,9.8,8.0,7.4,7.4,5.8,6.5 b,7.2,9.2,10.1
Annual,Rural areas,Percentage,Denmark,5.8,8.8,6.3,7.9,7.7,8.1,6.4,6.0,6.9,9.4
Annual,Rural areas,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",16.5 e,14.4 e,13.8 e,11.8 e,11.8 e,10.8,10.3,9.6,:,:
Annual,Rural areas,Percentage,Euro area - 18 countries (2014),16.5 e,14.1 e,13.4 e,11.4 e,11.5 e,10.6,10.1,:,:,:
Annual,Rural areas,Percentage,Euro area - 19 countries  (2015-2022),16.5 e,14.4 e,13.8 e,11.8 e,11.8 e,10.8,10.3,9.6,:,:
Annual,Rural areas,Percentage,Euro area – 20 countries (from 2023),16.7,14.4,13.6,11.7,11.6,10.8,10.3,9.6,10.2,10.7
Annual,Rural areas,Percentage,Estonia,10.2,8.4,7.3,10.4,10.0,9.1,7.4,4.4,6.3,5.6
Annual,Rural areas,Percentage,Greece,42.9,40.8,38.5,38.7,37.1,34.3,32.8,33.1,31.4,29.0
Annual,Rural areas,Percentage,Spain,20.9,16.5,17.9,13.7,16.5,13.6,14.9,11.2,12.4,13.7
Annual,Rural areas,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",21.6 e,18.8 e,17.6 e,15.6 e,14.8 e,14.1,:,:,:,:
Annual,Rural areas,Percentage,European Union - 27 countries (2007-2013),21.5 e,18.7 e,17.6 e,15.6 e,14.8 e,14.1,:,:,:,:
Annual,Rural areas,Percentage,European Union - 27 countries (from 2020),22.3 e,19.3 e,18.2 e,16.2 e,15.3 e,14.1,13.5,12.5,13.0,12.8
Annual,Rural areas,Percentage,European Union - 28 countries (2013-2020),21.6 e,18.8 e,17.6 e,15.6 e,14.8 e,14.1,:,:,:,:
Annual,Rural areas,Percentage,Finland,4.3,3.5,4.8,5.6,4.6,4.2,4.7,3.1,4.3,4.9
Annual,Rural areas,Percentage,France,12.0,10.7,10.8,10.3,10.4,10.5,8.4 b,8.7,10.2 b,10.4
Annual,Rural areas,Percentage,Croatia,26.5,22.4,18.3,16.4,13.8,11.0,10.4,9.6,9.7,8.1
Annual,Rural areas,Percentage,Hungary,45.9,41.0,37.2,31.0,26.4,26.1,24.7,23.4,21.3,23.6
Annual,Rural areas,Percentage,Ireland,19.7,19.4,14.7,12.1,11.0,11.8 b,11.1 b,9.1,11.4,10.6
Annual,Rural areas,Percentage,Iceland,4.2,3.2,3.2,3.6,1.5,2.5,:,:,:,:
Annual,Rural areas,Percentage,Italy,21.8,18.0 b,16.4,10.9,11.2,11.2,9.8,9.8,7.9,8.2
Annual,Rural areas,Percentage,Lithuania,33.4,31.4,33.1,30.7,28.5,23.4,20.0,16.9,15.5,20.3
Annual,Rural areas,Percentage,Luxembourg,5.3,4.4,3.4 b,2.5,3.2,2.5,3.8 b,3.6 b,3.1 b,4.4
Annual,Rural areas,Percentage,Latvia,37.3,31.1,27.6,28.8,22.8,16.2,14.1,11.7,15.8,14.7
Annual,Rural areas,Percentage,North Macedonia,:,:,43.4,41.2,43.9,44.7,37.0,:,:,:
Annual,Rural areas,Percentage,Malta,0.0 u,0.0 u,52.6 u,: u,: u,: u,: u,5.1,2.0,14.3
