Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Females,From 15 to 24 years,Algeria,:,89.2,:,91.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Females,From 15 to 24 years,Egypt,82.4 d,83.2 d,84.3 d,85.5 d,87.0 d,86.8 d,87.8 d,89.6 d,90.3 d,90.8 d,92.2 d,86.7 d,86.8 d,:,:,:,:,:
Annual,Rate,Females,From 15 to 24 years,Israel,99.5,99.4,99.3,99.6,99.5,99.5,99.5,99.7 b,99.6,99.6,99.8,99.8,99.9,99.8,99.9,99.8,99.8,:
Annual,Rate,Females,From 15 to 24 years,Jordan,99.0,99.3,98.1,99.0,99.1,99.1,:,99.2,99.2,:,:,:,91.7,92.9,:,:,:,:
Annual,Rate,Females,From 15 to 24 years,Lebanon,:,:,99.1 e,:,:,:,:,96.5,:,:,:,:,:,95.5 e,:,:,:,97.6 e
Annual,Rate,Females,From 15 to 24 years,Morocco,64.2,65.0,67.5,69.9,72.1,75.0,77.2,79.0,81.8,85.2,85.0,85.6,86.7,88.6,90.5,92.2,92.8,95.4
Annual,Rate,Females,From 15 to 24 years,Palestine*,99.0,99.1,98.9,99.0,99.2,99.3,99.4,99.2,99.3,99.3,99.3,99.3,99.4,99.4,99.3,99.2,99.4,99.3
Annual,Rate,Females,From 15 to 24 years,Tunisia,94.0,94.9,:,:,95.8,96.2,96.4,95.7,96.5,:,:,:,:,:,:,:,:,:
Annual,Rate,Females,15 years or over,Algeria,:,64.1,:,67.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Females,15 years or over,Egypt,58.1 d,57.3 d,56.4 d,56.7 d,58.1 d,61.4 d,61.5 d,62.8 d,61.5 d,61.9 d,69.1 d,65.4 d,65.4 d,:,:,:,:,:
Annual,Rate,Females,15 years or over,Israel,96.2,96.3,96.5,97.0,96.7,96.6,96.9,96.6 b,96.7,97.1,97.5,97.6,97.6,97.8,98.0,98.2,98.2,:
Annual,Rate,Females,15 years or over,Jordan,87.0,86.3,88.4,88.6,89.2,89.7,90.1,90.0,89.9,:,:,:,90.7,91.4,:,:,:,:
Annual,Rate,Females,15 years or over,Lebanon,:,:,86.0 e,:,:,:,:,87.6,:,:,:,:,:,89.5 e,:,:,:,91.2 e
