Time frequency,Size of accommodation by number of bedplaces,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,10 bedplaces or more,Number,Austria,1362895.0,1579113.0,1016526.0,645200.0,1733411.0,2191398.0
Annual,10 bedplaces or more,Number,Belgium,651997.0,856029.0,604761.0,954657.0,1599466.0,1906197.0
Annual,10 bedplaces or more,Number,Bulgaria,122844.0,138589.0,76532.0,92717.0,161425.0,197655.0
Annual,10 bedplaces or more,Number,Switzerland,352980.0,424823.0,396836.0,400807.0,503097.0,545440.0
Annual,10 bedplaces or more,Number,Cyprus,277571.0,365578.0,123537.0,204003.0,445439.0,615530.0
Annual,10 bedplaces or more,Number,Czechia,891189.0,1050591.0,480411.0,368793.0,901249.0,1246484.0
Annual,10 bedplaces or more,Number,Germany,1218421.0,1697466.0,1278641.0,1121197.0,1934621.0,2417820.0
Annual,10 bedplaces or more,Number,Denmark,277910.0,336348.0,286984.0,272990.0,391841.0,560290.0
Annual,10 bedplaces or more,Number,Estonia,69667.0,86506.0,54257.0,61782.0,95239.0,104672.0
Annual,10 bedplaces or more,Number,Greece,1414976.0,1728465.0,641585.0,1209116.0,2389200.0,2856614.0
Annual,10 bedplaces or more,Number,Spain,6957382.0,8434588.0,3729560.0,5572469.0,9430215.0,11123997.0
Annual,10 bedplaces or more,Number,European Union - 27 countries (from 2020),33444733.0,40891003.0,23709939.0,30252539.0,48540219.0,57438146.0
Annual,10 bedplaces or more,Number,Finland,169607.0,211350.0,157950.0,195955.0,250106.0,313011.0
Annual,10 bedplaces or more,Number,France,9059923.0,10856851.0,8729015.0,10747199.0,14122705.0,15729093.0
Annual,10 bedplaces or more,Number,Croatia,1322832.0,1730463.0,889788.0,1501246.0,2259047.0,2756104.0
Annual,10 bedplaces or more,Number,Hungary,650903.0,781687.0,285014.0,322291.0,685575.0,834110.0
Annual,10 bedplaces or more,Number,Ireland,513713.0,639178.0,345297.0,471453.0,589588.0,657795.0
Annual,10 bedplaces or more,Number,Iceland,146027.0,128895.0,29537.0,45315.0,95993.0,132134.0
Annual,10 bedplaces or more,Number,Italy,4069223.0,4818113.0,1903630.0,2747113.0,5023756.0,5926176.0
Annual,10 bedplaces or more,Number,Liechtenstein,755.0,533.0,:,0.0,0.0,:
Annual,10 bedplaces or more,Number,Lithuania,27945.0,36083.0,25666.0,29016.0,43985.0,60794.0
Annual,10 bedplaces or more,Number,Luxembourg,4527.0,5862.0,3152.0,6193.0,6047.0,7929.0
Annual,10 bedplaces or more,Number,Latvia,60789.0,89003.0,45628.0,45773.0,85442.0,110000.0
Annual,10 bedplaces or more,Number,Malta,233977.0,278285.0,99661.0,130658.0,296419.0,409539.0
Annual,10 bedplaces or more,Number,Netherlands,376215.0,485616.0,353118.0,415996.0,560984.0,676475.0
Annual,10 bedplaces or more,Number,Norway,287837.0,407470.0,343938.0,385356.0,555547.0,738343.0
Annual,10 bedplaces or more,Number,Poland,628260.0,906664.0,696400.0,806106.0,1405399.0,1823507.0
Annual,10 bedplaces or more,Number,Portugal,2386352.0,2821461.0,1245845.0,1535579.0,2910949.0,3201895.0
Annual,10 bedplaces or more,Number,Romania,213021.0,297244.0,168898.0,274637.0,399613.0,527584.0
Annual,10 bedplaces or more,Number,Sweden,218522.0,312035.0,253335.0,357747.0,450231.0,602155.0
Annual,10 bedplaces or more,Number,Slovenia,102920.0,122602.0,41442.0,56881.0,130294.0,177719.0
Annual,10 bedplaces or more,Number,Slovakia,161152.0,225233.0,173306.0,105772.0,237973.0,403603.0
Annual,Less than 10 bedplaces,Number,Austria,12011157.0,13992868.0,8126358.0,6161082.0,14512618.0,18712515.0
Annual,Less than 10 bedplaces,Number,Belgium,4899043.0,6131233.0,3862611.0,5565304.0,7884166.0,9168127.0
Annual,Less than 10 bedplaces,Number,Bulgaria,2719790.0,2908533.0,1552293.0,2114914.0,3069061.0,3684632.0
Annual,Less than 10 bedplaces,Number,Switzerland,5035643.0,5958573.0,4843245.0,5932995.0,7286063.0,8341193.0
Annual,Less than 10 bedplaces,Number,Cyprus,3404804.0,3875693.0,1228533.0,2480613.0,3690303.0,4739524.0
Annual,Less than 10 bedplaces,Number,Czechia,7508316.0,8349962.0,3158688.0,2662906.0,5804331.0,7630027.0
Annual,Less than 10 bedplaces,Number,Germany,28757175.0,35538360.0,28304514.0,26476684.0,40547034.0,46860621.0
Annual,Less than 10 bedplaces,Number,Denmark,4052787.0,4344724.0,2666546.0,2947849.0,4384691.0,5557710.0
Annual,Less than 10 bedplaces,Number,Estonia,1210634.0,1436832.0,751834.0,785734.0,1190962.0,1377555.0
Annual,Less than 10 bedplaces,Number,Greece,18925385.0,22573684.0,8294708.0,16368585.0,29232297.0,35589704.0
Annual,Less than 10 bedplaces,Number,Spain,87431370.0,97167395.0,40477349.0,63699822.0,108523806.0,129932228.0
Annual,Less than 10 bedplaces,Number,European Union - 27 countries (from 2020),408469966.0,471047534.0,247988116.0,333665113.0,548006677.0,661546577.0
