Time frequency,Activity and employment status,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Employed persons,Percentage of households,Austria,:,55.9 i,57 i
Annual,Employed persons,Percentage of households,Belgium,:,54.5 i,55.4 i
Annual,Employed persons,Percentage of households,Bulgaria,:,52.7 i,55.4 i
Annual,Employed persons,Percentage of households,Cyprus,:,62.9 i,66.2 i
Annual,Employed persons,Percentage of households,Czechia,:,59.2 i,62.7 i
Annual,Employed persons,Percentage of households,Germany,:,58.3 i,58.7 i
Annual,Employed persons,Percentage of households,Denmark,:,56.4 i,54.2 i
Annual,Employed persons,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,56.3 i,56.1 i
Annual,Employed persons,Percentage of households,Euro area – 20 countries (from 2023),:,56.1 i,56 i
Annual,Employed persons,Percentage of households,Estonia,:,66.2 i,63 i
Annual,Employed persons,Percentage of households,Greece,:,47.4 i,49.5 i
Annual,Employed persons,Percentage of households,Spain,:,54.7 i,54.8 i
Annual,Employed persons,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,56.5 i,56.6 i
Annual,Employed persons,Percentage of households,European Union - 27 countries (from 2020),:,57.4 i,56.6 i
Annual,Employed persons,Percentage of households,Finland,:,53.4 i,:
Annual,Employed persons,Percentage of households,France,:,54.9 i,52.2 i
Annual,Employed persons,Percentage of households,Croatia,:,46.8 i,49.5 i
Annual,Employed persons,Percentage of households,Hungary,:,56.2 i,60.2 i
Annual,Employed persons,Percentage of households,Ireland,:,59.5 i,:
Annual,Employed persons,Percentage of households,Lithuania,:,58.3 i,62.1 i
Annual,Employed persons,Percentage of households,Luxembourg,:,61.8 i,65.2 i
Annual,Employed persons,Percentage of households,Latvia,:,59 i,60.4 i
Annual,Employed persons,Percentage of households,Malta,:,57.3 i,59.8 i
Annual,Employed persons,Percentage of households,Netherlands,:,59.1 i,58.5 i
Annual,Employed persons,Percentage of households,Poland,:,57.9 i,58.6 i
Annual,Employed persons,Percentage of households,Portugal,:,54.9 i,:
Annual,Employed persons,Percentage of households,Romania,:,58.4 i,58.5 i
Annual,Employed persons,Percentage of households,Sweden,:,58.4 i,:
Annual,Employed persons,Percentage of households,Slovenia,:,54.6 i,56.1 i
Annual,Employed persons,Percentage of households,Slovakia,:,61.1 i,62.4 i
Annual,Employed persons,Percentage of households,United Kingdom,:,62.8 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Austria,3.9,4.3 i,2.9 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Belgium,7.4,8.5 i,7.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Bulgaria,:,3.9 i,3.3 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Cyprus,3.6,3.9 i,3.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Czechia,3.7,3.2 i,3.1 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Germany,5.5,6 i,6.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Denmark,11.9,13.2 i,15.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,7.1 i,7.1 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Euro area – 20 countries (from 2023),:,7 i,7 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Estonia,5.7,4.3 i,5.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Greece,8.2,8.9 i,8.7 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Spain,11.3,10.9 i,10.3 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,7 i,6.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,European Union - 27 countries (from 2020),:,7.3 i,6.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Finland,10.1,9.9 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,France,5.1,3.6 i,4.9 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Croatia,2.5,2 i,1.9 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Hungary,6.8,5.2 i,4.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Ireland,19.0,16.2 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Italy,12.7,:,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Lithuania,5.4,5.9 i,4.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Luxembourg,8.0,7.3 i,7.3 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Latvia,4.8,4.1 i,4.9 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Malta,18.1,13.6 i,12.6 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Netherlands,:,17.3 i,13.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Poland,10.0,9.7 i,5.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Portugal,3.9,4.2 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Romania,1.9,2.7 i,2.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Sweden,9.2,9.1 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Slovenia,1.5,1.5 i,1.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,Slovakia,3.5,1.6 i,2.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of households,United Kingdom,9.3,9.2 i,:
Annual,Not employed persons,Percentage of households,Austria,:,44.1 i,43 i
Annual,Not employed persons,Percentage of households,Belgium,:,45.5 i,44.6 i
Annual,Not employed persons,Percentage of households,Bulgaria,:,47.3 i,44.6 i
Annual,Not employed persons,Percentage of households,Cyprus,:,37.1 i,33.8 i
Annual,Not employed persons,Percentage of households,Czechia,:,40.8 i,37.3 i
Annual,Not employed persons,Percentage of households,Germany,:,41.7 i,41.3 i
Annual,Not employed persons,Percentage of households,Denmark,:,43.6 i,45.8 i
Annual,Not employed persons,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,43.7 i,43.9 i
Annual,Not employed persons,Percentage of households,Euro area – 20 countries (from 2023),:,43.9 i,44 i
Annual,Not employed persons,Percentage of households,Estonia,:,33.8 i,37 i
Annual,Not employed persons,Percentage of households,Greece,:,52.6 i,50.5 i
Annual,Not employed persons,Percentage of households,Spain,:,45.3 i,45.2 i
Annual,Not employed persons,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,43.5 i,43.4 i
Annual,Not employed persons,Percentage of households,European Union - 27 countries (from 2020),:,42.6 i,43.4 i
Annual,Not employed persons,Percentage of households,Finland,:,46.6 i,:
Annual,Not employed persons,Percentage of households,France,:,45.1 i,47.8 i
Annual,Not employed persons,Percentage of households,Croatia,:,53.2 i,50.5 i
Annual,Not employed persons,Percentage of households,Hungary,:,43.8 i,39.8 i
Annual,Not employed persons,Percentage of households,Ireland,:,40.5 i,:
