Time frequency,National accounts indicator (ESA 2010),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Albania,505.0,519.1,520.2,557.3,577.9,587.3 p,650.2 p,692.9 p,704.5 p,767.3 p,830.4 p,817.5 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Austria,22658.5,22802.6,22985.6,23016.6,23599.4,23993.2,24434.5,24771.7,25000.4,25674.7,25983.6,26495.6
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,30411.6,31277.4,32148.8,33298.4,34731.7,35027.9 p,35109.9 p,35454.2 p,35612.9 p,36294.5 p,37294.7 p,37504.0 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,3445.3,3518.9,4066.3,3958.0,4119.1,4222.2,3994.7,4461.8,4712.2,5008.8 p,5211.4 p,5389.3 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,21174.5,21458.9,21656.7,23025.3,23049.6,23161.1,23757.2,24493.8,24955.9,25243.0,24721.4,25464.1
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Cyprus,1235.4,1259.8,1309.4,1344.2,1345.1,1427.6,1439.5,1455.7,1493.1,1512.1,1546.0,1591.3
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Czechia,13348.4,13507.5,13871.3,14121.7,14740.4,15500.9,15791.9,15713.7,15653.9,15729.5,16055.1,16190.7
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Germany,209069.0 p,215397.0 p,216798.0 p,216961.0 p,220660.0 p,220386.0 p,223465.0 p,228778.0 p,232522.0 p,232329.0 p,236979.0 p,238459.0 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Denmark,21434.9,21062.4,20642.4,20952.4,21286.2,21203.7,21446.5,21399.0,21365.1,21793.8,22243.1,22448.9
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",706377.4,719024.8,724161.8,735501.4,748821.8,756569.8,766194.1,779000.2,791587.5,796755.7,810383.1,819304.4
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Euro area - 19 countries  (2015-2022),706377.4,719024.8,724161.8,735501.4,748821.8,752701.6,762097.7,774723.7,787214.9,792278.3,805653.7,814311.4
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Euro area – 20 countries (from 2023),709905.2,722369.2,727581.1,739149.4,752684.4,756569.8,766194.1,779000.2,791587.5,796755.7,810383.1,819304.4
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Estonia,1641.9,1669.5,1724.5,1793.7,1788.9,1890.3,1939.7,1958.2,2029.7,2036.5,2079.2,2114.3
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Greece,10189.3,10173.8 p,10412.9 p,10351.1 p,10236.2 p,10887.0 p,10955.5 p,10646.6 p,11021.3 p,10691.5 p,10858.0 p,10963.4 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Spain,65927.0,67297.0 p,67810.0 p,69508.0 p,71196.0 p,71849.0 p,73218.0 p,74332.0 p,74922.0 p,76112.0 p,76922.0 p,78845.0 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),European Union - 27 countries (from 2020),831250.4,844940.2,851597.1,864613.5,879320.7,888244.3,901504.5,916200.3,932837.5,942295.8,960450.1,971820.9
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Finland,15652.0,15873.0,15426.0,16566.0,16453.0,17182.0 b,17850.0,17141.0,18061.0,17965.0,18184.0,17892.0
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),France,158928.7,160657.3,160607.7,164919.1,167001.0,167023.6,167609.0,170359.3,174011.7,174777.7,176698.3,178572.9
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Croatia,3544.4,3361.9,3419.8,3530.3,3911.7,3899.5 p,4070.0 p,4216.6 p,4385.6 p,4471.6 p,4703.2 p,4970.8 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Hungary,8295.8,9788.6,8170.2,8291.3,8676.9,9730.8 p,10371.8 p,10174.5 p,10041.1 p,10029.6 p,10439.5 p,10840.7 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Ireland,13204.3,13917.8,14080.4,14428.3,15020.8,15313.1,15572.4,15967.6,16400.4,16127.8,16639.5,16825.8
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Italy,91887.2,92536.7,93546.6,94107.1,94868.7,94733.8,95298.6,95991.9,96598.7,97241.1,98780.0,99337.5
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Lithuania,2604.0,2693.6,2788.1,2874.7,3045.6,3073.6,3175.6,3255.3,3387.9,3439.8,3598.9,3647.2
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Luxembourg,3234.1,3315.9,3382.5,3436.3,3515.6,3573.4,3664.1,3785.7,4022.6,3958.6 p,4089.7 p,4167.7 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Latvia,1835.8,1872.2,1862.9,1921.1,1941.7,1959.2,1983.9,2029.8,2055.5,2096.6,2133.0,2141.3
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Montenegro,232.0,263.3,257.1,264.7,273.7,289.8,302.7,325.8,326.7,325.0,326.8,339.1 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),North Macedonia,470.3,486.0,481.2,498.8,521.6,512.8 p,524.4 p,527.0 p,611.8 p,615.7 e,631.9 e,641.1 e
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Malta,784.9,779.8,803.9,774.9,811.1,834.4,834.3,845.4,913.2,886.7,922.7,975.6
