Time frequency,Unit of measure,Rail network segment (2005),Train category\Time,2005.0
Annual,Number,Draugyste/Klaipeda - Siauliai,Goods trains,4491.0
Annual,Number,Draugyste/Klaipeda - Siauliai,Passenger trains,1750.0
Annual,Number,Siauliai - Radviliskis,Goods trains,7114.0
Annual,Number,Siauliai - Radviliskis,Passenger trains,4048.0
Annual,Number,Radviliskis - Gaiziunai,Goods trains,5498.0
Annual,Number,Radviliskis - Gaiziunai,Passenger trains,1684.0
Annual,Number,Gaiziunai - Kaisiadorys,Goods trains,4279.0
Annual,Number,Gaiziunai - Kaisiadorys,Passenger trains,1225.0
Annual,Number,Kaisiadorys - Lentvaris,Goods trains,10053.0
Annual,Number,Kaisiadorys - Lentvaris,Passenger trains,7482.0
Annual,Number,Lentvaris - Vaidotai,Goods trains,8424.0
Annual,Number,Lentvaris - Vaidotai,Passenger trains,1.0
Annual,Number,Lentvaris - Paneriai,Goods trains,1881.0
Annual,Number,Lentvaris - Paneriai,Passenger trains,12292.0
Annual,Number,Paneriai - Vilnius,Goods trains,3276.0
Annual,Number,Paneriai - Vilnius,Passenger trains,13178.0
Annual,Number,Vilnius - N.Vilnia,Goods trains,2619.0
Annual,Number,Vilnius - N.Vilnia,Passenger trains,11387.0
Annual,Number,N.Vilnia - Kyviskes,Goods trains,1899.0
Annual,Number,N.Vilnia - Kyviskes,Passenger trains,4140.0
Annual,Number,Kyviskes - Kena-State Border,Goods trains,7781.0
Annual,Number,Kyviskes - Kena-State Border,Passenger trains,3408.0
Annual,Number,Paneriai - Vaidotai,Goods trains,5058.0
Annual,Number,Paneriai - Vaidotai,Passenger trains,980.0
Annual,Number,Vaidotai - Kyviskes,Goods trains,6064.0
Annual,Number,Vaidotai - Kyviskes,Passenger trains,140.0
Annual,Number,Kaisiadorys - Palemonas,Goods trains,6036.0
Annual,Number,Kaisiadorys - Palemonas,Passenger trains,6285.0
Annual,Number,Palemonas - Kaunas,Goods trains,960.0
Annual,Number,Palemonas - Kaunas,Passenger trains,5517.0
Annual,Number,Kaunas - Jiesia,Goods trains,442.0
Annual,Number,Kaunas - Jiesia,Passenger trains,3929.0
Annual,Number,Jiesia - Rokai-Palemonas,Goods trains,4561.0
Annual,Number,Jiesia - Rokai-Palemonas,Passenger trains,947.0
Annual,Number,Jiesia - Kazlu Ruda,Goods trains,6000.0
Annual,Number,Jiesia - Kazlu Ruda,Passenger trains,4898.0
Annual,Number,Kazlu Ruda - Kybartai-State Border,Goods trains,5415.0
Annual,Number,Kazlu Ruda - Kybartai-State Border,Passenger trains,3034.0
Annual,Number,State Border-Joniskis - Siauliai,Goods trains,1838.0
Annual,Number,State Border-Joniskis - Siauliai,Passenger trains,124.0
Annual,Number,Gaiziunai - Palemonas,Goods trains,861.0
Annual,Number,Gaiziunai - Palemonas,Passenger trains,416.0
Annual,Number,Kazlu Ruda - Sestokai,Goods trains,546.0
