Time frequency,Mode of accommodation,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Entire accommodation,Number,Austria,12852265.0,14919103.0,8878252.0,6596681.0,15870095.0,20433030.0
Annual,Entire accommodation,Number,Belgium,4935997.0,6231616.0,4164428.0,6184854.0,8949915.0,10511106.0
Annual,Entire accommodation,Number,Bulgaria,2777641.0,2984636.0,1596989.0,2173572.0,3179628.0,3830392.0
Annual,Entire accommodation,Number,Switzerland,4742744.0,5639688.0,4865722.0,5966428.0,7280982.0,8319634.0
Annual,Entire accommodation,Number,Cyprus,3612272.0,4170057.0,1328897.0,2646476.0,4085733.0,5294299.0
Annual,Entire accommodation,Number,Czechia,7873254.0,8883906.0,3476714.0,2903840.0,6459893.0,8585089.0
Annual,Entire accommodation,Number,Germany,26428746.0,33535237.0,27902403.0,26175542.0,40233722.0,46945026.0
Annual,Entire accommodation,Number,Denmark,3749696.0,4091381.0,2698805.0,2973591.0,4401492.0,5713014.0
Annual,Entire accommodation,Number,Estonia,1239321.0,1483873.0,785469.0,827164.0,1252788.0,1455788.0
Annual,Entire accommodation,Number,Greece,19973856.0,23934176.0,8813314.0,17369915.0,31268082.0,38067312.0
Annual,Entire accommodation,Number,Spain,88568614.0,99511327.0,42506008.0,67092564.0,114037722.0,136380623.0
Annual,Entire accommodation,Number,European Union - 27 countries (from 2020),415307316.0,483397689.0,260974038.0,351647848.0,576593097.0,696661311.0
Annual,Entire accommodation,Number,Finland,2310152.0,2753822.0,1920089.0,2330733.0,3237075.0,4210472.0
Annual,Entire accommodation,Number,France,80750217.0,94259034.0,71762856.0,95418669.0,132867939.0,154606669.0
Annual,Entire accommodation,Number,Croatia,22766254.0,25151457.0,10359518.0,19546943.0,30420877.0,34109880.0
Annual,Entire accommodation,Number,Hungary,7541784.0,8917830.0,3111864.0,3274768.0,7448477.0,9621553.0
Annual,Entire accommodation,Number,Ireland,5280405.0,5875790.0,2697201.0,3441648.0,4960168.0,5763026.0
Annual,Entire accommodation,Number,Iceland,2372402.0,1963159.0,501951.0,806790.0,1662553.0,2263562.0
Annual,Entire accommodation,Number,Italy,62500189.0,72383435.0,29269251.0,43443650.0,81388315.0,104070757.0
Annual,Entire accommodation,Number,Liechtenstein,11347.0,14195.0,10624.0,10976.0,15664.0,19103.0
Annual,Entire accommodation,Number,Lithuania,1252771.0,1527367.0,964918.0,1108653.0,1651354.0,2023472.0
Annual,Entire accommodation,Number,Luxembourg,160899.0,212714.0,153004.0,187850.0,268170.0,369069.0
