Time frequency,Working time flexibility,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Possibility to adapt within limits or externally determined,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.1
Annual,Possibility to adapt within limits or externally determined,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,20.3
Annual,Possibility to adapt within limits or externally determined,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,18.3
Annual,Possibility to adapt within limits or externally determined,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,31.1
Annual,Possibility to adapt within limits or externally determined,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,28.1
Annual,Possibility to adapt within limits or externally determined,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,26.7
Annual,Possibility to adapt within limits or externally determined,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,28.6
Annual,Possibility to adapt within limits or externally determined,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,24.7
Annual,Possibility to adapt within limits or externally determined,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,23.0
Annual,Entirely self-determined,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,74.9
Annual,Entirely self-determined,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,79.7
Annual,Entirely self-determined,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,81.7
Annual,Entirely self-determined,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,68.9
Annual,Entirely self-determined,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,71.9
Annual,Entirely self-determined,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,73.3
Annual,Entirely self-determined,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,71.4
Annual,Entirely self-determined,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,75.3
Annual,Entirely self-determined,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,77.0
