Time frequency,Unit of measure,Meat product,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Tonne,Bovine meat,Algeria,:,:,:,:,:,:,:,:,:,1457200.0,1550400.0,1642700.0,1662900.0,:
Annual,Tonne,Bovine meat,Egypt,706397.0,726902.0,762801.0,804901.0,858585.0,855653.0,850285.0,849512.0,824470.0,801000.0,837000.0,826000.0,755000.0,:
Annual,Tonne,Bovine meat,Israel,89900.0,108300.0,105200.0,116554.0,104018.0,108128.0,116695.0,116927.0,132200.0,120017.0,132211.5,126488.0,133638.0,117230.0
Annual,Tonne,Bovine meat,Jordan,7530.0,14820.0,13780.0,19130.0,13325.0,12299.0,17761.0,19584.0,23547.0,19497.0,27452.0,29552.0,30769.9,:
Annual,Tonne,Bovine meat,Lebanon,16500.0,15100.0,14900.0,18800.0,16200.0,:,:,:,:,:,:,6900.0 e,:,:
Annual,Tonne,Bovine meat,Morocco,174000.0,176000.0,170000.0,180000.0,186000.0,191000.0,203000.0,216000.0,239580.8,259078.0,245500.0,313341.6 e,260700.0,260701.0 p
Annual,Tonne,Bovine meat,Palestine*,5228.0 e,5437.0 e,4886.0 e,5065.0 e,:,:,:,:,:,:,:,:,:,:
Annual,Tonne,Bovine meat,Tunisia,45800.0,48800.0,52400.0,54000.0,51900.0,54400.0,54300.0,54700.0,56000.0,58000.0 e,58300.0,:,:,:
Annual,Tonne,Meat of swine,Egypt,2286.0,2500.0,2500.0,2000.0,538.0,:,:,:,:,:,:,:,:,:
Annual,Tonne,Meat of swine,Israel,18700.0,17500.0,18901.0,18200.0,19649.0,18868.0,19246.0,19396.0,16300.0,15700.0,15825.0,16099.0,16276.0,14650.0
Annual,Tonne,Meat of swine,Lebanon,1100.0,1000.0,900.0,900.0,500.0,:,:,:,:,:,:,:,:,:
Annual,Tonne,Sheepmeat,Algeria,:,:,:,:,:,:,:,:,:,2906500.0,3179900.0,3218900.0,3251100.0,:
Annual,Tonne,Sheepmeat,Egypt,83400.0,85000.0,86000.0,86197.0,85179.0,75122.0,73637.0,74529.0,75939.0,75376.0,74305.0,76000.0,62000.0,:
Annual,Tonne,Sheepmeat,Israel,29000.0,30000.0,30000.0,28719.0,28719.0,29616.0,32505.0,37126.0,38600.0,39963.0,36446.0,34026.0,36100.0,35490.0
Annual,Tonne,Sheepmeat,Jordan,13300.0,12610.0,19545.0,15445.0,20327.0,13695.0,12061.0,17613.0,11215.0,15063.0,19570.0,18397.0,15557.8,:
Annual,Tonne,Sheepmeat,Lebanon,5400.0,3500.0,6600.0,7450.0,8170.0,:,:,:,:,:,:,7500.0 e,:,:
Annual,Tonne,Sheepmeat,Morocco,120000.0,123000.0,120000.0,121000.0,136000.0,135000.0,142000.0,138000.0,125358.8,120359.0,157000.0,200365.1 e,175230.0,179982.0 p
Annual,Tonne,Sheepmeat,Palestine*,22882.0 e,22615.0 e,21234.0 e,19627.0 e,:,:,:,:,:,:,:,:,:,:
Annual,Tonne,Sheepmeat,Tunisia,46400.0,48400.0,49500.0,51000.0,49100.0,50000.0,50000.0,47700.0,48700.0,50100.0 e,50200.0,:,:,:
Annual,Tonne,Goat meat,Egypt,54700.0,55000.0,60801.0,62000.0,59257.0,52657.0,53518.0,54499.0,51798.0,53000.0,51000.0,53000.0,33000.0,:
Annual,Tonne,Goat meat,Israel,3350.0,3555.0,3650.0,3702.0,3753.0,3886.0,4543.0,4093.0,4100.0,4449.0,4179.0,3909.0,4118.0,3350.0
Annual,Tonne,Goat meat,Jordan,2017.0,1535.0,3075.0,4210.0,4957.0,3473.0,5100.0,7159.0,7727.0,6040.0,15848.0,13940.0,9504.8,:
Annual,Tonne,Goat meat,Lebanon,6600.0,5200.0,8200.0,6670.0,6050.0,:,:,:,:,:,:,6400.0 e,:,:
Annual,Tonne,Goat meat,Morocco,22000.0,22400.0,22000.0,22000.0,23000.0,23000.0,24000.0,22000.0,19800.0,26520.0,28400.0,36293.2 e,29500.0,30300.0 p
Annual,Tonne,Goat meat,Palestine*,7691.0 e,8021.0 e,7118.0 e,6673.0 e,:,:,:,:,:,:,:,:,:,:
Annual,Tonne,Goat meat,Tunisia,9200.0,9600.0,9600.0,10000.0,9800.0,9400.0,9400.0,9000.0,9200.0,9600.0 e,9200.0,:,:,:
Annual,Tonne,Poultry meat,Egypt,924902.0,695301.0,879000.0,834000.0,878000.0,949300.0,1000562.0,1036991.0,1187107.0,1287172.0,1293140.0,1007000.0,1303000.0,:
Annual,Tonne,Poultry meat,Israel,486400.0,508460.0,524337.0,537000.0,528000.0,540000.0,570000.0,574300.0,516800.0,549267.0,597766.6,635359.0,658689.0,650400.0
Annual,Tonne,Poultry meat,Lebanon,130630.0,140230.0,143700.0,135910.0,130730.0,:,:,:,:,:,:,:,:,:
Annual,Tonne,Poultry meat,Morocco,388000.0,370000.0,420000.0,490000.0,490000.0,560000.0,590000.0,560000.0,545000.0,584000.0,660000.0,610000.0 p,690000.0,720000.0 p
Annual,Tonne,Poultry meat,Palestine*,69703.0,54416.0,45859.0,47706.0,:,:,:,:,87680.0,:,:,:,:,:
Annual,Tonne,Poultry meat,Tunisia,132000.0,106000.0,134700.0,138900.0,143600.0,155100.0,150000.0,186700.0,207000.0,211800.0 e,219600.0,:,:,:
Annual,Tonne,Broiler,Egypt,72501.0,42800.0,29502.0,37199.0,33886.0,48782.0,:,32122.0,44253.0,45000.0,43000.0,40000.0,47000.0,:
Annual,Tonne,Broiler,Israel,370000.0,402460.0,420337.0,440000.0,436000.0,450000.0,450000.0,482300.0,443200.0,481966.6,498772.1,536210.0,565600.0,533770.0
Annual,Tonne,Broiler,Jordan,132638.0,115815.0,133821.0,140459.0,152814.0,187472.0,190483.0,190262.0,182264.0,192130.0,181831.0,216069.0,209304.5,:
Annual,Tonne,Broiler,Lebanon,122400.0,132100.0,135200.0,127500.0,122400.0,:,:,:,:,:,:,125200.0 e,:,:
Annual,Tonne,Broiler,Morocco,350000.0,340000.0,380000.0,440000.0,430000.0,490000.0,510000.0,490000.0,470000.0,506000.0,570000.0,520000.0 p,600000.0,620000.0 p
Annual,Tonne,Broiler,Palestine*,69090.0 e,53606.0 e,45187.0 e,47060.0 e,:,:,:,:,:,:,:,:,:,:
