Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,88.4,82.0,67.3
Annual,Percentage,From 15 to 24 years,Females,Belgium,72.4,67.0,63.1
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,65.9,52.2,53.2 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,82.2 u,52.7 u,60.0
Annual,Percentage,From 15 to 24 years,Females,Czechia,70.7,69.9 u,72.0 u
Annual,Percentage,From 15 to 24 years,Females,Germany,67.9,70.2,74.3
Annual,Percentage,From 15 to 24 years,Females,Denmark,63.3,74.1,83.3
Annual,Percentage,From 15 to 24 years,Females,Estonia,82.9 u,83.4 u,88.7 u
Annual,Percentage,From 15 to 24 years,Females,Greece,45.9,62.3 u,59.2 u
Annual,Percentage,From 15 to 24 years,Females,Spain,57.3,65.9,59.5
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),66.4,68.5,71.3
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),66.8,69.3,73.9
Annual,Percentage,From 15 to 24 years,Females,Finland,86.0,92.1,90.0 u
Annual,Percentage,From 15 to 24 years,Females,France,70.9,50.8,79.6
Annual,Percentage,From 15 to 24 years,Females,Croatia,60.4,74.8 u,86.1 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,58.5 u,63.3 u,35.4 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,63.1,84.8,73.9
Annual,Percentage,From 15 to 24 years,Females,Italy,61.3,66.2,63.7 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,66.7,64.8 u,70.2
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,95.8 u,79.0,97.6 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,77.9,85.2 u,66.0
Annual,Percentage,From 15 to 24 years,Females,Malta,76.4,85.2,93.1
Annual,Percentage,From 15 to 24 years,Females,Netherlands,62.5 u,73.6,76.9
Annual,Percentage,From 15 to 24 years,Females,Poland,57.0,62.6,61.0
Annual,Percentage,From 15 to 24 years,Females,Portugal,71.5,72.4 u,55.6 u
Annual,Percentage,From 15 to 24 years,Females,Romania,78.6,91.8 u,67.3 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,83.1 u,86.7 u,90.0
Annual,Percentage,From 15 to 24 years,Females,Slovenia,78.4 u,68.7,86.5 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,61.5,90.4 u,62.3 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,68.4,72.4,84.0
Annual,Percentage,From 15 to 24 years,Males,Austria,74.6,93.9,72.8
Annual,Percentage,From 15 to 24 years,Males,Belgium,66.9,74.9,75.3
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,59.8,69.7 u,63.4
Annual,Percentage,From 15 to 24 years,Males,Cyprus,54.7 u,81.4 u,52.9
Annual,Percentage,From 15 to 24 years,Males,Czechia,83.6,69.8 u,55.6 u
Annual,Percentage,From 15 to 24 years,Males,Germany,72.4,79.9,77.3
Annual,Percentage,From 15 to 24 years,Males,Denmark,84.9,80.2,80.2
Annual,Percentage,From 15 to 24 years,Males,Estonia,84.8,92.0 u,75.3 u
Annual,Percentage,From 15 to 24 years,Males,Greece,80.5,50.6,63.5 u
Annual,Percentage,From 15 to 24 years,Males,Spain,62.5,66.1,83.1
Annual,Percentage,From 15 to 24 years,Males,European Union - 27 countries (from 2020),71.4,72.5,72.4
Annual,Percentage,From 15 to 24 years,Males,European Union - 28 countries (2013-2020),69.0,72.8,73.9
Annual,Percentage,From 15 to 24 years,Males,Finland,78.5,85.2,74.5 u
Annual,Percentage,From 15 to 24 years,Males,France,71.5,59.7,79.9
Annual,Percentage,From 15 to 24 years,Males,Croatia,82.0,84.6,68.9 u
Annual,Percentage,From 15 to 24 years,Males,Hungary,66.5,63.2 u,57.0 u
Annual,Percentage,From 15 to 24 years,Males,Ireland,74.4,68.4,84.4
Annual,Percentage,From 15 to 24 years,Males,Italy,71.6,71.7,43.9 u
Annual,Percentage,From 15 to 24 years,Males,Lithuania,69.4,75.9 u,62.9 u
Annual,Percentage,From 15 to 24 years,Males,Luxembourg,79.4 u,73.5,85.8 u
Annual,Percentage,From 15 to 24 years,Males,Latvia,63.4,84.4,57.3 u
Annual,Percentage,From 15 to 24 years,Males,Malta,81.6,78.5,85.2
Annual,Percentage,From 15 to 24 years,Males,Netherlands,74.3,68.6,70.9
Annual,Percentage,From 15 to 24 years,Males,Poland,71.9,80.0,71.8
Annual,Percentage,From 15 to 24 years,Males,Portugal,70.8,70.6 u,51.2 u
Annual,Percentage,From 15 to 24 years,Males,Romania,75.3,69.0 u,62.5 u
Annual,Percentage,From 15 to 24 years,Males,Sweden,89.3 u,73.3 u,87.2
Annual,Percentage,From 15 to 24 years,Males,Slovenia,78.4,87.3,81.4
Annual,Percentage,From 15 to 24 years,Males,Slovakia,77.1 u,45.5 u,62.9 u
Annual,Percentage,From 15 to 24 years,Males,United Kingdom,53.9,74.4,79.5
Annual,Percentage,From 15 to 24 years,Total,Austria,80.8,88.2,70.1
Annual,Percentage,From 15 to 24 years,Total,Belgium,69.6,71.3,69.6
Annual,Percentage,From 15 to 24 years,Total,Bulgaria,62.0,62.6,59.3
Annual,Percentage,From 15 to 24 years,Total,Cyprus,65.6,66.5,56.9
Annual,Percentage,From 15 to 24 years,Total,Czechia,78.5,69.9,63.5
Annual,Percentage,From 15 to 24 years,Total,Germany,70.4,75.3,75.9
Annual,Percentage,From 15 to 24 years,Total,Denmark,74.9,77.2,81.7
Annual,Percentage,From 15 to 24 years,Total,Estonia,84.0,87.8,81.8
Annual,Percentage,From 15 to 24 years,Total,Greece,63.3,55.2,61.6
Annual,Percentage,From 15 to 24 years,Total,Spain,60.5,66.0,72.1
Annual,Percentage,From 15 to 24 years,Total,European Union - 27 countries (from 2020),69.3,70.7,71.9
Annual,Percentage,From 15 to 24 years,Total,European Union - 28 countries (2013-2020),68.0,71.2,73.9
Annual,Percentage,From 15 to 24 years,Total,Finland,82.4,88.8,84.9
Annual,Percentage,From 15 to 24 years,Total,France,71.2,55.6,79.7
Annual,Percentage,From 15 to 24 years,Total,Croatia,73.5,81.0,76.0
Annual,Percentage,From 15 to 24 years,Total,Hungary,63.1,63.3,44.8
Annual,Percentage,From 15 to 24 years,Total,Ireland,69.4,77.2,79.5
Annual,Percentage,From 15 to 24 years,Total,Italy,68.0,69.6,52.8
Annual,Percentage,From 15 to 24 years,Total,Lithuania,68.2,70.4,66.4
Annual,Percentage,From 15 to 24 years,Total,Luxembourg,85.4 u,75.9,91.9
Annual,Percentage,From 15 to 24 years,Total,Latvia,69.5,84.8,61.5
Annual,Percentage,From 15 to 24 years,Total,Malta,79.1,81.5,89.0
Annual,Percentage,From 15 to 24 years,Total,Netherlands,69.3,71.1,73.7
Annual,Percentage,From 15 to 24 years,Total,Poland,65.7,72.7,67.2
Annual,Percentage,From 15 to 24 years,Total,Portugal,71.1,71.4,53.3
Annual,Percentage,From 15 to 24 years,Total,Romania,76.7,74.8,64.5
Annual,Percentage,From 15 to 24 years,Total,Sweden,85.3,80.0,88.7
Annual,Percentage,From 15 to 24 years,Total,Slovenia,78.4,79.7,83.6
Annual,Percentage,From 15 to 24 years,Total,Slovakia,70.3,63.4,62.6
Annual,Percentage,From 15 to 24 years,Total,United Kingdom,61.4,73.4,81.5
Annual,Percentage,From 15 to 64 years,Females,Austria,76.6,71.6,72.7
Annual,Percentage,From 15 to 64 years,Females,Belgium,74.1,71.3,76.6
Annual,Percentage,From 15 to 64 years,Females,Bulgaria,57.0,56.6,68.1
Annual,Percentage,From 15 to 64 years,Females,Cyprus,65.8,55.9,59.0
Annual,Percentage,From 15 to 64 years,Females,Czechia,70.4,69.8,66.8
Annual,Percentage,From 15 to 64 years,Females,Germany,62.1,67.1,66.7
Annual,Percentage,From 15 to 64 years,Females,Denmark,85.4,86.3,89.7
Annual,Percentage,From 15 to 64 years,Females,Estonia,78.6,81.5,83.4
Annual,Percentage,From 15 to 64 years,Females,Greece,54.5,51.6,47.4
Annual,Percentage,From 15 to 64 years,Females,Spain,59.7,61.1,67.3
Annual,Percentage,From 15 to 64 years,Females,European Union - 27 countries (from 2020),68.1,66.2,69.8
Annual,Percentage,From 15 to 64 years,Females,European Union - 28 countries (2013-2020),68.2,67.4,71.6
Annual,Percentage,From 15 to 64 years,Females,Finland,91.8,91.4,91.0
Annual,Percentage,From 15 to 64 years,Females,France,73.0,65.4,83.7
Annual,Percentage,From 15 to 64 years,Females,Croatia,70.7,65.5,73.3
Annual,Percentage,From 15 to 64 years,Females,Hungary,60.1,64.5,57.8
Annual,Percentage,From 15 to 64 years,Females,Ireland,73.9,79.0,78.3
Annual,Percentage,From 15 to 64 years,Females,Italy,70.8,61.8,57.1
Annual,Percentage,From 15 to 64 years,Females,Lithuania,59.2,62.0,63.0
Annual,Percentage,From 15 to 64 years,Females,Luxembourg,71.5,75.3,80.5
Annual,Percentage,From 15 to 64 years,Females,Latvia,67.6,71.2,58.1
Annual,Percentage,From 15 to 64 years,Females,Malta,79.4,81.8,87.4
Annual,Percentage,From 15 to 64 years,Females,Netherlands,81.5,75.5,80.5
Annual,Percentage,From 15 to 64 years,Females,Poland,64.5,62.5,65.3
Annual,Percentage,From 15 to 64 years,Females,Portugal,66.0,58.2,60.4
Annual,Percentage,From 15 to 64 years,Females,Romania,59.8,57.9,63.1
Annual,Percentage,From 15 to 64 years,Females,Sweden,90.7,91.4,92.3
Annual,Percentage,From 15 to 64 years,Females,Slovenia,85.9,79.4,86.4
Annual,Percentage,From 15 to 64 years,Females,Slovakia,69.2,68.1,65.6
Annual,Percentage,From 15 to 64 years,Females,United Kingdom,68.8,74.8,83.0
