Annual,Thousand tonnes,Lorries,Own account,Sweden,:,:,:,:,:,:,:,:,:,:,:,40.0,41.0,39.0,39.0,36.0,37.0,42.0,47.0,51.0,47.0,37.0,:,59.0,:
Annual,Thousand tonnes,Lorries,Total,Austria,:,38.0,:,51.0,48.0,43.0,50.0,:,:,:,:,:,:,:,:,:,:,:,72.0,74.0,80.0,53.0,56.0,65.0,62.0
Annual,Thousand tonnes,Lorries,Total,Bulgaria,:,:,:,:,:,:,:,:,0.0,2.0,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Lorries,Total,Switzerland,:,:,:,:,34.0,25.0,32.0,40.0,40.0,36.0,:,:,:,:,:,:,44.0,48.0,56.0,56.0,60.0,55.0,51.0,63 e,62 n
Annual,Thousand tonnes,Lorries,Total,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9189.0,10828.0,14061.0,17126.0,13902.0,12273.0,8238.0,3690.0
Annual,Thousand tonnes,Lorries,Total,Germany,:,:,:,:,726.0,537.0,507.0,528.0,470.0,484.0,563.0,649.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Lorries,Total,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,3867.0,5245.0,6953.0,7462.0,8577.0,1181.0,1912.0,224.0,822.0,3724.0,211.0,401.0,39.0
Annual,Thousand tonnes,Lorries,Total,Greece,:,:,:,:,:,102.0,74.0,52.0,50.0,68.0,70.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Lorries,Total,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,482989.0,487348.0,288303.0,147677.0,163520.0,144583.0,107289.0
Annual,Thousand tonnes,Lorries,Total,Finland,:,:,72.0,37.0,22.0,14.0,24.0,42.0,41.0,45.0,54.0,53.0,51.0,47.0,46.0,52.0,59.0,58.0,56.0,58.0,64.0,39.0,39.0,49.0,45.0
Annual,Thousand tonnes,Lorries,Total,France,503.0,519.0,499.0,417.0,370.0,289.0,326.0,371.0,384.0,354.0,439.0,498.0,560.0,591.0,541.0,492.0,516.0,571.0,590.0,613.0,625.0,473.0,:,:,:
Annual,Thousand tonnes,Lorries,Total,Croatia,:,:,:,:,:,:,:,4035.0,397.0,421.0,20.0,14.0,17.0,25.0,36.0,42.0,34.0,33.0,33.0,33.0,33.0,16.0,10.0,12.0,10.0
Annual,Thousand tonnes,Lorries,Total,Hungary,:,:,:,:,15.0,16.0,11.0,17.0,18.0,23.0,34.0,37.0,39.0,352.0,423.0,36.0,33.0,34.0,28.0,52.0,:,:,29.0,:,:
Annual,Thousand tonnes,Lorries,Total,Ireland,:,:,:,:,:,:,:,:,:,:,:,144928.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Lorries,Total,Iceland,:,:,:,:,:,2.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,2.0,2.0,7.0,6 e,8 e,:,:,:,:,:,:,:
Annual,Thousand tonnes,Lorries,Total,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,599.0,785.0,451.0,294.0,420.0,:,428.0,427.0,532.0,269.0,329.0,:,:
Annual,Thousand tonnes,Lorries,Total,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,208.0,277.0,366.0,453.0,516.0,7133.0,5145.0,246.0,254.0,241.0,:
Annual,Thousand tonnes,Lorries,Total,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17321.0,15645.0,1349.0,17026.0,7.0,8.0,9.0,:,:,:,:
Annual,Thousand tonnes,Lorries,Total,Latvia,:,:,:,:,:,:,:,:,53.0,117.0,15.0,22.0,133.0,138.0,159.0,192.0,215.0,295.0,37.0,3943.0,2021.0,581.0,744.0,1517.0,1774.0
Annual,Thousand tonnes,Lorries,Total,Malta,:,:,:,:,:,:,:,:,:,:,:,:,99.0,85.0,71.0,:,:,:,:,:,714.0,526.0,526.0,569.0,537.0
Annual,Thousand tonnes,Lorries,Total,Norway,:,27.0,35.0,28.0,28.0,32.0,:,60.0,60.0,:,:,:,:,:,:,:,65.0,78.0,85.0,93.0,84.0,55.0,54.0,70.0,76.0
Annual,Thousand tonnes,Lorries,Total,Poland,:,:,:,:,:,:,:,:,324.0,1855.0,195.0,209.0,2545.0,145.0,1969.0,2267.0,188.0,238.0,266.0,336.0,337.0,236.0,273.0,276.0,180.0
Annual,Thousand tonnes,Lorries,Total,Romania,:,:,:,:,1618.0,2165.0,2546.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Lorries,Total,Sweden,:,126.0,96.0,58.0,36.0,27.0,34.0,43.0,66.0,66.0,74.0,81.0,82.0,76.0,71.0,73.0,76.0,86.0,94.0,102.0,99.0,77.0,:,103.0,:
Annual,Thousand tonnes,Lorries,Total,Slovenia,:,:,:,:,:,:,:,:,:,78.0,98.0,141.0,116.0,94.0,88.0,:,:,12070.0,17929.0,20644.0,18008.0,7331.0,7415.0,9360.0,8616.0
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Bulgaria,:,:,:,:,83.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Germany,:,:,:,:,:,:,:,170.0,173.0,212.0,202.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Greece,:,:,:,:,13.0,15.0,10.0,8.0,9.0,10.0,9.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Finland,:,:,5.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,6.0,6.0,10.0,8.0,7.0,6.0,7.0,3.0,3.0,4.0,5.0
Annual,Thousand tonnes,Semi-trailers,Hire or reward,France,:,:,:,:,:,:,:,234.0,231.0,255.0,354.0,387.0,388.0,413.0,401.0,338.0,358.0,388.0,391.0,496.0,559.0,269.0,:,:,:
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Iceland,:,:,:,:,:,1.0,1.0,1.0,2.0,2.0,:,2.0,3.0,1.0,1.0,78.0,3 e,6 e,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,:,: m,: m,: m,: m,: m,:,:
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,11.0,12.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,22.0,31.0,34.0,51.0,48.0,18.0,19.0,24.0,34.0
Annual,Thousand tonnes,Semi-trailers,Hire or reward,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3 e
Annual,Thousand tonnes,Semi-trailers,Own account,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3191.0,4430.0,4028.0,4071.0,4538.0,2156.0,:,:
Annual,Thousand tonnes,Semi-trailers,Own account,Germany,:,:,:,:,:,:,:,175.0,162.0,166.0,276.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Own account,Greece,:,:,:,:,5.0,6.0,4.0,3.0,3.0,4.0,3.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Own account,Finland,:,:,1.0,1.0,1.0,3.0,10.0,14.0,5.0,6.0,9.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,8.0,4.0,12.0,30.0,26.0
Annual,Thousand tonnes,Semi-trailers,Own account,France,:,:,:,:,:,:,:,143.0,144.0,108.0,138.0,155.0,171.0,166.0,137.0,110.0,117.0,115.0,132.0,153.0,152.0,98.0,:,:,:
Annual,Thousand tonnes,Semi-trailers,Own account,Iceland,:,:,:,:,:,0.0,0.0,:,:,0.0,:,0.0,1.0,:,:,4.0,:,1 e,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Own account,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,:,: m,: m,: m,: m,: m,:,:
Annual,Thousand tonnes,Semi-trailers,Own account,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Own account,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand tonnes,Semi-trailers,Own account,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,445 e
Annual,Thousand tonnes,Semi-trailers,Total,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,72.0,92.0,94.0,41.0,47.0,83.0,77.0
Annual,Thousand tonnes,Semi-trailers,Total,Bulgaria,:,:,:,:,83.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Switzerland,:,:,:,:,7.0,6.0,8.0,9.0,9.0,10.0,:,:,:,:,:,:,21.0,23.0,24.0,27.0,34.0,21.0,21.0,27 e,22 e
Annual,Thousand tonnes,Semi-trailers,Total,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3191.0,4430.0,4028.0,4071.0,4538.0,2156.0,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Germany,:,:,:,:,474.0,320.0,300.0,373.0,368.0,408.0,584.0,636.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Greece,:,:,:,:,18.0,21.0,14.0,11.0,13.0,14.0,13.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,491889.0,537701.0,378458.0,123607.0,142884.0,197175.0,147532.0
