Time frequency,Information society indicator,Unit of measure,Individual type,Geopolitical entity (reporting)\Time,2015.0,2017.0,2019.0,2021.0,2022.0,2023.0,2024.0
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Albania,:,:,79.83,46.25,34.95,44.17,:
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Austria,15.8,10.44,17.26,28.81,23.33,21.72,23.16
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Bosnia and Herzegovina,:,:,9.77,13.26,:,21.49,21.18
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Belgium,11.79,11.17,11.61,16.69,19.45,14.08,18.61
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Bulgaria,17.17,14.13,17.73,25.66,26.49,27.01,28.93
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Switzerland,:,34.42 b,32.34,27.17,:,26.71,:
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Cyprus,6.19,11.45,18.87,8.31,15.32,10.54,32.64
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Czechia,9.42,7.19,18.06 b,14.04,13.04,14.78,15.59
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Germany,23.09,24.01,27.99,15.26 b,12.72,19.38,26.36
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Denmark,36.02,32.94,30.11,25.69,28.09,22.99,28.62
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Estonia,22.64,20.88,41.38,18.07,23.26,38.9,22.81
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Greece,17.36,11.75,17.43,22.91,26.94,31.09,37.33
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Spain,25.81,25.9,22.49,23.49,27.18,28.56,28.53
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",European Union - 27 countries (from 2020),18.84,19.68,20.98,23.52 b,23.27,23.91,26.06
Annual,Internet use: civic or political participation,Percentage of individuals,"Individuals, 16 to 29 years old",Finland,24.23,19.65,23.04,31.79,28.04,26.58,23.89
