Time frequency,Age class,Health indicator,Unit of measure,Sex,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Austria,3660.3,3637.1,3668.4,3577.7,3515.2,3354.9,3355.1,3264.9,3225.0,3210.2,2698.8,2833.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Belgium,:,1974.8,1968.5,1948.9,1934.2,:,:,1909.5,1886.1,1900.0,1586.0,1705.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Bulgaria,3810.8,3971.4,4016.4,4316.5,4444.6,4423.0,4548.1,4648.5,4634.0,4697.4,3618.0,3343.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Switzerland,1852.2,1861.0,1820.0,1823.1,1875.3,1836.9,1879.5,1846.9,1828.7,1856.2,1712.1,1771.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Cyprus,802.6,461.4,449.0,683.7,889.3,844.1,812.3,875.0,900.8,929.9,474.2,1278.3
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Czechia,2914.6,2835.3,2861.3,2772.2,2787.6,2715.0,2608.0,2568.8,2486.1,2406.2,2063.9,1967.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Germany,3565.0,3609.2,3680.4,3659.2,3772.5,3744.7,3765.0,3734.8,3639.8,3716.1,3280.5,3256.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Denmark,1813.2,1765.2,1734.8,1663.1,1629.3,:,1528.2,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Estonia,3332.8,3270.3,3287.5,3014.2,2935.9,:,:,2706.1,2589.5,2558.4,2314.7,2112.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Greece,2671.7,2730.2,2630.7,1833.8,1901.2,1905.6,:,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Spain,1301.0,1279.6,1282.8,1292.2,1307.1,1280.5,1298.3,1312.8,1307.9,1303.3,1106.3,1228.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Finland,2735.1,2705.4,2690.1,2633.7,2647.8,2603.7,2551.8,2510.3,2425.2,:,2152.7,2109.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),France,1905.8,1885.2,1901.6,1919.5,1898.3,1908.5,1951.3,1973.8,1997.0,2015.1,1796.9,1856.5
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Croatia,1856.8,1922.7,1837.7,1940.7,2004.9,2092.6,2107.2,2090.9,2079.7,2038.8,1668.8,1787.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,Diseases of the circulatory system (I00-I99),Hungary,3652.9,3634.7,3516.3,3514.1,3494.7,3352.9,3268.0,3156.6,3112.6,3051.1,2172.8,1718.5
